galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,force_match,rms_velocity
UGC02885,ok,19,2.8271,0.8579,3.3160088271469115,0.8579,sigma_power,constant,False,67.8065528099974
UGC02916,ok,43,2.8271,0.8579,2.880068274811481,0.8579,sigma_power,constant,False,38.184413746123674
UGC02953,ok,115,2.8271,0.8579,3.1543615605378164,0.8579,sigma_power,constant,False,59.847253128964944
UGC03205,ok,48,2.8271,0.8579,2.920875634250097,0.8579,sigma_power,constant,False,30.586755010582685
UGC03546,ok,30,2.8271,0.8579,2.795741509183113,0.8579,sigma_power,constant,False,71.82483501976787
UGC03580,ok,47,2.8271,0.8579,2.3275081849791617,0.8579,sigma_power,constant,False,38.80114795761838
UGC04278,ok,25,2.8271,0.8579,1.996304472620317,0.8579,sigma_power,constant,False,25.406884028976442
UGC04305,ok,22,2.8271,0.8579,1.3817445461268565,0.8579,sigma_power,constant,False,4.618804431965837
UGC04325,ok,8,2.8271,0.8579,2.0486330739004077,0.8579,sigma_power,constant,False,23.128421593056988
UGC04483,ok,8,2.8271,0.8579,1.1432850020270071,0.8579,sigma_power,constant,False,6.921149055793169
UGC04499,ok,9,2.8271,0.8579,1.8243141195809276,0.8579,sigma_power,constant,False,20.343067200749672
UGC05005,ok,11,2.8271,0.8579,1.9152389255326059,0.8579,sigma_power,constant,False,33.29029019466457
UGC05253,ok,73,2.8271,0.8579,2.9289351017600227,0.8579,sigma_power,constant,False,40.50216175378387
UGC05414,ok,6,2.8271,0.8579,1.6093581955992897,0.8579,sigma_power,constant,False,9.028386800965757
UGC05716,ok,12,2.8271,0.8579,1.8797637844341915,0.8579,sigma_power,constant,False,34.63142178551541
UGC05721,ok,23,2.8271,0.8579,1.9453047537602486,0.8579,sigma_power,constant,False,35.88279859941159
UGC05750,ok,11,2.8271,0.8579,1.6947874516999706,0.8579,sigma_power,constant,False,18.551644053015806
UGC05764,ok,10,2.8271,0.8579,1.6230928677290821,0.8579,sigma_power,constant,False,27.54046088489759
UGC05829,ok,11,2.8271,0.8579,1.6224427854294268,0.8579,sigma_power,constant,False,20.197408731111835
UGC05918,ok,8,2.8271,0.8579,1.4564620151056165,0.8579,sigma_power,constant,False,17.45685382079065
UGC05986,ok,15,2.8271,0.8579,2.2498861887038397,0.8579,sigma_power,constant,False,34.82794611525029
UGC06399,ok,9,2.8271,0.8579,1.934861367471303,0.8579,sigma_power,constant,False,24.98530633309398
UGC06446,ok,17,2.8271,0.8579,1.9761413010550009,0.8579,sigma_power,constant,False,36.729152465543805
UGC06614,ok,13,2.8271,0.8579,2.789983019577128,0.8579,sigma_power,constant,False,50.8882596931745
UGC06628,ok,7,2.8271,0.8579,1.5056683063113017,0.8579,sigma_power,constant,False,8.06857555355479
UGC06667,ok,9,2.8271,0.8579,1.932862542810835,0.8579,sigma_power,constant,False,43.73009263715469
UGC06786,ok,45,2.8271,0.8579,2.9634812212186974,0.8579,sigma_power,constant,False,47.472742287858686
UGC06787,ok,71,2.8271,0.8579,3.0885695988238897,0.8579,sigma_power,constant,False,61.92311950918522
UGC06818,ok,8,2.8271,0.8579,1.6923484677267169,0.8579,sigma_power,constant,False,19.776985099875155
UGC06917,ok,11,2.8271,0.8579,2.14681982435732,0.8579,sigma_power,constant,False,25.51423072372502
UGC06923,ok,6,2.8271,0.8579,1.916759057382476,0.8579,sigma_power,constant,False,11.400654339957985
UGC06930,ok,10,2.8271,0.8579,2.184765815880307,0.8579,sigma_power,constant,False,28.422910268948343
UGC06973,ok,9,2.8271,0.8579,2.6739228446074623,0.8579,sigma_power,constant,False,88.38526603438893
UGC06983,ok,17,2.8271,0.8579,2.2136097937747192,0.8579,sigma_power,constant,False,40.9039192415638
UGC07089,ok,12,2.8271,0.8579,1.848078400741379,0.8579,sigma_power,constant,False,13.926204811009105
