p_infinity,transition_power_n,chi_t,galaxy_equal_RMSE_km_s,cluster_all5_log_RMS_dex,cluster_reliable3_log_RMS_dex,cluster_all6_stress_log_RMS_dex,solar_solar_limb_fractional_force_change,solar_Mercury_fractional_force_change,solar_Earth_fractional_force_change,solar_Saturn_fractional_force_change,is_primary_dimension_fixed_formula,galaxy_ratio_to_fixed_RAR,all5_gap_fraction_closed_from_fixed_RAR,galaxy_gate_pass,solar_gate_pass,all5_cluster_gate_pass,reliable3_cluster_gate_pass,gap_closed_gate_pass,selected_primary_row
5.0,2.0,1.5e-06,15.589324730150116,0.6559759275236425,0.7908031917495155,0.7138591571513461,0.0,0.0,0.0,0.0,False,1.4269371093518413,-0.12520674701644774,False,True,False,False,False,False
5.0,2.0,2e-06,12.872137614852036,0.5417351479140884,0.6814263255769325,0.594196841956963,0.0,0.0,0.0,0.0,False,1.1782249171955763,0.07075241948277788,False,True,False,False,False,False
5.0,2.0,3e-06,11.50298350654523,0.41461867951299725,0.5265791716558663,0.4578604686656195,0.0,0.0,0.0,0.0,False,1.052902182607463,0.28879747555940605,False,True,False,False,False,False
5.0,2.0,5e-06,11.071749811856789,0.3519591096055839,0.33741150192505526,0.36336509622321955,0.0,0.0,0.0,0.0,False,1.0134300840781567,0.39627850933930664,True,True,False,False,False,False
5.0,2.0,8e-06,10.973702646678676,0.3892412840604038,0.2631471442915357,0.3632619321676367,0.0,0.0,0.0,0.0,False,1.004455536374444,0.33232775675853354,True,True,False,False,False,False
5.0,2.0,1e-05,10.954886560111838,0.4244748188238595,0.2925945951538576,0.38843936944104496,0.0,0.0,0.0,0.0,False,1.0027332441879795,0.2718910709387631,True,True,False,False,False,False
5.0,2.0,2e-05,10.932057920398064,0.5234646005830748,0.4367652732595815,0.4906015070690114,0.0,0.0,0.0,0.0,False,1.0006436711161832,0.10209220234058547,True,True,False,False,False,False
5.0,4.0,3e-07,190.78233244687706,1.9586767437874697,2.1080890079427745,2.1022921423592336,0.0,0.0,0.0,0.0,False,17.46287249059872,-2.359751775730267,False,True,False,False,False,False
5.0,4.0,5e-07,52.456767081453044,1.4936526627547824,1.6277276211142016,1.6217674366801076,0.0,0.0,0.0,0.0,False,4.801523406615871,-1.562088002490289,False,True,False,False,False,False
5.0,4.0,8e-07,15.631544452902277,1.141054963861991,1.2649458706763916,1.246907850450198,0.0,0.0,0.0,0.0,False,1.430801605741803,-0.9572711286845905,False,True,False,False,False,False
