system,cohort,realization,local_jsd,simple_shape_jsd,cluster_locked_jsd,simple_improves_local,simple_beats_cluster_locked
MACS J0553.4-3342,development,5,0.19832593798016263,0.13124132326666532,0.004612722743519474,True,False
MACS J0553.4-3342,development,6,0.1919014203465261,0.12729651721534793,0.0059417954169491,True,False
MACS J0553.4-3342,development,7,0.1879544206598029,0.12429658981917305,0.005944455193494098,True,False
MACS J0553.4-3342,development,8,0.19651179217914927,0.12998892025982584,0.00508607451304987,True,False
MACS J0553.4-3342,development,9,0.19606021682353336,0.13005990457007569,0.005675476897682825,True,False
MACS J0553.4-3342,development,10,0.19582782553634942,0.13049717379285303,0.006768297957565596,True,False
MACS J0553.4-3342,development,11,0.19806680626709433,0.13142079306017862,0.005636366849722512,True,False
MACS J0553.4-3342,development,12,0.19179243303407423,0.1267171161187231,0.005228742591194109,True,False
MACS J0553.4-3342,development,13,0.19435886039211533,0.12895565922110147,0.005789032811831989,True,False
MACS J0553.4-3342,development,14,0.19107062580713952,0.12671127388091802,0.006483288100412836,True,False
MACS J0553.4-3342,development,15,0.19521199255282107,0.1293152153118861,0.005459708546440027,True,False
MACS J0553.4-3342,development,16,0.19325009137138296,0.12794475242549713,0.0054749842195916,True,False
MACS J0553.4-3342,development,17,0.1918792080726727,0.12793760363088275,0.0075807341240236034,True,False
MACS J0553.4-3342,development,18,0.20093993162158447,0.13360063593421856,0.005503106577237264,True,False
MACS J0553.4-3342,development,19,0.19536905617101014,0.12988737027544237,0.006519514578483671,True,False
MACS J0553.4-3342,development,20,0.19379407573419502,0.1285926573966984,0.006466106779929113,True,False
MACS J0553.4-3342,development,21,0.19191643743779546,0.1270482924842112,0.0062621286828058505,True,False
MACS J0553.4-3342,development,22,0.19687863469029193,0.13051524565632971,0.005751670532545941,True,False
MACS J0553.4-3342,development,23,0.19265658893383525,0.127652367341388,0.005536680309834182,True,False
MACS J0553.4-3342,development,24,0.1935934895772644,0.12832899723593594,0.005605718450669625,True,False
MACS J0553.4-3342,development,25,0.18836665864604277,0.12487204760593008,0.0063609079943828545,True,False
MACS J0553.4-3342,development,26,0.19677991108335702,0.1304389023031523,0.005862371871501989,True,False
MACS J0553.4-3342,development,27,0.19228804108249414,0.1278761286757944,0.007624655244226629,True,False
