domain,system,radius_kpc,gbar_m_s2,target_chi,conservative_delta_q_over_target_chi,passes_5_percent
SPARC,UGC02916,6.34,1.97156824441662e-10,6.530054230507845e-07,2597.927238879325,False
SPARC,UGC02916,6.65,1.8194659089106913e-10,6.328311202704115e-07,2629.5812311054638,False
SPARC,UGC02916,7.03,1.6591633022188528e-10,6.101392192860294e-07,2669.9556278311225,False
SPARC,UGC02916,7.39,1.5279510516908695e-10,5.90443162362502e-07,2707.273117954979,False
SPARC,UGC02916,7.77,1.405736654345335e-10,5.71306040552714e-07,2741.3009679940774,False
SPARC,UGC02916,8.14,1.3048346834328498e-10,5.540896657216109e-07,2784.0702934032715,False
SPARC,UGC02916,8.51,1.2136867484350852e-10,5.380931086906692e-07,2819.59109142955,False
SPARC,UGC02916,8.88,1.1317859703387455e-10,5.231956821150467e-07,2851.035515961327,False
SPARC,UGC02916,9.25,1.0619373926363578e-10,5.092621017047686e-07,2895.365338384203,False
SPARC,UGC02916,9.52,1.0135990027921734e-10,4.996421418166654e-07,2919.3827456211593,False
SPARC,UGC02916,9.62,9.966020053884456e-11,4.961913510273693e-07,2928.1333804637943,False
SPARC,UGC02916,9.99,9.37933502755521e-11,4.839040195824846e-07,2961.5810896691546,False
SPARC,UGC02916,10.4,8.789998535740667e-11,4.7111603810818784e-07,2996.2584728162547,False
SPARC,UGC02916,10.71,8.401325898085332e-11,4.6196753217823653e-07,3031.5460520487363,False
SPARC,UGC02916,11.12,7.918589157250454e-11,4.5048121262431924e-07,3071.057993674079,False
SPARC,UGC02916,12.67,6.489317597925809e-11,4.1214477702993245e-07,3245.9212237376364,False
SPARC,UGC02916,12.98,6.261693817799596e-11,4.053592205128259e-07,3285.1593715159534,False
SPARC,UGC02916,15.86,4.716981875971428e-11,3.5108150157395e-07,3718.0983518209164,False
SPARC,UGC02916,19.05,3.755162741262156e-11,3.0468735532255115e-07,4403.2911329096905,False
SPARC,UGC02916,22.14,3.138488214603613e-11,2.6812055895725603e-07,5173.900945069949,False
SPARC,UGC02916,25.34,2.5806491933078523e-11,2.3670392492374466e-07,5727.338614337686,False
SPARC,UGC02916,28.53,2.1000222158669902e-11,2.1107219131638015e-07,5973.669005643816,False
SPARC,UGC02916,31.72,1.7022643146679e-11,1.9025056404758595e-07,5972.231736464485,False
SPARC,UGC02916,34.91,1.4282786546598815e-11,1.7310745862067386e-07,6105.4858481986485,False
SPARC,UGC02916,38.0,1.2192123057552485e-11,1.5906406369855574e-07,6204.3066587805015,False
SPARC,UGC02953,0.09,1.6595172906966678e-09,3.0635252800799267e-06,1.3829006386417506,False
SPARC,UGC02953,0.17,3.2298800301692775e-09,2.9963786129699596e-06,10.186993680965966,False
SPARC,UGC02953,0.26,3.7006999629622215e-09,2.8893028361859205e-06,29.0803296172366,False
SPARC,UGC02953,0.34,3.4644449014466127e-09,2.790903061033276e-06,49.18042793730549,False
SPARC,UGC02953,0.43,3.0713277304478885e-09,2.689926962043361e-06,73.54114335107974,False
SPARC,UGC02953,0.51,2.766160492218924e-09,2.609760051333732e-06,97.02591054018961,False
SPARC,UGC02953,0.6,2.4953843685806593e-09,2.5284704617737632e-06,126.14896398438286,False
SPARC,UGC02953,0.69,2.2674381574478987e-09,2.454886011097998e-06,157.08022892312374,False
SPARC,UGC02953,0.77,2.098476312990586e-09,2.394928395396356e-06,186.27721732064347,False
SPARC,UGC02953,0.86,1.9301871494421203e-09,2.3326865238547287e-06,219.93361974044024,False
SPARC,UGC02953,0.95,1.7874911799394242e-09,2.2752492970503017e-06,255.0731064820922,False
SPARC,UGC02953,1.03,1.6885638671894693e-09,2.2275122252215496e-06,289.70219732401597,False
SPARC,UGC02953,1.11,1.5954280887982847e-09,2.1824127783593614e-06,324.4818122544814,False
SPARC,UGC02953,1.2,1.5094808704594074e-09,2.134442689422256e-06,367.01492700425797,False
SPARC,UGC02953,1.29,1.4322374735697109e-09,2.0889938558356095e-06,411.0801482864412,False
SPARC,UGC02953,1.38,1.3607201230115356e-09,2.045843339648624e-06,455.8687484404515,False
SPARC,UGC02953,1.46,1.2998843109116161e-09,2.0093049467727714e-06,495.3342224971487,False
SPARC,UGC02953,1.55,1.2346401412813803e-09,1.9701471598681165e-06,539.0710262388479,False
SPARC,UGC02953,1.63,1.1798647902661711e-09,1.936988480334729e-06,577.3806534844874,False
SPARC,UGC02953,1.72,1.1214082295819445e-09,1.9014343713804143e-06,619.4484055238099,False
SPARC,UGC02953,1.8,1.0728384754385864e-09,1.8713005239161503e-06,656.2953638823137,False
SPARC,UGC02953,1.89,1.0212955123923027e-09,1.8389466626723478e-06,696.6715940581882,False
SPARC,UGC02953,1.98,9.732735093578186e-10,1.8081310559605093e-06,736.2168382631579,False
SPARC,UGC02953,2.07,9.288461527650258e-10,1.7787437693899995e-06,775.2707981773189,False
SPARC,UGC02953,2.15,8.921844843329001e-10,1.7537353419782115e-06,809.6712992477686,False
