candidate_id,route_geometry,strength,route_fraction,gate_power,scalar_completion,outer_RMSE_km_s,outer_equal_galaxy_RMSE_km_s,outer_mean_residual_km_s
diffuse__s0.4__f0.5__n0__none,diffuse,0.4,0.5,0.0,none,72.92246566926654,67.2882395514493,-67.16623803441422
diffuse__s0.75__f0.25__n4__none,diffuse,0.75,0.25,4.0,none,72.93391596273867,67.29197603142565,-67.02113791229445
diffuse__s0.25__f1__n2__none,diffuse,0.25,1.0,2.0,none,72.94011335922369,67.39001516273399,-67.17206295746298
diffuse__s0.5__f0.5__n1__none,diffuse,0.5,0.5,1.0,none,72.96428107975161,67.36578250207216,-67.1637661023218
diffuse__s0.25__f1__n4__none,diffuse,0.25,1.0,4.0,none,73.01255362270967,67.4523435634229,-67.23693650116564
diffuse__s0.5__f0.5__n2__none,diffuse,0.5,0.5,2.0,none,73.12159868889329,67.51229674231743,-67.30943573554171
diffuse__s0.75__f0.25__n0__none,diffuse,0.75,0.25,0.0,none,73.13412036986031,67.45702482224776,-67.33231956792395
diffuse__s0.25__f1__n0__none,diffuse,0.25,1.0,0.0,none,73.15241651588626,67.57467358702895,-67.46003946722787
diffuse__s0.4__f0.75__n1__none,diffuse,0.4,0.75,1.0,none,73.15680984793008,67.58625156434024,-67.41214752489633
diffuse__s0.5__f0.5__n4__none,diffuse,0.5,0.5,4.0,none,73.20445734592849,67.58623979757526,-67.37640002890895
diffuse__s0.4__f0.75__n2__none,diffuse,0.4,0.75,2.0,none,73.34288726355383,67.75709911785064,-67.58734963760196
diffuse__s0.6__f0.5__n1__none,diffuse,0.6,0.5,1.0,none,73.35545469478193,67.75474787564876,-67.58066409104087
diffuse__s0.5__f0.5__n0__none,diffuse,0.5,0.5,0.0,none,73.4103487298925,67.7582515367954,-67.70779584212616
diffuse__s0.4__f0.75__n4__none,diffuse,0.4,0.75,4.0,none,73.43916509932323,67.84105006447484,-67.66709627873512
diffuse__s0.6__f0.5__n2__none,diffuse,0.6,0.5,2.0,none,73.55670336387324,67.94259612073306,-67.76039193976784
diffuse__s0.4__f0.75__n0__none,diffuse,0.4,0.75,0.0,none,73.6547791054662,68.02376435670648,-68.01405489185224
diffuse__s0.6__f0.5__n4__none,diffuse,0.6,0.5,4.0,none,73.66522655077175,68.04045248309107,-67.84447617035526
diffuse__s0.5__f0.75__n1__none,diffuse,0.5,0.75,1.0,none,73.71210123065622,68.13861319963516,-68.01065253088272
diffuse__s0.4__f1__n1__none,diffuse,0.4,1.0,1.0,none,73.73301889739798,68.18656938816596,-68.06755074696865
