galaxy,sigma_v,rms_gr,rms_pair,delta_rms,improvement_pct
UGC06628,6.21,8.072900058646603,21.200071712022076,13.127171653375473,-162.60788016712056
UGC06667,11.595,45.27733630984675,40.13624447618314,-5.141091833663616,11.35466936146937
UGC06786,33.75,51.9524574240025,43.00473367941011,-8.947723744592395,17.22290761256361
UGC06787,37.425,64.96642478114666,58.763864985590835,-6.202559795555821,9.547331281428022
UGC06818,8.3175,20.175495852306163,13.037946527925577,-7.137549324380586,35.37731799322656
UGC06917,15.075,30.603998657699744,17.293374893952482,-13.310623763747262,43.49308700678042
UGC06923,11.355,15.1054378478316,9.00713067834571,-6.09830716948589,40.37160147834648
UGC06930,15.75,31.485550365605146,11.961250279124311,-19.524300086480835,62.01035033457508
UGC06973,26.1,88.38568001480633,93.87679120231024,5.491111187503918,-6.212670634636798
UGC06983,16.275,42.45443781782275,27.025872873895878,-15.428564943926872,36.341465667576976
UGC07089,10.364999999999998,14.928726535103594,2.6216230069895503,-12.307103528114045,82.43907140488486
UGC07125,9.7125,14.698599189568334,10.871336251668236,-3.827262937900098,26.038283570697846
UGC07151,10.1925,15.566865119323268,9.261116124730819,-6.305748994592449,40.507507107292106
UGC07261,10.44,22.262552465739894,14.865290346723377,-7.397262119016517,33.22737646727729
UGC07323,9.375,10.345457337040719,1.825507235722538,-8.51995010131818,82.35450424036335
UGC07399,14.01,50.95226232229807,46.71490483451628,-4.237357487781786,8.316328450694535
UGC07524,11.895,26.756759638805764,17.17302770350645,-9.583731935299316,35.81798418295716
UGC07559,3.915,6.78682547264883,5.5568148490187825,-1.2300106236300472,18.12350455433159
UGC07577,1.6049999999999998,1.7651840058788588,1.848975790334662,0.08379178445580315,-4.746915005842944
UGC07603,9.075,25.74568614409514,23.069500283006985,-2.676185861088154,10.394696207006882
UGC07608,7.965,30.63714273310021,27.600412762572926,-3.0367299705272828,9.911922913250052
UGC07690,8.684999999999999,13.006404800319592,9.006436725761052,-3.9999680745585398,30.753833484102028
