galaxy,void_score,ra_deg,dec_deg,distance_mpc,sgx_hmpc,sgy_hmpc,sgz_hmpc,delta_grouped_64,void_score_grouped_64,delta_ungrouped_64,void_score_ungrouped_64,delta_ungrouped_128,void_score_ungrouped_128
UGC05721,-0.3068825226,158.07168,27.6688,6.18,0.9452085281,4.174536173,-1.713041231,0.3068825226,-0.3068825226,0.2398413003,-0.2398413003,0.06465208531,-0.06465208531
UGC05750,-0.3579017704,158.93797,20.98994,58.7,4.226907602,39.59296801,-18.2239335,0.3579017704,-0.3579017704,0.5300972197,-0.5300972197,-0.02478396342,0.02478396342
UGC05764,-0.2814762763,159.18064,31.54698,7.47,1.42438755,5.076190449,-1.804855755,0.2814762763,-0.2814762763,0.2099011673,-0.2099011673,0.06495947416,-0.06495947416
UGC05829,-0.2581158999,160.67462,34.44888,8.64,1.861904352,5.900612089,-1.805487734,0.2581158999,-0.2581158999,0.1818026145,-0.1818026145,0.06360509752,-0.06360509752
UGC05918,-0.08901592204,162.40208,65.53056,7.66,3.880915453,4.1884139,0.2226981344,0.08901592204,-0.08901592204,-0.05972783992,0.05972783992,-0.08218942607,0.08218942607
UGC05986,-0.2476790163,163.12905,36.61862,8.63,1.967266151,5.945136466,-1.494256595,0.2476790163,-0.2476790163,0.1655991585,-0.1655991585,0.05446124806,-0.05446124806
UGC05999,0.1211457996,163.24637,7.62022,47.7,-5.127872642,31.38890363,-15.95860083,-0.1211457996,0.1211457996,-0.275431298,0.275431298,0.1790396715,-0.1790396715
UGC06399,-0.07786886976,170.84676,50.89271,18,6.3044989,11.85074411,-0.352621075,0.07786886976,-0.07786886976,0.0106077998,-0.0106077998,0.01968287325,-0.01968287325
UGC06446,-0.1097989293,171.6686,53.74695,12,4.519463663,7.72730685,0.03848422284,0.1097989293,-0.1097989293,-0.007423496953,0.007423496953,-0.02340179517,0.02340179517
UGC06614,0.155740072,174.81198,17.14367,88.7,-4.85252751,64.38434639,-14.47771684,-0.155740072,0.155740072,-0.5691482276,0.5691482276,0.9545620091,-0.9545620091
UGC06628,-0.1446315874,175.0241,45.9428,15.1,4.282593179,10.41623339,-0.2295448799,0.1446315874,-0.1446315874,0.04369276769,-0.04369276769,0.03573984298,-0.03573984298
UGC06667,-0.07836116507,175.6096,51.5981,18,6.168798697,11.9220622,0.3486251614,0.07836116507,-0.07836116507,0.004160123733,-0.004160123733,0.0124485873,-0.0124485873
UGC06786,-0.07971333595,177.28936,27.02201,29.3,1.579433127,21.64218339,-2.623873054,0.07971333595,-0.07971333595,0.1352472107,-0.1352472107,0.1560378611,-0.1560378611
UGC06787,0.04551825651,177.31361,56.08451,21.3,8.185645476,13.57010244,1.154674006,-0.04551825651,0.04551825651,-0.08960862017,0.08960862017,-0.04101803038,0.04101803038
UGC06818,-0.1108812769,177.69563,45.80719,18,4.919098446,12.4940229,0.1142204649,0.1108812769,-0.1108812769,0.02838316146,-0.02838316146,0.04073942669,-0.04073942669
UGC06917,-0.08730607834,179.11014,50.42879,18,5.758911946,12.10895385,0.7206620194,0.08730607834,-0.08730607834,0.005978236117,-0.005978236117,0.01503818715,-0.01503818715
UGC06923,-0.07428340245,179.20609,53.16031,18,6.281390873,11.82912855,0.9628241824,0.07428340245,-0.07428340245,-0.004317375492,0.004317375492,0.001624375891,-0.001624375891
UGC06930,-0.09340807349,179.32225,49.2832,18,5.522625042,12.22227447,0.6540668137,0.09340807349,-0.09340807349,0.01053866196,-0.01053866196,0.02058611222,-0.02058611222
UGC06973,-0.1317442599,179.71777,42.72238,18,4.169036012,12.76337095,0.1633549168,0.1317442599,-0.1317442599,0.04202181076,-0.04202181076,0.05508175097,-0.05508175097
UGC06983,-0.07691068225,179.7909,52.7072,18,6.166234123,11.88628489,1.002483078,0.07691068225,-0.07691068225,-0.003175104317,0.003175104317,0.003233870869,-0.003233870869
UGC07089,-0.1312599613,181.49072,43.14331,18,4.154089199,12.76015839,0.4827884608,0.1312599613,-0.1312599613,0.03740258238,-0.03740258238,0.05014927786,-0.05014927786
UGC07125,-0.1342998591,182.17622,36.80277,19.8,3.041035705,14.45393954,0.1107527705,0.1342998591,-0.1342998591,0.06736580559,-0.06736580559,0.09005794689,-0.09005794689
UGC07151,-0.2214966626,182.49429,46.45742,6.87,1.826606377,4.776216428,0.3421926011,0.2214966626,-0.2214966626,0.113788124,-0.113788124,0.002215327335,-0.002215327335
UGC07232,-0.1700680238,183.43654,36.63403,2.83,0.4168950843,2.069028808,0.04898238565,0.1700680238,-0.1700680238,0.07143762472,-0.07143762472,-0.03002762666,0.03002762666
UGC07261,-0.3940835259,183.81004,20.65877,13.1,-0.6574752801,9.732796438,-0.5866093415,0.3940835259,-0.3940835259,0.3673316112,-0.3673316112,0.205276573,-0.205276573
UGC07323,-0.2139894021,184.37574,45.6193,8,2.0067217,5.598216178,0.5000676338,0.2139894021,-0.2139894021,0.1052630453,-0.1052630453,0.008169185921,-0.008169185921
