z,D,f,sigma_8,f_sigma_8
1.766941645411511441e+00,3.507220704369863329e-01,9.440641208540404561e-01,3.641667657701663230e-01,3.437967775710713547e-01
1.773320104651840978e+00,3.499603612599150870e-01,9.444157222547862052e-01,3.633758569826871510e-01,3.431778724222563914e-01
1.779713267759288620e+00,3.492000245095999711e-01,9.447652542717619450e-01,3.625863732330233402e-01,3.425590071029732675e-01
1.786121168629770661e+00,3.484410600867611230e-01,9.451127267659362730e-01,3.617983144180891286e-01,3.419401914789997887e-01
1.792543841237338231e+00,3.476834678703333847e-01,9.454581495669336366e-01,3.610116804121784040e-01,3.413214353345473961e-01
1.798981319634362031e+00,3.469272477176358338e-01,9.458015324925005407e-01,3.602264710671407300e-01,3.407027483796671308e-01
1.805433637951713965e+00,3.461723994645357627e-01,9.461428853491968827e-01,3.594426862125514321e-01,3.400841402508094080e-01
1.811900830398939899e+00,3.454189229256240945e-01,9.464822179051947115e-01,3.586603256558938968e-01,3.394656205013898420e-01
1.818382931264454161e+00,3.446668178943838035e-01,9.468195399245132871e-01,3.578793891827344309e-01,3.388471986144624415e-01
1.824879974915706971e+00,3.439160841433590021e-01,9.471548611362503589e-01,3.570998765568977884e-01,3.382288839920206680e-01
1.831391995799378503e+00,3.431667214243232511e-01,9.474881912595347622e-01,3.563217875206418639e-01,3.376106859642972191e-01
1.837919028441556080e+00,3.424187294684462590e-01,9.478195399833496682e-01,3.555451217948309983e-01,3.369926137829007406e-01
1.844461107447914916e+00,3.416721079864627475e-01,9.481489169849093290e-01,3.547698790791111723e-01,3.363746766277265210e-01
1.851018267503909520e+00,3.409268566688318236e-01,9.484763319200225640e-01,3.539960590520753181e-01,3.357568836038560822e-01
1.857590543374946446e+00,3.401829751859110074e-01,9.488017944075249899e-01,3.532236613714444529e-01,3.351392437364224541e-01
1.864177969906581023e+00,3.394404631881224321e-01,9.491253140518097764e-01,3.524526856742398184e-01,3.345217659789666564e-01
1.870780582024690997e+00,3.386993203061115509e-01,9.494469004479146879e-01,3.516831315769479160e-01,3.339044592155493429e-01
1.877398414735668819e+00,3.379595461509126708e-01,9.497665631427069100e-01,3.509149986756923134e-01,3.332873322474398381e-01
1.884031503126606388e+00,3.372211403141188724e-01,9.500843116786104048e-01,3.501482865464100591e-01,3.326703938088908519e-01
1.890679882365475351e+00,3.364841023680354426e-01,9.504001555706567128e-01,3.493829947450111106e-01,3.320536525594005028e-01
1.897343587701323830e+00,3.357484318658525146e-01,9.507141042973548117e-01,3.486191228075574688e-01,3.314371170809165545e-01
1.904022654464450071e+00,3.350141283418024418e-01,9.510261673299509333e-01,3.478566702504264363e-01,3.308207958884216149e-01
1.910717118066605824e+00,3.342811913113200584e-01,9.513363541046214733e-01,3.470956365704775948e-01,3.302046974205808949e-01
1.917427014001166885e+00,3.335496202712028846e-01,9.516446740413175842e-01,3.463360212452183395e-01,3.295888300466726650e-01
1.924152377843334705e+00,3.328194146997743297e-01,9.519511365220366672e-01,3.455778237329740210e-01,3.289732020594166584e-01
1.930893245250321133e+00,3.320905740570403997e-01,9.522557509240338058e-01,3.448210434730503704e-01,3.283578216868384692e-01
1.937649651961530051e+00,3.313630977848479597e-01,9.525585265759578535e-01,3.440656798858978127e-01,3.277426970774660053e-01
1.944421633798761651e+00,3.306369853070483256e-01,9.528594727981058998e-01,3.433117323732813309e-01,3.271278363146092882e-01
1.951209226666385632e+00,3.299122360296459777e-01,9.531585988771910101e-01,3.425592003184351197e-01,3.265132474080106317e-01
1.958012466551545483e+00,3.291888493409650396e-01,9.534559140715804793e-01,3.418080830862349484e-01,3.258989382960408854e-01
1.964831389524342775e+00,3.284668246118006008e-01,9.537514276185010687e-01,3.410583800233559226e-01,3.252849168485290043e-01
1.971666031738025904e+00,3.277461611955742593e-01,9.540451487268293285e-01,3.403100904584333564e-01,3.246711908646567890e-01
1.978516429429189927e+00,3.270268584284882762e-01,9.543370865836892092e-01,3.395632137022233654e-01,3.240577680755745149e-01
1.985382618917959530e+00,3.263089156296792859e-01,9.546272503409224397e-01,3.388177490477620735e-01,3.234446561401658204e-01
1.992264636608189310e+00,3.255923321013773908e-01,9.549156491282146941e-01,3.380736957705310908e-01,3.228318626498912769e-01
1.999162518987650738e+00,3.248771071290529888e-01,9.552022920430383035e-01,3.373310531286097813e-01,3.222193951257399935e-01
2.006076302628230223e+00,3.241632399815722598e-01,9.554871881664849242e-01,3.365898203628368002e-01,3.216072610239492091e-01
2.013006024186121401e+00,3.234507299113447698e-01,9.557703465414737476e-01,3.358499966969633599e-01,3.209954677290094982e-01
2.019951720402015649e+00,3.227395761544798458e-01,9.560517761856752728e-01,3.351115813378155450e-01,3.203840225584089207e-01
2.026913428101305925e+00,3.220297779309344577e-01,9.563314860891972691e-01,3.343745734754478560e-01,3.197729327622165219e-01
2.033891184194270618e+00,3.213213344446645414e-01,9.566094852073142585e-01,3.336389722833004168e-01,3.191622055210254216e-01
2.040885025676278275e+00,3.206142448837719372e-01,9.568857824790726330e-01,3.329047769183515193e-01,3.185518479525379365e-01
2.047894989627982998e+00,3.199085084206501062e-01,9.571603868142204430e-01,3.321719865212689471e-01,3.179418671075457947e-01
2.054921113215512296e+00,3.192041242121316236e-01,9.574333070866303252e-01,3.314406002165629084e-01,3.173322699681215275e-01
2.061963433690677583e+00,3.185010913996408899e-01,9.577045521402075545e-01,3.307106171127449645e-01,3.167230634499730857e-01
2.069021988391157141e+00,3.177994091093340745e-01,9.579741307981972653e-01,3.299820363024730252e-01,3.161142544058807569e-01
2.076096814740708396e+00,3.170990764522485517e-01,9.582420518471618243e-01,3.292548568627066685e-01,3.155058496207636121e-01
2.083187950249354436e+00,3.164000925244419005e-01,9.585083240537254357e-01,3.285290778548514701e-01,3.148978558175695719e-01
2.090295432513590068e+00,3.157024564071416184e-01,9.587729561433034897e-01,3.278046983249143786e-01,3.142902796506419905e-01
2.097419299216579880e+00,3.150061671668847318e-01,9.590359568188344674e-01,3.270817173036488223e-01,3.136831277122523742e-01
2.104559588128354974e+00,3.143112238556645677e-01,9.592973347501981829e-01,3.263601338067068092e-01,3.130764065294918685e-01
2.111716337106017694e+00,3.136176255110668110e-01,9.595570985845144341e-01,3.256399468347805914e-01,3.124701225679976102e-01
2.118889584093937017e+00,3.129253711564131679e-01,9.598152569280061774e-01,3.249211553737515468e-01,3.118642822264019454e-01
2.126079367123955510e+00,3.122344598009056393e-01,9.600718183611186562e-01,3.242037583948401136e-01,3.112588918416429595e-01
2.133285724315585608e+00,3.115448904397581376e-01,9.603267914458432086e-01,3.234877548547423487e-01,3.106539576916741985e-01
2.140508693876216562e+00,3.108566620543371517e-01,9.605801846996683269e-01,3.227731436957761990e-01,3.100494859873813014e-01
2.147748314101316058e+00,3.101697736123050220e-01,9.608320066121875946e-01,3.220599238460299940e-01,3.094454828783493316e-01
2.155004623374626060e+00,3.094842240677532774e-01,9.610822656448233525e-01,3.213480942195010570e-01,3.088419544531242344e-01
2.162277660168379967e+00,3.088000123613402481e-01,9.613309702284079661e-01,3.206376537162385354e-01,3.082389067387918957e-01
2.169567463043490463e+00,3.081171374204259572e-01,9.615781287688763834e-01,3.199286012224835662e-01,3.076363457031597859e-01
2.176874070649769788e+00,3.074355981592060694e-01,9.618237496271387910e-01,3.192209356108082208e-01,3.070342772486709948e-01
2.184197521726124691e+00,3.067553934788532222e-01,9.620678411453938983e-01,3.185146557402623313e-01,3.064327072212025271e-01
2.191537855100760712e+00,3.060765222676424813e-01,9.623104116287788390e-01,3.178097604565037204e-01,3.058316414045417209e-01
2.198895109691398453e+00,3.053989834010890081e-01,9.625514693573475888e-01,3.171062485919411422e-01,3.052310855245692900e-01
2.206269324505465423e+00,3.047227757420777894e-01,9.627910225734233052e-01,3.164041189658691189e-01,3.046310452455922024e-01
2.213660538640317643e+00,3.040478981409963644e-01,9.630290794939585508e-01,3.157033703846054973e-01,3.040315261746268649e-01
2.221068791283434152e+00,3.033743494358652204e-01,9.632656483026034167e-01,3.150040016416271182e-01,3.034325338592362975e-01
2.228494121712634612e+00,3.027021284524654687e-01,9.635007371550327049e-01,3.143060115177022107e-01,3.028340737895642842e-01
2.235936569296282705e+00,3.020312340044696287e-01,9.637343541708244254e-01,3.136093987810261163e-01,3.022361513961327462e-01
2.243396173493491741e+00,3.013616648935734665e-01,9.639665074341677853e-01,3.129141621873585133e-01,3.016387720504367098e-01
2.250872973854343595e+00,3.006934199096218951e-01,9.641972050066328626e-01,3.122203004801538118e-01,3.010419410692953823e-01
2.258367010020087218e+00,3.000264978307338182e-01,9.644264549148388044e-01,3.115278123906908836e-01,3.004456637113290252e-01
2.265878321723358457e+00,2.993608974234304165e-01,9.646542651494289800e-01,3.108366966382063445e-01,2.998499451770049173e-01
2.273406948788381676e+00,2.986966174427625464e-01,9.648806436750526627e-01,3.101469519300268374e-01,2.992547906120999190e-01
2.280952931131189576e+00,2.980336566324320313e-01,9.651055984237885133e-01,3.094585769616947091e-01,2.986602051059903951e-01
2.288516308759830586e+00,2.973720137249157291e-01,9.653291372969812212e-01,3.087715704170972408e-01,2.980661936925705913e-01
2.296097121774576699e+00,2.967116874415910988e-01,9.655512681593956259e-01,3.080859309685967662e-01,2.974727613487966327e-01
2.303695410368148178e+00,2.960526764928556043e-01,9.657719988554032131e-01,3.074016572771546829e-01,2.968799130000212561e-01
2.311311214825910731e+00,2.953949795782509491e-01,9.659913371835086027e-01,3.067187479924604609e-01,2.962876535124884803e-01
2.318944575526102891e+00,2.947385953865844788e-01,9.662092909192119272e-01,3.060372017530577637e-01,2.956959877007217519e-01
2.326595532940044730e+00,2.940835225960482524e-01,9.664258678010061443e-01,3.053570171864681271e-01,2.951049203235592278e-01
2.334264127632349251e+00,2.934297598743395019e-01,9.666410755398473498e-01,3.046781929093156926e-01,2.945144560873980133e-01
2.341950400261142651e+00,2.927773058787785931e-01,9.668549218156873293e-01,3.040007275274502763e-01,2.939245996454650234e-01
2.349654391578276158e+00,2.921261592564262100e-01,9.670674142730509848e-01,3.033246196360683822e-01,2.933353555968093440e-01
2.357376142429547183e+00,2.914763186442050902e-01,9.672785605217062432e-01,3.026498678198401571e-01,2.927467284868596753e-01
2.365115693754907156e+00,2.908277826690143231e-01,9.674883681391778234e-01,3.019764706530278509e-01,2.921587228085262278e-01
2.372873086588688007e+00,2.901805499478454231e-01,9.676968446835659821e-01,3.013044266996061649e-01,2.915713430063996969e-01
2.380648362059815781e+00,2.895346190878934634e-01,9.679039976673523560e-01,3.006337345133780481e-01,2.909845934691641101e-01
2.388441561392024681e+00,2.888899886866773681e-01,9.681098345822216622e-01,2.999643926380991532e-01,2.903984785374267852e-01
2.396252725904084446e+00,2.882466573321504910e-01,9.683143628738796194e-01,2.992963996075929667e-01,2.898130024964724605e-01
2.404081897010008184e+00,2.876046236028150238e-01,9.685175899670990241e-01,2.986297539458696026e-01,2.892281695841213973e-01
2.411929116219285518e+00,2.869638860678348502e-01,9.687195232482489482e-01,2.979644541672427649e-01,2.886439839858161438e-01
2.419794425137088645e+00,2.863244432871452916e-01,9.689201700787927196e-01,2.973004987764438223e-01,2.880604498389818802e-01
2.427677865464502815e+00,2.856862938115637962e-01,9.691195377822801049e-01,2.966378862687368279e-01,2.874775712294708185e-01
2.435579478998746161e+00,2.850494361829020162e-01,9.693176336501854173e-01,2.959766151300347592e-01,2.868953521936369322e-01
2.443499307633384188e+00,2.844138689340718340e-01,9.695144649527366321e-01,2.953166838370095970e-01,2.863137967218548630e-01
2.451437393358562922e+00,2.837795905891956627e-01,9.697100389105542950e-01,2.946580908572071222e-01,2.857329087504519860e-01
2.459393778261218966e+00,2.831465996637181348e-01,9.699043627237466936e-01,2.940008346491623237e-01,2.851526921706454276e-01
2.467368504525315309e+00,2.825148946645105186e-01,9.700974435498980197e-01,2.933449136625085329e-01,2.845731508223650619e-01
2.475361614432058488e+00,2.818844740899758006e-01,9.702892885343452622e-01,2.926903263380860043e-01,2.839942885034668074e-01
2.483373150360117521e+00,2.812553364301532688e-01,9.704799047733652095e-01,2.920370711080507165e-01,2.834161089592335259e-01
2.491403154785861496e+00,2.806274801668279251e-01,9.706692993366776712e-01,2.913851463959877819e-01,2.828386158893086977e-01
2.499451670283572291e+00,2.800009037736319595e-01,9.708574792615053406e-01,2.907345506170173066e-01,2.822618129462639569e-01
2.507518739525680385e+00,2.793756057161522754e-01,9.710444515478062755e-01,2.900852821779053015e-01,2.816857037345346648e-01
2.515604405282981126e+00,2.787515844520279118e-01,9.712302231776536177e-01,2.894373394771655450e-01,2.811102918163537745e-01
2.523708710424870549e+00,2.781288384310531825e-01,9.714148010944679834e-01,2.887907209051662205e-01,2.805355807060200823e-01
2.531831697919570079e+00,2.775073660952803167e-01,9.715981922060134002e-01,2.881454248442367194e-01,2.799615738710941049e-01
2.539973410834345913e+00,2.768871658791229873e-01,9.717804033845226508e-01,2.875014496687749443e-01,2.793882747327571248e-01
2.548133892335754602e+00,2.762682362094526778e-01,9.719614414898554156e-01,2.868587937453475623e-01,2.788156866727691252e-01
2.556313185689853107e+00,2.756505755056996021e-01,9.721413133225936809e-01,2.862174554327947540e-01,2.782438130202880000e-01
2.564511334262443043e+00,2.750341821799542896e-01,9.723200256712299927e-01,2.855774330823356300e-01,2.776726570657405690e-01
2.572728381519288732e+00,2.744190546370603445e-01,9.724975852921456942e-01,2.849387250376644309e-01,2.771022220553512883e-01
2.580964371026359228e+00,2.738051912747136440e-01,9.726739988998290842e-01,2.843013296350538344e-01,2.765325111886662857e-01
2.589219346450052139e+00,2.731925904835572072e-01,9.728492731915090452e-01,2.836652452034532645e-01,2.759635276258707304e-01
2.597493351557422780e+00,2.725812506472823915e-01,9.730234148172191011e-01,2.830304700645939753e-01,2.753952744795739593e-01
2.605786430216424421e+00,2.719711701427180439e-01,9.731964304084560480e-01,2.823970025330815870e-01,2.748277548232427314e-01
2.614098626396132552e+00,2.713623473399315866e-01,9.733683265497525827e-01,2.817648409165011691e-01,2.742609716834519817e-01
2.622429984166985140e+00,2.707547806023191672e-01,9.735391098135851573e-01,2.811339835155107769e-01,2.736949280500374782e-01
2.630780547701013550e+00,2.701484682866967524e-01,9.737087867282757658e-01,2.805044286239359863e-01,2.731296268673209515e-01
2.639150361272070366e+00,2.695434087433965509e-01,9.738773637917832460e-01,2.798761745288702030e-01,2.725650710383051289e-01
2.647539469256078082e+00,2.689396003163594395e-01,9.740448474721027372e-01,2.792492195107702524e-01,2.720012634250719707e-01
2.655947916131248476e+00,2.683370413432235035e-01,9.742112442130473893e-01,2.786235618435486949e-01,2.714382068506745460e-01
2.664375746478333529e+00,2.677357301554121882e-01,9.743765604175305128e-01,2.779991997946653082e-01,2.708759040947518182e-01
2.672823004980846129e+00,2.671356650782318876e-01,9.745408024571748928e-01,2.773761316252281728e-01,2.703143578965168103e-01
2.681289736425313652e+00,2.665368444309544893e-01,9.747039766861086418e-01,2.767543555900796037e-01,2.697535709588519959e-01
2.689775985701503558e+00,2.659392665269059708e-01,9.748660894148036826e-01,2.761338699378880768e-01,2.691935459413249410e-01
2.698281797802661419e+00,2.653429296735566045e-01,9.750271469263867008e-01,2.755146729112418202e-01,2.686342854650047296e-01
2.706807217825760503e+00,2.647478321726101091e-01,9.751871554691762256e-01,2.748967627467415187e-01,2.680757921106798891e-01
2.715352290971725147e+00,2.641539723200875267e-01,9.753461212670022640e-01,2.742801376750873543e-01,2.675180684219758409e-01
2.723917062545686107e+00,2.635613484064137646e-01,9.755040505087995140e-01,2.736647959211688241e-01,2.669611169027641950e-01
2.732501577957205718e+00,2.629699587165026387e-01,9.756609493551579027e-01,2.730507357041531136e-01,2.664049400192383121e-01
2.741105882720532350e+00,2.623798015298399178e-01,9.758168239416713519e-01,2.724379552375710833e-01,2.658495402010898623e-01
2.749730022454834888e+00,2.617908751205683116e-01,9.759716803620146486e-01,2.718264527294059762e-01,2.652949198371640782e-01
2.758374042884440769e+00,2.612031777575746228e-01,9.761255246816844533e-01,2.712162263821835118e-01,2.647410812794954160e-01
2.767037989839088663e+00,2.606167077045665192e-01,9.762783629486875281e-01,2.706072743930517110e-01,2.641880268464548154e-01
2.775721909254159847e+00,2.600314632201565224e-01,9.764302011652007396e-01,2.699995949538682161e-01,2.636357588153282472e-01
2.784425847170931778e+00,2.594474425579454402e-01,9.765810453090676413e-01,2.693931862512867759e-01,2.630842794284219965e-01
2.793149849736818791e+00,2.588646439666052457e-01,9.767309013206918467e-01,2.687880464668434555e-01,2.625335908897880044e-01
2.801893963205611016e+00,2.582830656899535726e-01,9.768797751265667628e-01,2.681841737770336853e-01,2.619836953718127637e-01
2.810658233937730177e+00,2.577027059670352616e-01,9.770276726127349320e-01,2.675815663533973598e-01,2.614345950083299397e-01
2.819442708400465403e+00,2.571235630322006305e-01,9.771745996368259579e-01,2.669802223625998283e-01,2.608862918981242340e-01
2.828247433168226799e+00,2.565456351151861880e-01,9.773205620257916504e-01,2.663801399665156056e-01,2.603387881045840513e-01
2.837072454922787035e+00,2.559689204411901287e-01,9.774655655797828135e-01,2.657813173223070868e-01,2.597920856569886361e-01
2.845917820453534919e+00,2.553934172309504924e-01,9.776096160648687361e-01,2.651837525825056496e-01,2.592461865488244754e-01
2.854783576657717870e+00,2.548191237008209931e-01,9.777527192215834662e-01,2.645874438950899243e-01,2.587010927403123328e-01
2.863669770540691051e+00,2.542460380628482342e-01,9.778948807556241407e-01,2.639923894035666740e-01,2.581568061561931304e-01
2.872576449216172279e+00,2.536741585248480924e-01,9.780361063444498182e-01,2.633985872470495093e-01,2.576133286877331785e-01
2.881503659906482273e+00,2.531034832904756615e-01,9.781764016471401479e-01,2.628060355603318299e-01,2.570706621955557436e-01
2.890451449942806672e+00,2.525340105593006368e-01,9.783157722846187454e-01,2.622147324739651508e-01,2.565288085046719124e-01
2.899419866765434062e+00,2.519657385268830319e-01,9.784542238395037561e-01,2.616246761143374289e-01,2.559877694047155705e-01
2.908408957924018878e+00,2.513986653848468422e-01,9.785917618828446907e-01,2.610358646037497232e-01,2.554475466571951570e-01
2.917418771077831430e+00,2.508327893209504889e-01,9.787283919412043121e-01,2.604482960604894148e-01,2.549081419871094822e-01
2.926449353995997260e+00,2.502681085191588717e-01,9.788641195238264592e-01,2.598619685989049799e-01,2.543695570902953507e-01
2.935500754557775149e+00,2.497046211597122312e-01,9.789989501071422184e-01,2.592768803294773217e-01,2.538317936296134447e-01
2.944573020752784043e+00,2.491423254192014769e-01,9.791328891346511298e-01,2.586930293588982632e-01,2.532948532351732007e-01
2.953666200681277942e+00,2.485812194706340517e-01,9.792659420267385562e-01,2.581104137901386042e-01,2.527587375071113640e-01
2.962780342554394597e+00,2.480213014835052354e-01,9.793981141745898844e-01,2.575290317225225611e-01,2.522234480142467317e-01
2.971915494694401971e+00,2.474625696238646200e-01,9.795294109401651017e-01,2.569488812517963794e-01,2.516889862943065270e-01
2.981071705534972693e+00,2.469050220543868857e-01,9.796598376550766929e-01,2.563699604702021628e-01,2.511553538538766617e-01
2.990249023621419866e+00,2.463486569344382204e-01,9.797893996266204830e-01,2.557922674665466523e-01,2.506225521701796466e-01
2.999447497610975066e+00,2.457934724201460974e-01,9.799181021223387633e-01,2.552158003262736119e-01,2.500905826873557891e-01
3.008667176273028154e+00,2.452394666644623633e-01,9.800459504012684064e-01,2.546405571315296101e-01,2.495594468246784270e-01
3.017908108489398167e+00,2.446866378172308509e-01,9.801729496742792591e-01,2.540665359612339635e-01,2.490291459666490459e-01
3.027170343254590890e+00,2.441349840252531322e-01,9.802991051420396618e-01,2.534937348911471822e-01,2.484996814729050207e-01
3.036453929676048880e+00,2.435845034323509406e-01,9.804244219618871714e-01,2.529221519939354734e-01,2.479710546700107654e-01
3.045758916974427244e+00,2.430351941794338944e-01,9.805489052742898393e-01,2.523517853392417409e-01,2.474432668584060635e-01
3.055085354483837889e+00,2.424870544045634457e-01,9.806725601828679695e-01,2.517826329937510321e-01,2.469163193075652740e-01
3.064433291652128410e+00,2.419400822430112508e-01,9.807953917799167032e-01,2.512146930212519891e-01,2.463902132626503427e-01
3.073802778041127226e+00,2.413942758273257549e-01,9.809174051063299649e-01,2.506479634827056269e-01,2.458649499346417522e-01
3.083193863326919804e+00,2.408496332873951984e-01,9.810386051985890976e-01,2.500824424363105591e-01,2.453405305123745606e-01
3.092606597300108895e+00,2.403061527505074291e-01,9.811589970489182910e-01,2.495181279375655592e-01,2.448169561527455129e-01
3.102041029866067667e+00,2.397638323414115757e-01,9.812785856285763941e-01,2.489550180393332868e-01,2.442942279867736932e-01
3.111497211045223032e+00,2.392226701823808033e-01,9.813973758841456618e-01,2.483931107919054304e-01,2.437723471188758539e-01
3.120975190973301672e+00,2.386826643932669079e-01,9.815153727366294767e-01,2.478324042430596619e-01,2.432513146268417414e-01
3.130475019901612477e+00,2.381438130915629336e-01,9.816325810752343228e-01,2.472728964381243066e-01,2.427311315605050757e-01
3.139996748197304122e+00,2.376061143924645402e-01,9.817490057591272690e-01,2.467145854200423205e-01,2.422117989424018292e-01
3.149540426343628852e+00,2.370695664089247368e-01,9.818646516364120114e-01,2.461574692294280775e-01,2.416933177726532100e-01
3.159106104940220483e+00,2.365341672517138893e-01,9.819795235040950088e-01,2.456015459046295979e-01,2.411756890192972846e-01
3.168693834703353751e+00,2.359999150294782022e-01,9.820936261552487556e-01,2.450468134817892496e-01,2.406589136301192922e-01
3.178303666466217869e+00,2.354668078487930361e-01,9.822069643472483014e-01,2.444932699948992316e-01,2.401429925250221364e-01
3.187935651179182983e+00,2.349348438142233875e-01,9.823195428099027460e-01,2.439409134758643849e-01,2.396279265982411422e-01
3.197589839910074616e+00,2.344040210283779013e-01,9.824313662459225327e-01,2.433897419545580088e-01,2.391137167186589696e-01
3.207266283844441013e+00,2.338743375919653811e-01,9.825424393357410358e-01,2.428397534588810081e-01,2.386003637311789050e-01
3.216965034285821368e+00,2.333457916038497726e-01,9.826527667327886739e-01,2.422909460148184313e-01,2.380878684557660718e-01
3.226686142656030043e+00,2.328183811611014009e-01,9.827623530658653461e-01,2.417433176464930666e-01,2.375762316882164549e-01
3.236429660495410587e+00,2.322921043590565060e-01,9.828712029330759492e-01,2.411968663762272813e-01,2.370654541988908848e-01
3.246195639463128835e+00,2.317669592913667309e-01,9.829793209115811337e-01,2.406515902245939531e-01,2.365555367352634719e-01
3.255984131337430476e+00,2.312429440500517741e-01,9.830867115570203207e-01,2.401074872104717872e-01,2.360464800219620185e-01
3.265795188015925277e+00,2.307200567255551782e-01,9.831933793867483340e-01,2.395645553511026593e-01,2.355382847569343352e-01
3.275628861515862411e+00,2.301982954067950671e-01,9.832993289005274029e-01,2.390227926621446564e-01,2.350309516166167456e-01
3.285485203974394253e+00,2.296776581812162432e-01,9.834045645723256124e-01,2.384821971577261446e-01,2.345244812541451840e-01
3.295364267648873025e+00,2.291581431348413966e-01,9.835090908477227556e-01,2.379427668504987270e-01,2.340188742989256776e-01
3.305266104917105707e+00,2.286397483523222585e-01,9.836129121488671467e-01,2.374044997516905342e-01,2.335141313580053335e-01
3.315190768277650690e+00,2.281224719169860915e-01,9.837160328847296409e-01,2.368673938711544358e-01,2.330102530186767551e-01
3.325138310350086890e+00,2.276063119108871768e-01,9.838184574227027968e-01,2.363314472174216085e-01,2.325072398419186226e-01
3.335108783875287308e+00,2.270912664148599380e-01,9.839201901088904245e-01,2.357966577977565203e-01,2.320050923674095711e-01
3.345102241715715685e+00,2.265773335085652651e-01,9.840212352659690742e-01,2.352630236182051693e-01,2.315038111131930976e-01
3.355118736855684958e+00,2.260645112705383653e-01,9.841215971946272179e-01,2.347305426836447106e-01,2.310033965761900399e-01
3.365158322401660129e+00,2.255527977782375293e-01,9.842212801733450922e-01,2.341992129978340553e-01,2.305038492323181476e-01
3.375221051582520282e+00,2.250421911080897897e-01,9.843202884494202110e-01,2.336690325634613041e-01,2.300051695345632086e-01
3.385306977749856117e+00,2.245326893355393816e-01,9.844186262522185427e-01,2.331399993821942351e-01,2.295073579162627275e-01
3.395416154378245288e+00,2.240242905350935398e-01,9.845162977870542953e-01,2.326121114547275992e-01,2.290104147898380516e-01
3.405548635065532181e+00,2.235169927803691836e-01,9.846133072251518348e-01,2.320853667808316922e-01,2.285143405446370957e-01
3.415704473533125451e+00,2.230107941441437092e-01,9.847096587174121174e-01,2.315597633594050631e-01,2.280191355503244643e-01
3.425883723626264477e+00,2.225056926983939032e-01,9.848053564003741434e-01,2.310352991885151475e-01,2.275248001584127266e-01
3.436086439314325780e+00,2.220016865143414342e-01,9.849004043775095862e-01,2.305119722654450642e-01,2.270313346980941116e-01
3.446312674691086819e+00,2.214987736625007864e-01,9.849948067262361828e-01,2.299897805867438250e-01,2.265387394780492003e-01
3.456562483975031519e+00,2.209969522127219199e-01,9.850885675121275886e-01,2.294687221482704098e-01,2.260470147898781257e-01
3.466835921509631824e+00,2.204962202342312938e-01,9.851816907689584513e-01,2.289487949452362892e-01,2.255561609036634552e-01
3.477133041763623922e+00,2.199965757956766355e-01,9.852741805112998907e-01,2.284299969722521917e-01,2.250661780710344895e-01
3.487453899331321772e+00,2.194980169651697954e-01,9.853660407286936040e-01,2.279123262233722635e-01,2.245770665239907316e-01
3.497798548932879115e+00,2.190005418103308232e-01,9.854572753812081976e-01,2.273957806921401148e-01,2.240888264740591440e-01
3.508167045414600338e+00,2.185041483983292399e-01,9.855478884157897745e-01,2.268803583716314243e-01,2.236014581161790138e-01
3.518559443749223803e+00,2.180088347959255601e-01,9.856378837484748301e-01,2.263660572544973493e-01,2.231149616248088441e-01
3.528975799036206062e+00,2.175145990695104836e-01,9.857272652811123193e-01,2.258528753330049654e-01,2.226293371578789704e-01
3.539416166502031835e+00,2.170214392851475271e-01,9.858160368858167599e-01,2.253408105990815646e-01,2.221445848534240319e-01
3.549880601500484900e+00,2.165293535086140198e-01,9.859042024120184822e-01,2.248298610443574264e-01,2.216607048313421480e-01
3.560369159512962511e+00,2.160383398054416260e-01,9.859917656850898382e-01,2.243200246602076453e-01,2.211776971932410407e-01
3.570881896148749846e+00,2.155483962409527610e-01,9.860787305242065814e-01,2.238112994377900178e-01,2.206955620265890483e-01
3.581418867145333529e+00,2.150595208803004477e-01,9.861651007030883820e-01,2.233036833680865918e-01,2.202142993960596873e-01
3.591980128368685854e+00,2.145717117885108383e-01,9.862508799875755461e-01,2.227971744419475209e-01,2.197339093521161191e-01
3.602565735813559655e+00,2.140849670305183250e-01,9.863360721157894417e-01,2.222917706501278401e-01,2.192543919267110064e-01
3.613175745603793843e+00,2.135992846712047033e-01,9.864206808068342047e-01,2.217874699833277674e-01,2.187757471353794780e-01
3.623810213992602058e+00,2.131146627754364475e-01,9.865047097577941404e-01,2.212842704322318110e-01,2.182979749767140765e-01
3.634469197362880877e+00,2.126310994081017647e-01,9.865881626411404648e-01,2.207821699875469612e-01,2.178210754319379050e-01
3.645152752227494020e+00,2.121485926341488415e-01,9.866710431121001879e-01,2.202811666400424917e-01,2.173450484666810956e-01
3.655860935229588549e+00,2.116671405186208166e-01,9.867533547982016984e-01,2.197812583805862363e-01,2.168698940288138477e-01
3.666593803142886188e+00,2.111867411266944161e-01,9.868351013080901568e-01,2.192824432001848067e-01,2.163956120505398928e-01
3.677351412871980862e+00,2.107073925237133438e-01,9.869162862330685959e-01,2.187847190900181205e-01,2.159222024488658409e-01
3.688133821452653116e+00,2.102290927752242244e-01,9.869969131379031646e-01,2.182880840414768431e-01,2.154496651237248206e-01
3.698941086052153437e+00,2.097518399470127692e-01,9.870769855692252959e-01,2.177925360461999138e-01,2.149779999599598646e-01
3.709773263969527335e+00,2.092756321051377488e-01,9.871565070492382965e-01,2.172980730961097118e-01,2.145072068260857334e-01
3.720630412635904882e+00,2.088004673159664648e-01,9.872354810816028614e-01,2.168046931834490543e-01,2.140372855757116388e-01
