a,D,f
1.196740531307243383e-03,1.186522543038217225e-03,9.117300539999733111e-01
1.198809014545849884e-03,1.188391527370796785e-03,9.110783417583843136e-01
1.200881073014671563e-03,1.190262119474535391e-03,9.104299257795936962e-01
1.202956712893248374e-03,1.192134324451713618e-03,9.097847950315000043e-01
1.205035940371797709e-03,1.194008147416477554e-03,9.091429385439296906e-01
1.207118761651238686e-03,1.195883593494870452e-03,9.085043454026692222e-01
1.209205182943208848e-03,1.197760667824865474e-03,9.078690047602325786e-01
1.211295210470078685e-03,1.199639375556410797e-03,9.072369058289418975e-01
1.213388850464977879e-03,1.201519721851451727e-03,9.066080378722159994e-01
1.215486109171805490e-03,1.203401711883968434e-03,9.059823902218160363e-01
1.217586992845255765e-03,1.205285350840014976e-03,9.053599522640052299e-01
1.219691507750833960e-03,1.207170643917747930e-03,9.047407134410470064e-01
1.221799660164871746e-03,1.209057596327462814e-03,9.041246632573105568e-01
1.223911456374552568e-03,1.210946213291629655e-03,9.035117912710338706e-01
1.226026902677923580e-03,1.212836500044929848e-03,9.029020871027394479e-01
1.228146005383921012e-03,1.214728461834293886e-03,9.022955404247025024e-01
1.230268770812381878e-03,1.216622103918927602e-03,9.016921409675345833e-01
1.232395205294069783e-03,1.218517431570355532e-03,9.010918785161255995e-01
1.234525315170690533e-03,1.220414450072453225e-03,9.004947429148253413e-01
1.236659106794907748e-03,1.222313164721485412e-03,8.999007240615551906e-01
1.238796586530369753e-03,1.224213580826142645e-03,8.993098119074668384e-01
1.240937760751719765e-03,1.226115703707571008e-03,8.987219964584480802e-01
1.243082635844622134e-03,1.228019538699414836e-03,8.981372677789052350e-01
1.245231218205778388e-03,1.229925091147856609e-03,8.975556159845224924e-01
1.247383514242943062e-03,1.231832366411643627e-03,8.969770312414878655e-01
1.249539530374950587e-03,1.233741369862132679e-03,8.964015037767002481e-01
1.251699273031725264e-03,1.235652106883325819e-03,8.958290238627598656e-01
1.253862748654308804e-03,1.237564582871902895e-03,8.952595818281963158e-01
1.256029963694875289e-03,1.239478803237262748e-03,8.946931680543823706e-01
1.258200924616747866e-03,1.241394773401561158e-03,8.941297729729230648e-01
1.260375637894425643e-03,1.243312498799748140e-03,8.935693870694522145e-01
1.262554110013593871e-03,1.245231984879603508e-03,8.930120008782884700e-01
1.264736347471151056e-03,1.247153237101778942e-03,8.924576049880533768e-01
1.266922356775225435e-03,1.249076260939830730e-03,8.919061900340602422e-01
1.269112144445190592e-03,1.251001061880264650e-03,8.913577467066658988e-01
1.271305717011692775e-03,1.252927645422570674e-03,8.908122657432104852e-01
1.273503081016661743e-03,1.254856017079259171e-03,8.902697379286361734e-01
1.275704243013338953e-03,1.256786182375900160e-03,8.897301541029224436e-01
1.277909209566288184e-03,1.258718146851169712e-03,8.891935051530304168e-01
1.280117987251422644e-03,1.260651916056882262e-03,8.886597820148931515e-01
1.282330582656022100e-03,1.262587495558033755e-03,8.881289756717509754e-01
1.284547002378748273e-03,1.264524890932835696e-03,8.876010771565931989e-01
1.286767253029672811e-03,1.266464107772757430e-03,8.870760775468695680e-01
1.288991341230287914e-03,1.268405151682565606e-03,8.865539679741850643e-01
1.291219273613534091e-03,1.270348028280368635e-03,8.860347396144747645e-01
1.293451056823815984e-03,1.272292743197654414e-03,8.855183836904498840e-01
1.295686697517019507e-03,1.274239302079327625e-03,8.850048914708672498e-01
1.297926202360539594e-03,1.276187710583749418e-03,8.844942542711584643e-01
1.300169578033290611e-03,1.278137974382784247e-03,8.839864634576634073e-01
