asset_group,role,obsid,relative_path,download_path,url,bytes,last_modified,etag,content_type
xrism_science,resolve,000101000,resolve/event_uf/xa000101000rsl_el.gti.gz,xrism/000101000/resolve/event_uf/xa000101000rsl_el.gti.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/resolve/event_uf/xa000101000rsl_el.gti.gz,1638905,"Sun, 31 Aug 2025 11:48:45 GMT","""1901f9-63da7d65e0331""",application/x-gzip
xrism_science,resolve,000101000,resolve/event_uf/xa000101000rsl_opn.gti.gz,xrism/000101000/resolve/event_uf/xa000101000rsl_opn.gti.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/resolve/event_uf/xa000101000rsl_opn.gti.gz,1652,"Sun, 31 Aug 2025 11:48:45 GMT","""674-63da7d65f81f5""",application/x-gzip
xrism_science,resolve,000101000,resolve/event_uf/xa000101000rsl_p0px0000_uf.evt.gz,xrism/000101000/resolve/event_uf/xa000101000rsl_p0px0000_uf.evt.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/resolve/event_uf/xa000101000rsl_p0px0000_uf.evt.gz,170246,"Sun, 31 Aug 2025 11:48:45 GMT","""29906-63da7d661d791""",application/x-gzip
xrism_science,resolve,000101000,resolve/event_uf/xa000101000rsl_p0px1000_uf.evt.gz,xrism/000101000/resolve/event_uf/xa000101000rsl_p0px1000_uf.evt.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/resolve/event_uf/xa000101000rsl_p0px1000_uf.evt.gz,143729254,"Sun, 31 Aug 2025 11:48:56 GMT","""8912266-63da7d7092b49""",application/x-gzip
xrism_science,resolve,000101000,resolve/event_uf/xa000101000rsl_p0px5000_uf.evt.gz,xrism/000101000/resolve/event_uf/xa000101000rsl_p0px5000_uf.evt.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/resolve/event_uf/xa000101000rsl_p0px5000_uf.evt.gz,337698372,"Sun, 31 Aug 2025 11:49:24 GMT","""1420de44-63da7d8b001db""",application/x-gzip
xrism_science,resolve,000101000,resolve/event_uf/xa000101000rsl_px0000_exp.gti.gz,xrism/000101000/resolve/event_uf/xa000101000rsl_px0000_exp.gti.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/resolve/event_uf/xa000101000rsl_px0000_exp.gti.gz,4112,"Sun, 31 Aug 2025 11:49:25 GMT","""1010-63da7d8c2f50e""",application/x-gzip
xrism_science,resolve,000101000,resolve/event_uf/xa000101000rsl_px1000_exp.gti.gz,xrism/000101000/resolve/event_uf/xa000101000rsl_px1000_exp.gti.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/resolve/event_uf/xa000101000rsl_px1000_exp.gti.gz,11687,"Sun, 31 Aug 2025 11:49:25 GMT","""2da7-63da7d8c4837d""",application/x-gzip
xrism_science,resolve,000101000,resolve/event_uf/xa000101000rsl_px5000_exp.gti.gz,xrism/000101000/resolve/event_uf/xa000101000rsl_px5000_exp.gti.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/resolve/event_uf/xa000101000rsl_px5000_exp.gti.gz,15024,"Sun, 31 Aug 2025 11:49:25 GMT","""3ab0-63da7d8c62569""",application/x-gzip
xrism_science,resolve,000101000,resolve/event_uf/xa000101000rsl_s0px0000_uf.evt.gz,xrism/000101000/resolve/event_uf/xa000101000rsl_s0px0000_uf.evt.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/resolve/event_uf/xa000101000rsl_s0px0000_uf.evt.gz,2012844,"Sun, 31 Aug 2025 11:49:26 GMT","""1eb6ac-63da7d8cbbb02""",application/x-gzip
xrism_science,resolve,000101000,resolve/event_uf/xa000101000rsl_s0px1000_uf.evt.gz,xrism/000101000/resolve/event_uf/xa000101000rsl_s0px1000_uf.evt.gz,https://heasarc.gsfc.nasa.gov/FTP/xrism/data/obs/0/000101000/resolve/event_uf/xa000101000rsl_s0px1000_uf.evt.gz,1335781,"Sun, 31 Aug 2025 11:49:26 GMT","""1461e5-63da7d8cfed3b""",application/x-gzip
