model,routing_fraction,system_label,variant_id,source_family,source_redshift,observed_images,global_roots,surplus_roots,missing_roots,unassigned_roots,potentially_observable_surplus_roots,faintest_assigned_abs_magnification,observable_surplus_abs_magnification_threshold,all_observed_images_assigned,assignment_RMS_arcsec,assignment_max_arcsec,multiplicity_classification,parity_diverse,critical_sign_change_cells,critical_curve_present
linear_route_08_f0p2,0.2,RXJ2129,linear_route_08_f0p2,4,1.5202,3,3,0,0,0,0,2.830301629624292,0.707575407406073,True,1.2453437303404915,2.0373568161074096,exact_multiplicity,True,226,True
linear_route_08_f0p2,0.2,RXJ2129,linear_route_08_f0p2,5,1.521,3,3,0,0,0,0,6.156684794833758,1.5391711987084395,True,3.065588858341244,5.189654986925422,exact_multiplicity,True,226,True
linear_route_08_f0p2,0.2,RXJ2129,linear_route_08_f0p2,6,3.0815,3,3,0,0,0,0,2.0493895514407763,0.5123473878601941,True,0.4563082668500242,0.6680197444552582,exact_multiplicity,True,298,True
linear_route_08_f0p2,0.2,RXJ2129,linear_route_08_f0p2,7,3.427,3,3,0,0,0,0,2.551058153471276,0.637764538367819,True,1.7182000846570438,2.8531113635495116,exact_multiplicity,True,328,True
linear_route_09_f0p3,0.3,RXJ2129,linear_route_09_f0p3,1,0.6786,3,3,0,0,0,0,3.9435926213515335,0.9858981553378834,True,1.0195846135987987,1.456964811981939,exact_multiplicity,True,148,True
linear_route_09_f0p3,0.3,RXJ2129,linear_route_09_f0p3,2,0.916,3,3,0,0,0,0,3.394999334210806,0.8487498335527015,True,0.9504422567529472,1.628434099431573,exact_multiplicity,True,234,True
linear_route_09_f0p3,0.3,RXJ2129,linear_route_09_f0p3,3,1.5194,4,5,1,0,1,1,2.39633257480852,0.59908314370213,True,0.9484071026554332,1.7415750187466337,potentially_observable_surplus,True,282,True
linear_route_09_f0p3,0.3,RXJ2129,linear_route_09_f0p3,4,1.5202,3,5,2,0,2,2,2.678933539975644,0.669733384993911,True,0.8123918685085625,1.2038769653665036,potentially_observable_surplus,True,282,True
linear_route_09_f0p3,0.3,RXJ2129,linear_route_09_f0p3,5,1.521,3,3,0,0,0,0,5.934075978864106,1.4835189947160266,True,3.10097019276924,5.260931063614636,exact_multiplicity,True,282,True
linear_route_09_f0p3,0.3,RXJ2129,linear_route_09_f0p3,6,3.0815,3,3,0,0,0,0,2.0970261028609363,0.5242565257152341,True,0.7441709014939846,0.9198623474808569,exact_multiplicity,True,316,True
linear_route_09_f0p3,0.3,RXJ2129,linear_route_09_f0p3,7,3.427,3,3,0,0,0,0,2.651911971924346,0.6629779929810865,True,2.110640590547462,3.646316614820853,exact_multiplicity,True,324,True
linear_route_10_f0p4,0.4,RXJ2129,linear_route_10_f0p4,1,0.6786,3,3,0,0,0,0,2.5680513476159788,0.6420128369039947,True,4.201396356366821,7.140860137907063,exact_multiplicity,True,234,True
linear_route_10_f0p4,0.4,RXJ2129,linear_route_10_f0p4,2,0.916,3,5,2,0,2,2,2.477384188550328,0.619346047137582,True,1.1455924233641226,1.9646595582664348,potentially_observable_surplus,True,288,True
linear_route_10_f0p4,0.4,RXJ2129,linear_route_10_f0p4,3,1.5194,4,3,0,1,0,0,2.081603054384698,0.5204007635961745,False,,7.082890906014856,missing_multiplicity,True,358,True
linear_route_10_f0p4,0.4,RXJ2129,linear_route_10_f0p4,4,1.5202,3,3,0,0,0,0,2.1691381623042405,0.5422845405760601,True,4.292950949050342,7.405192351103732,exact_multiplicity,True,360,True
linear_route_10_f0p4,0.4,RXJ2129,linear_route_10_f0p4,5,1.521,3,3,0,0,0,0,5.168794697618715,1.2921986744046787,True,2.7220886323025413,4.700220698011505,exact_multiplicity,True,360,True
