system,cohort,candidate_id,carrier,arrival_smoothing_kpc,route_fraction_f,jensen_shannon,pearson,normalized_RMSE,centroid_offset_kpc
MACS J0553.4-3342,development,activation_only__w20__f0.05,activation_only,20.0,0.05,0.004654866816771852,0.9624499322989764,0.1381050814501394,9.58535923362085
MACS J0553.4-3342,development,activation_only__w20__f0.1,activation_only,20.0,0.1,0.00514515848736404,0.9601183500447982,0.1441737888887052,9.506123964299046
MACS J0553.4-3342,development,activation_only__w20__f0.2,activation_only,20.0,0.2,0.006497580606269277,0.9520777830221021,0.16356072470345717,9.401859600782071
MACS J0553.4-3342,development,activation_only__w20__f0.4,activation_only,20.0,0.4,0.01063372987456284,0.9159312968281372,0.22100620625242348,9.416376225784793
MACS J0553.4-3342,development,activation_only__w20__f0.6,activation_only,20.0,0.6,0.016687630673142276,0.8368712681997191,0.29065697036098825,9.724335376773887
MACS J0553.4-3342,development,activation_only__w20__f0.8,activation_only,20.0,0.8,0.024842922237185365,0.6966610669130381,0.3656026590679275,10.299448326787655
MACS J0553.4-3342,development,activation_only__w20__f1,activation_only,20.0,1.0,0.03556415553175107,0.49800319240814195,0.44316501768124816,11.100268157756972
MACS J0553.4-3342,development,activation_only__w50__f0.05,activation_only,50.0,0.05,0.004552761397650327,0.9630428648274395,0.13688242098417225,9.587678498045491
MACS J0553.4-3342,development,activation_only__w50__f0.1,activation_only,50.0,0.1,0.004893004975770001,0.961823933532805,0.14065098479850832,9.523647551576381
MACS J0553.4-3342,development,activation_only__w50__f0.2,activation_only,50.0,0.2,0.0058097667417222444,0.9580239358319743,0.15304100817102448,9.488943269427573
MACS J0553.4-3342,development,activation_only__w50__f0.4,activation_only,50.0,0.4,0.008552044721920515,0.9425629561018178,0.19206101979024084,9.791366852226473
MACS J0553.4-3342,development,activation_only__w50__f0.6,activation_only,50.0,0.6,0.012474282797995145,0.9098229192301905,0.24208311017564527,10.546830239235485
MACS J0553.4-3342,development,activation_only__w50__f0.8,activation_only,50.0,0.8,0.017587297386808483,0.8473995511835051,0.29761038441281346,11.667661897378474
MACS J0553.4-3342,development,activation_only__w50__f1,activation_only,50.0,1.0,0.02395616146628511,0.7391296290356028,0.3560766228734402,13.06012951711187
MACS J0553.4-3342,development,activation_only__w100__f0.05,activation_only,100.0,0.05,0.004542439500209246,0.9634614822675592,0.1361049488592547,9.573112967135893
MACS J0553.4-3342,development,activation_only__w100__f0.1,activation_only,100.0,0.1,0.004863492515424147,0.9629145943076031,0.13867914721822233,9.532889122270845
MACS J0553.4-3342,development,activation_only__w100__f0.2,activation_only,100.0,0.2,0.005713291104916863,0.9613988397923311,0.14769803260830908,9.66071504383982
MACS J0553.4-3342,development,activation_only__w100__f0.4,activation_only,100.0,0.4,0.008191901863648269,0.955945251681984,0.17791215939887664,10.686355361634936
MACS J0553.4-3342,development,activation_only__w100__f0.6,activation_only,100.0,0.6,0.011641913182299603,0.9450209110724278,0.2184505886614659,12.503979125561687
MACS J0553.4-3342,development,activation_only__w100__f0.8,activation_only,100.0,0.8,0.01601767598209508,0.9236465384983826,0.2646100499037674,14.825091039527486
MACS J0553.4-3342,development,activation_only__w100__f1,activation_only,100.0,1.0,0.02130386816478181,0.8816686810902428,0.31392067936434365,17.449919254499118
MACS J0553.4-3342,development,field_weighted__w20__f0.05,field_weighted,20.0,0.05,0.0044560854490840515,0.9617850489922112,0.13876790980922482,9.84508027980532
MACS J0553.4-3342,development,field_weighted__w20__f0.1,field_weighted,20.0,0.1,0.004663323636904096,0.9588715135510105,0.1439214401521011,10.02684121898346
MACS J0553.4-3342,development,field_weighted__w20__f0.2,field_weighted,20.0,0.2,0.005212481070392157,0.9506879695847701,0.15763170271023288,10.442697130687755
