cohort,system_label,variant_id,family,quadrupole_Q,epsilon,heldout_images,heldout_converged_roots,heldout_all_roots,heldout_RMS_arcsec,width_over_R80,return_length_over_R80,travel_mode
RXJ2129,RXJ2129,return_minus_even,return_length,0.29417095226193507,0.007686376582625917,7,7,True,1.246075077919749,0.23,0.3440710148058852,constant
RXJ2129,RXJ2129,return_plus_even,return_length,0.29417095226193507,0.007686376582625917,7,7,True,1.251238488851514,0.23,0.3752534300582052,constant
RXJ2129,RXJ2129,return_plus_linear,return_length,0.29417095226193507,0.007686376582625917,7,7,True,1.266797731977812,0.23,0.46590154281429663,constant
RXJ2129,RXJ2129,phase_hard_no_cross,center_crossing,0.29417095226193507,0.007686376582625917,7,7,True,1.236223799080424,0.23,0.36,hard_no_cross
RXJ2129,RXJ2129,phase_tanh_no_cross,center_crossing,0.29417095226193507,0.007686376582625917,7,7,True,1.2330436824800923,0.23,0.36,tanh_no_cross
RXJ2129,RXJ2129,phase_rational_no_cross,center_crossing,0.29417095226193507,0.007686376582625917,7,7,True,1.2358621850350797,0.23,0.36,rational_no_cross
RXJ2129,RXJ2129,joint_rational_narrow,joint,0.29417095226193507,0.007686376582625917,7,7,True,1.2508980613311356,0.17771995237415042,0.2781703602378006,constant
RXJ2129,RXJ2129,joint_even_narrow,joint,0.29417095226193507,0.007686376582625917,7,7,True,1.2473953914080937,0.21982314834820446,0.3440710148058852,constant
RXJ2129,RXJ2129,joint_even_wide,joint,0.29417095226193507,0.007686376582625917,7,7,True,1.2498982493243969,0.2397452469816311,0.3752534300582052,constant
RXJ2129,RXJ2129,joint_width_narrow_return_wide,joint,0.29417095226193507,0.007686376582625917,7,7,True,1.2584841276054983,0.17771995237415042,0.3752534300582052,constant
RXJ2129,RXJ2129,joint_width_wide_return_narrow,joint,0.29417095226193507,0.007686376582625917,7,7,True,1.2401466144130497,0.2397452469816311,0.2781703602378006,constant
