mangaid,plateifu,required_product,present_in_repository
1-38380,8083-12701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-382818,9491-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-118184,8622-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-37201,8079-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-481051,8248-9102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-296316,9048-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-27950,12069-9101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-217617,8726-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-262904,9039-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-269099,9030-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-106520,12070-9102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-264054,9041-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-51970,8728-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-456337,8932-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-96081,11945-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-229879,9503-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-217557,8726-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-276544,8254-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-42688,8097-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-109206,9192-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-456420,11871-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-591068,8931-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-38298,8085-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-244115,11020-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-38374,8082-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-402436,8330-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-179096,7963-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-456509,11015-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-43541,8713-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-149147,8947-12704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-584896,11742-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-593972,9042-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-314676,9045-9102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-213435,9511-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-456404,8951-12702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-404032,8981-12703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-258849,11953-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-604912,9499-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-626669,8984-9102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-42468,8095-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-419013,8442-12702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-45606,9487-12705,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-35816,10223-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-407685,12485-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-409240,8445-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-575151,11006-12703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-404279,8935-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-195690,11021-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-210752,8603-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-568611,9882-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-37478,8154-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-320681,8326-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-320681,11827-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-83455,11824-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-51336,9189-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-318463,9095-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-210447,8600-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-257627,8259-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-325918,9893-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-422898,8443-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-217876,9499-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-395593,8984-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-37062,8077-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-280716,10507-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-232157,10504-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-232054,10504-12702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-456758,9873-12701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-199287,9872-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-277944,8466-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-23731,8611-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-604037,8082-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-210611,8600-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-456589,9863-12702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-210611,8979-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-44974,9487-3704,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-633582,9093-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-318069,9089-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-209198,8485-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-298845,9508-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-585149,11747-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-217400,8461-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-135060,12673-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-279532,8946-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-458459,8952-3701,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-403613,9879-3702,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-404231,8931-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-37974,8080-3703,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-35957,10223-1902,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-233571,11760-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-407487,11826-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-556821,9488-6104,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-236106,8980-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-195175,11863-9101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-402683,12484-9102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-273933,8568-1901,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-40936,8093-6103,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-96483,9187-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-32701,12696-6101,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
1-634404,11981-6102,"MaNGA DR17 DAP MAPS velocity, velocity dispersion, masks, inverse variance",False
