case,domain,scenario,Lc_kpc,q,activation_weighted_mean,activation_median,activation_p90,activation_maximum,activation_r80_kpc,activation_active_pixels,geometry_weighted_mean,cancellation_weighted_mean,trace_length_weighted_mean_kpc
CVnIdwA,sealed_galaxy_baryons_only,high,3.0,0.5,0.0072595673882334694,0.001171736437715306,0.02222206369398314,0.1521150006690036,1.4165728733360534,700,0.007715373124323037,0.026396723685183233,0.7635978495593632
CVnIdwA,sealed_galaxy_baryons_only,high,3.0,1.0,0.003252496583494203,0.0006629256220720399,0.011078874715880765,0.03925089977515608,1.4165728733360534,700,0.0034639612236068147,0.026396723685183233,0.7635978495593632
CVnIdwA,sealed_galaxy_baryons_only,high,3.0,2.0,0.0009050501565830166,0.00017450695138096668,0.0019771985022321798,0.033292156892240174,1.4165728733360534,700,0.0009650932532313895,0.026396723685183233,0.7635978495593632
CVnIdwA,sealed_galaxy_baryons_only,high,10.0,0.5,0.004335728997267797,0.000720846614199905,0.0131347039899197,0.08697709152914132,1.4165728733360534,700,0.0046087237543022685,0.026396723685183233,0.7635978495593632
CVnIdwA,sealed_galaxy_baryons_only,high,10.0,1.0,0.001065867741142063,0.00021622113576375427,0.003591449006377343,0.015155012594480823,1.4165728733360534,700,0.0011352725111463354,0.026396723685183233,0.7635978495593632
CVnIdwA,sealed_galaxy_baryons_only,high,10.0,2.0,9.215047937147787e-05,1.6116844466006562e-05,0.00018409539579857656,0.0043814354043172615,1.4165728733360534,700,9.8232694719467e-05,0.026396723685183233,0.7635978495593632
CVnIdwA,sealed_galaxy_baryons_only,high,30.0,0.5,0.002621221139782174,0.00043948363779630726,0.008389452044812363,0.05134644101479747,1.4165728733360534,700,0.0027865071411301377,0.026396723685183233,0.7635978495593632
CVnIdwA,sealed_galaxy_baryons_only,high,30.0,1.0,0.0003650546617624321,7.407841410495617e-05,0.0012222979477066337,0.005454448712667306,1.4165728733360534,700,0.0003888345115336453,0.026396723685183233,0.7635978495593632
CVnIdwA,sealed_galaxy_baryons_only,high,30.0,2.0,1.0373088606707287e-05,1.7972178588067206e-06,2.047326642780331e-05,0.0005156430776154947,1.4165728733360534,700,1.105732962420633e-05,0.026396723685183233,0.7635978495593632
CVnIdwA,sealed_galaxy_baryons_only,high,100.0,0.5,0.0014780628109687015,0.0002499568183922693,0.0048129340220695906,0.028515419306561623,1.4165728733360534,700,0.001571350650803704,0.026396723685183233,0.7635978495593632
CVnIdwA,sealed_galaxy_baryons_only,high,100.0,1.0,0.00011058525759858707,2.2452207539097468e-05,0.00036938193238911834,0.0016816854102767486,1.4165728733360534,700,0.00011778974266733261,0.026396723685183233,0.7635978495593632
CVnIdwA,sealed_galaxy_baryons_only,high,100.0,2.0,9.349869198073474e-07,1.6181589226312187e-07,1.8427806573647957e-06,4.671579145004669e-05,1.4165728733360534,700,9.966571801534898e-07,0.026396723685183233,0.7635978495593632
DDO101,sealed_galaxy_baryons_only,low,3.0,0.5,0.00618281327759557,0.0010806674884797896,0.021679170429400672,0.1785680702992087,2.4686239545754516,1258,0.006303251294683985,0.01680419900804521,1.421446956712804
DDO101,sealed_galaxy_baryons_only,low,3.0,1.0,0.003621586748673854,0.0007956053677223894,0.012300202320958012,0.08200398850583084,2.4686239545754516,1258,0.003697268285647452,0.01680419900804521,1.421446956712804
DDO101,sealed_galaxy_baryons_only,low,3.0,2.0,0.0014996914120937051,0.00036090407721182336,0.00383117418181754,0.04271014450333763,2.4686239545754516,1258,0.0015334257432390304,0.01680419900804521,1.421446956712804
DDO101,sealed_galaxy_baryons_only,low,10.0,0.5,0.0037881027258212597,0.0006780003203562806,0.013277262697954565,0.10676885707551069,2.4686239545754516,1258,0.0038624627285853055,0.01680419900804521,1.421446956712804
DDO101,sealed_galaxy_baryons_only,low,10.0,1.0,0.001240582414785498,0.0002781315186709771,0.004182140004869635,0.02605911584420264,2.4686239545754516,1258,0.0012667477016972957,0.01680419900804521,1.421446956712804
DDO101,sealed_galaxy_baryons_only,low,10.0,2.0,0.00016795554199370134,3.7253847056539985e-05,0.000378792158947231,0.008171621928608742,2.4686239545754516,1258,0.0001717378455420036,0.01680419900804521,1.421446956712804
DDO101,sealed_galaxy_baryons_only,low,30.0,0.5,0.0023224745418017655,0.0004216012575578086,0.008326144591677673,0.06454361024885676,2.4686239545754516,1258,0.0023682528334356225,0.01680419900804521,1.421446956712804
DDO101,sealed_galaxy_baryons_only,low,30.0,1.0,0.00043115905481754614,9.692385989963249e-05,0.0014405027798682656,0.008832296739497324,2.4686239545754516,1258,0.00044027759366722767,0.01680419900804521,1.421446956712804
DDO101,sealed_galaxy_baryons_only,low,30.0,2.0,1.9270866822338063e-05,4.1878218272227794e-06,4.32832993244713e-05,0.0010910809094087477,2.4686239545754516,1258,1.9704860480495844e-05,0.01680419900804521,1.421446956712804
DDO101,sealed_galaxy_baryons_only,low,100.0,0.5,0.0013214468336227069,0.00024176402356480673,0.004710763435063105,0.0363842621536066,2.4686239545754516,1258,0.0013475619191885054,0.01680419900804521,1.421446956712804
DDO101,sealed_galaxy_baryons_only,low,100.0,1.0,0.00013131744791368557,2.953300535705455e-05,0.0004349057339484581,0.0026652431492596713,2.4686239545754516,1258,0.00013409735915063416,0.01680419900804521,1.421446956712804
DDO101,sealed_galaxy_baryons_only,low,100.0,2.0,1.7411883928813943e-06,3.772929569995451e-07,3.898197131220039e-06,0.00010034849407106354,2.4686239545754516,1258,1.7804013878418135e-06,0.01680419900804521,1.421446956712804
