candidate_id,q_R80,route_fraction,gate_power,fold,training_galaxies,test_galaxies,training_equal_galaxy_RMSE_km_s,test_equal_galaxy_RMSE_km_s
q0.5__f0.25__n4__RAR,0.5,0.25,4.0,0,109,22,11.08414563139802,7.7916139290968145
q0.5__f0.25__n4__RAR,0.5,0.25,4.0,1,97,34,10.814790994759276,9.973590319964702
q0.5__f0.25__n4__RAR,0.5,0.25,4.0,2,108,23,11.067272497137521,8.072573610559154
q0.5__f0.25__n4__RAR,0.5,0.25,4.0,3,106,25,9.633424798558265,13.985781164888628
q0.5__f0.25__n4__RAR,0.5,0.25,4.0,4,104,27,10.334105538446623,11.580007944336351
q0.5__f0.25__n6__RAR,0.5,0.25,6.0,0,109,22,11.076987438736122,7.7933119739275085
q0.5__f0.25__n6__RAR,0.5,0.25,6.0,1,97,34,10.812762870409673,9.95521000939935
q0.5__f0.25__n6__RAR,0.5,0.25,6.0,2,108,23,11.060725558555548,8.069710933178353
q0.5__f0.25__n6__RAR,0.5,0.25,6.0,3,106,25,9.623917037659641,13.989640441549767
q0.5__f0.25__n6__RAR,0.5,0.25,6.0,4,104,27,10.329342565738836,11.569651434229336
q0.5__f0.25__n8__RAR,0.5,0.25,8.0,0,109,22,11.07191640711575,7.796070607272228
q0.5__f0.25__n8__RAR,0.5,0.25,8.0,1,97,34,10.811139161936483,9.943546906988827
q0.5__f0.25__n8__RAR,0.5,0.25,8.0,2,108,23,11.056127579232047,8.068865821486076
q0.5__f0.25__n8__RAR,0.5,0.25,8.0,3,106,25,9.618056663987865,13.990579084414955
q0.5__f0.25__n8__RAR,0.5,0.25,8.0,4,104,27,10.326269386943373,11.562134491633351
q0.5__f0.35__n0__RAR,0.5,0.35,0.0,0,109,22,10.992593988724058,7.9038720233553885
q0.5__f0.35__n0__RAR,0.5,0.35,0.0,1,97,34,10.754222459477726,9.892424968849346
q0.5__f0.35__n0__RAR,0.5,0.35,0.0,2,108,23,10.992243733325429,8.065048049751775
q0.5__f0.35__n0__RAR,0.5,0.35,0.0,3,106,25,9.564424500998578,13.926839855350362
q0.5__f0.35__n0__RAR,0.5,0.35,0.0,4,104,27,10.306161989448507,11.38395103834057
q0.5__f0.35__n1__RAR,0.5,0.35,1.0,0,109,22,11.035877000618168,7.7206103746236785
q0.5__f0.35__n1__RAR,0.5,0.35,1.0,1,97,34,10.741501230059086,9.992203087717781
q0.5__f0.35__n1__RAR,0.5,0.35,1.0,2,108,23,11.00883108454861,8.0691425342725
q0.5__f0.35__n1__RAR,0.5,0.35,1.0,3,106,25,9.59193260398946,13.90539083040277
q0.5__f0.35__n1__RAR,0.5,0.35,1.0,4,104,27,10.30199013118651,11.464795420833111
q0.5__f0.35__n2__RAR,0.5,0.35,2.0,0,109,22,11.029402048180515,7.6707760957182
q0.5__f0.35__n2__RAR,0.5,0.35,2.0,1,97,34,10.720378159850354,10.009152876815236
q0.5__f0.35__n2__RAR,0.5,0.35,2.0,2,108,23,10.9957590576619,8.065418953214499
q0.5__f0.35__n2__RAR,0.5,0.35,2.0,3,106,25,9.57764968751208,13.900463985131463
q0.5__f0.35__n2__RAR,0.5,0.35,2.0,4,104,27,10.297250200605362,11.428729966990543
q0.5__f0.35__n4__RAR,0.5,0.35,4.0,0,109,22,11.02259017149667,7.6588668677851945
q0.5__f0.35__n4__RAR,0.5,0.35,4.0,1,97,34,10.718077569916753,9.986197907393667
q0.5__f0.35__n4__RAR,0.5,0.35,4.0,2,108,23,10.988264290732852,8.058420774620245
q0.5__f0.35__n4__RAR,0.5,0.35,4.0,3,106,25,9.560842599901973,13.920170665206534
q0.5__f0.35__n4__RAR,0.5,0.35,4.0,4,104,27,10.293275670398316,11.409465976164514
q0.5__f0.35__n6__RAR,0.5,0.35,6.0,0,109,22,11.014076528885797,7.663200898775963
q0.5__f0.35__n6__RAR,0.5,0.35,6.0,1,97,34,10.716373413628707,9.963426404179227
q0.5__f0.35__n6__RAR,0.5,0.35,6.0,2,108,23,10.980773537505053,8.055140197278828
q0.5__f0.35__n6__RAR,0.5,0.35,6.0,3,106,25,9.549120277549632,13.927003087299262
q0.5__f0.35__n6__RAR,0.5,0.35,6.0,4,104,27,10.288396464404297,11.39558846203042
q0.5__f0.35__n8__RAR,0.5,0.35,8.0,0,109,22,11.007623550455039,7.668483300218798
q0.5__f0.35__n8__RAR,0.5,0.35,8.0,1,97,34,10.71460757295736,9.948601003859926
q0.5__f0.35__n8__RAR,0.5,0.35,8.0,2,108,23,10.975155307057564,8.054099496693096
q0.5__f0.35__n8__RAR,0.5,0.35,8.0,3,106,25,9.541761418371477,13.928703085891676
q0.5__f0.35__n8__RAR,0.5,0.35,8.0,4,104,27,10.284911311860988,11.385425920594297
q0.75__f0.05__n0__RAR,0.75,0.05,0.0,0,109,22,11.241109162235388,8.165427217384496
q0.75__f0.05__n0__RAR,0.75,0.05,0.0,1,97,34,11.039694039400091,10.027152633389486
q0.75__f0.05__n0__RAR,0.75,0.05,0.0,2,108,23,11.269050756216316,8.143458934070024
q0.75__f0.05__n0__RAR,0.75,0.05,0.0,3,106,25,9.82693438387089,14.147894539948933
q0.75__f0.05__n0__RAR,0.75,0.05,0.0,4,104,27,10.47646654418708,11.903451479678678
q0.75__f0.05__n1__RAR,0.75,0.05,1.0,0,109,22,11.268762508877133,8.14132182317432
q0.75__f0.05__n1__RAR,0.75,0.05,1.0,1,97,34,11.052987380530412,10.072097704569902
q0.75__f0.05__n1__RAR,0.75,0.05,1.0,2,108,23,11.289256547999354,8.170042677767931
q0.75__f0.05__n1__RAR,0.75,0.05,1.0,3,106,25,9.85267701824579,14.155669787001324
q0.75__f0.05__n1__RAR,0.75,0.05,1.0,4,104,27,10.493680906945647,11.937099550810453
q0.75__f0.05__n2__RAR,0.75,0.05,2.0,0,109,22,11.260518091543117,8.12714002845644
q0.75__f0.05__n2__RAR,0.75,0.05,2.0,1,97,34,11.043273396591914,10.065523597441164
q0.75__f0.05__n2__RAR,0.75,0.05,2.0,2,108,23,11.279631377955193,8.165090096944875
q0.75__f0.05__n2__RAR,0.75,0.05,2.0,3,106,25,9.843165615297716,14.14794783724448
q0.75__f0.05__n2__RAR,0.75,0.05,2.0,4,104,27,10.485934556146546,11.924030271141692
q0.75__f0.05__n4__RAR,0.75,0.05,4.0,0,109,22,11.2548967645725,8.123034299125981
q0.75__f0.05__n4__RAR,0.75,0.05,4.0,1,97,34,11.039661035025944,10.05452238923597
q0.75__f0.05__n4__RAR,0.75,0.05,4.0,2,108,23,11.273983049235,8.161081012940508
q0.75__f0.05__n4__RAR,0.75,0.05,4.0,3,106,25,9.835771015541848,14.148175896356197
q0.75__f0.05__n4__RAR,0.75,0.05,4.0,4,104,27,10.481193789752426,11.916377629480495
