galaxy,fold,oof_RMSE_km_s,fixed_RAR_RMSE_km_s,delta_MSE_km_s2,improvement_fraction,concentration_R50_over_R80,R80_kpc,g_R80_m_s2,hubble_type,distance_mpc,inclination_deg,luminosity_3p6_billion_solar,effective_radius_kpc,effective_surface_brightness,disk_scale_kpc,disk_central_surface_brightness,HI_mass_billion_solar,HI_radius_kpc,flat_velocity_km_s,flat_velocity_error_km_s,quality,disk_luminosity_fit_solar,disk_velocity_fractional_rms,disk_fit_points,bulge_luminosity_fit_solar,bulge_scale_fit_kpc,bulge_velocity_fractional_rms,bulge_fit_points,disk_profile_light_solar,bulge_profile_light_solar,disk_mass_solar,bulge_mass_solar,gas_mass_solar,stellar_mass_solar,baryonic_mass_solar,stellar_bulge_fraction,baryonic_bulge_fraction,gas_fraction,bulge_scale_over_disk_scale,rotation_points,outer_rotation_points,morphology_input_pass,log10_baryonic_mass_solar,log10_effective_surface_brightness,log10_R80_kpc,log10_g_R80_over_a0
NGC4013,2,6.043639905745287,11.656093923011076,99.33894223173883,0.4815038429113776,0.6628289814342098,5.928954412280422,1.3038239695308966e-10,3,18.0,89.0,79.094,4.11,746.16,3.53,10205.4,2.967,31.35,172.9,7.1,2,72653125577.63344,0.0995913911591733,36,15530253122.760448,0.0647276469370996,0.0020056929061854,36,25140558287.213863,267622734.0008329,36326562788.81672,10871177185.932312,3946110000.000001,47197739974.74903,51143849974.74903,0.2303325793088489,0.2125607906190026,0.0771570775752762,0.0183364438915296,36,28,True,10.70879341746925,2.872831963754798,0.7729781110683285,0.03603771481002879
NGC4088,2,4.662369009386094,5.469366040094273,8.176280100852644,0.14754855037902515,0.6698198740645311,6.546930625966078,9.564445888289403e-11,4,18.0,69.0,107.286,6.1,457.96,2.58,3988.69,8.226,22.25,171.7,6.9,1,96513690581.31924,0.1287020217763246,12,0.0,,,0,95235502693.42436,0.0,48256845290.65962,0.0,10940580000.000002,48256845290.65962,59197425290.65962,0.0,0.0,0.1848151325210802,,12,8,True,10.77230281810171,2.6608275466983815,0.8160377389791605,-0.09852143160370806
NGC4100,1,14.635981398929083,13.468325850669155,-32.81615028999511,-0.08669641358594804,0.8080102489758709,6.419759259631213,1.2152049491340382e-10,4,18.0,73.0,59.394,4.93,388.0,2.15,8970.78,3.102,18.06,158.2,5.0,1,48907055208.28466,0.1588438428435667,24,0.0,,,0,46284637598.38522,0.0,24453527604.14233,0.0,4125660000.0,24453527604.14233,28579187604.14233,0.0,0.0,0.1443588970108449,,24,19,True,10.456049879316648,2.5888317255942073,0.8075187423719592,0.005468283550707912
NGC4157,0,7.70174126842259,7.864278629444067,2.5300597958070483,0.020667802945451674,0.6792855646491881,6.426252692371696,1.246494514024582e-10,3,18.0,82.0,105.62,4.44,848.85,2.32,23813.87,8.226,24.09,184.7,7.2,1,89892641922.24594,0.132008197421816,17,2019132090.9629376,0.001,0.0001710289581875,17,89714452213.12202,96208.13342353384,44946320961.12297,1413392463.6740563,10940580000.000002,46359713424.79703,57300293424.79703,0.030487515113026,0.0246664088296344,0.1909341007888347,0.0004310344827586,17,14,False,10.758156845919292,2.9288309529910093,0.8079577988290955,0.016509125413029943
NGC4183,3,3.7685858355665913,5.657091025725395,17.800439673309654,0.3338297336158993,0.7748322747158543,6.974287094688685,2.125085136907154e-11,6,18.0,82.0,10.838,4.47,86.46,2.79,1098.58,3.506,16.07,110.6,5.4,1,9876842060.147783,0.081326608024201,23,0.0,,,0,10325774082.625317,0.0,4938421030.073893,0.0,4662980000.0,4938421030.073893,9601401030.073893,0.0,0.0,0.4856562063593039,,23,14,True,9.982334609626538,1.936815231197633,0.8434998210257277,-0.7518049122503193
NGC4217,2,5.895640883723633,5.393641494206472,-5.667212861807759,-0.09307244281185145,0.6639366677189068,6.662724218953259,1.0006039471414277e-10,3,18.0,86.0,85.299,5.28,483.98,2.94,4373.51,2.562,16.7,181.3,7.2,1,16585582549.823818,0.2728628722186,19,106612117695.9992,2.238396876080232,0.1160368970193098,19,16393112776.230576,57151550069.97199,8292791274.911909,74628482387.19943,3407460000.0,82921273662.11134,86328733662.11134,0.89999199350575,0.8644686331122796,0.0394707515731288,0.7613594816599428,19,9,False,10.936155370384215,2.684827415220645,0.8236518374816257,-0.07891903430978851
NGC4559,2,5.058311162543516,8.419135821329213,45.2953361608764,0.3991887920695274,0.5005574526216922,14.03998274149216,8.704876952844546e-12,6,9.0,67.0,19.377,3.82,211.27,2.1,1602.62,5.811,21.16,121.2,5.1,1,17610289367.534157,0.0551757845567409,32,0.0,,,0,18358791189.494583,0.0,8805144683.767078,0.0,7728630000.000001,8805144683.767078,16533774683.767078,0.0,0.0,0.4674449814287114,,32,23,True,10.218372014925755,2.324837832312843,1.1473665739419825,-1.1394186094889693
NGC5005,0,14.198449372212776,6.317790110662855,-161.6814926929,-1.2473759215662028,0.5636116440501674,7.12121472242733,2.302650956430102e-10,4,16.9,68.0,178.72,3.97,1789.91,9.45,96.57,1.28,10.41,262.2,20.7,1,729574665717.9993,0.3121985922559752,18,24055331053.17851,0.3281063897915543,0.0657831637521227,18,140626461957.11987,12177771417.887531,364787332858.9996,16838731737.224957,1702400000.0000002,381626064596.2246,383328464596.2246,0.044123641698952,0.0439276841988811,0.0044410998849073,0.0347202528879951,18,0,False,11.583571069601545,3.252831194395521,0.852554081031618,0.28304686508861837
NGC5033,1,18.77141428732393,18.466447712851103,-11.356303214885259,-0.016514631249874512,0.25761630270481234,20.66312261677009,2.791166492354002e-11,5,15.7,66.0,110.509,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,3.6,1,109819204936.6885,0.2377946556496357,22,26196124010.52023,0.2455489521067818,0.0244951362025043,22,80564944493.09348,13123470094.133451,54909602468.34425,18337286807.36416,15047620000.0,73246889275.7084,88294509275.7084,0.2503490180769429,0.2076832065525632,0.1704253200276849,0.0475870062222445,22,13,True,10.945933697174345,3.3088289644961937,1.315195952844658,-0.6333955032336476
NGC5055,1,10.084847215703315,9.456979950272132,-12.269673584229807,-0.0663919421139425,0.5313131026572057,10.52336513359186,9.448567610388565e-11,4,9.9,55.0,152.922,4.18,1383.02,3.2,3348.34,11.722,35.06,179.0,4.9,1,158698369764.46906,0.1327725185817705,28,0.0,,,0,140143878522.9651,0.0,79349184882.23453,0.0,15590260000.0,79349184882.23453,94939444882.23453,0.0,0.0,0.1642126728183273,,28,16,True,10.97744668803868,3.1408284605336303,1.022154639556711,-0.1038152709833295
NGC5371,2,15.29010280199539,9.823916028063774,-137.277917569139,-0.5564162761892992,0.6804083019440555,4.991934561530928,3.544287905949868e-10,4,39.7,53.0,340.393,9.8,560.83,7.44,1395.82,11.18,30.03,209.5,3.9,1,384187153965.8299,0.1802155637687381,19,0.0,,,0,312424533404.46765,0.0,192093576982.91492,0.0,14869400000.0,192093576982.91492,206962976982.91492,0.0,0.0,0.071845700215394,,19,9,True,11.315892662702854,2.7488312369236176,0.6982688836150136,0.47034774676298674
NGC5585,0,6.874050718993049,5.18374376228676,-20.381373894241968,-0.3260784163375827,0.673408630830213,8.26392682897404,5.484023674453453e-12,7,7.06,51.0,2.943,2.27,90.54,1.53,297.05,1.683,10.92,90.3,2.4,1,3185366271.828867,0.1619765535900721,24,0.0,,,0,2903736208.3888288,0.0,1592683135.9144337,0.0,2238390000.0000005,1592683135.9144337,3831073135.914434,0.0,0.0,0.5842723228163386,,24,10,True,9.583320442826432,1.9568404901592336,0.9171864631686922,-1.3400819250829026
NGC5907,3,4.308114454209426,6.43653501640288,22.86913286681224,0.3306780055991899,0.5843580295641814,13.56891005273378,6.682750724863198e-11,5,17.3,88.0,175.425,7.88,449.6,5.34,8646.29,21.025,0.0,215.0,2.9,1,168877606647.6948,0.0215761906599505,19,0.0,,,0,132699604556.45744,0.0,84438803323.8474,0.0,27963250000.0,84438803323.8474,112402053323.8474,0.0,0.0,0.2487788182964383,,19,14,True,11.050774244854674,2.652826302561005,1.132544963570242,-0.2542259843606306
NGC5985,3,4.8038023236514835,9.78623768876818,72.69393133634738,0.5091267475380367,0.5419992220774866,30.671859295524996,3.963851642347002e-11,3,39.7,60.0,208.728,10.71,288.95,7.01,1461.61,11.586,39.5,293.6,8.6,1,194432973319.34296,0.0721356070824836,33,10182040081.490725,0.0018747804327196,0.0001397067931976,33,179249132444.65076,9426056.58897939,97216486659.67148,7127428057.043507,15409380000.0,104343914716.71498,119753294716.71498,0.0683070793001573,0.0595175946841709,0.1286760421619463,0.0002674437136547,33,9,False,11.078287470793114,2.460822698802402,1.4867401032505616,-0.4810638545521921
NGC6015,1,9.73167777160096,10.302801767610315,11.442172012401983,0.05543385274138146,0.5653920957044359,4.494563992239439,1.1173043060283376e-10,6,17.0,60.0,32.129,3.92,331.76,2.3,1926.77,5.834,21.43,154.1,7.0,2,28982038906.474083,0.0681626529256271,44,0.0,,,0,31661228753.60824,0.0,14491019453.23704,0.0,7759220000.0,14491019453.23704,22250239453.23704,0.0,0.0,0.3487252358028516,,44,25,True,10.347334689144363,2.5208240223559613,0.6526875681607549,-0.031009773531725952
NGC6195,0,12.083782007874076,6.398007823679546,-105.08328350195654,-0.8886788420531495,0.49205970285012945,14.321039569892804,8.57723456287602e-11,3,127.8,62.0,391.076,9.52,686.8,13.94,174.11,20.907,40.89,251.7,9.3,1,498922283053.52606,0.1550141829913576,23,134759185487.21512,2.042308871293965,0.0473527083557865,23,251142109135.8828,76858725992.80212,249461141526.76303,94331429841.05058,27806310000.0,343792571367.8136,371598881367.8136,0.2743847240961125,0.2538528358692233,0.0748288312861656,0.1465070926322787,23,0,True,11.570074397957457,2.836830286488879,1.1559745447233079,-0.1458339590934684
NGC6503,1,1.2336093654010505,2.4887180995283913,4.6719257125150255,0.5043193660082201,0.22105107779358,10.662452255704931,9.945575183848914e-12,6,6.26,74.0,12.845,1.62,774.16,2.16,398.87,1.744,14.05,116.3,2.4,1,15815243114.28872,0.1747992654714129,31,0.0,,,0,10946979862.22158,0.0,7907621557.14436,0.0,2319520000.0000005,7907621557.14436,10227141557.14436,0.0,0.0,0.2268004199452638,,31,23,True,10.009754267199282,2.8888307280420182,1.0278570994974725,-1.0815513412469806
NGC6674,4,11.45113580928447,13.826622944581777,60.04699072895812,0.1718053023372701,0.5937570685261941,10.324038245644125,1.972376694109151e-10,3,51.2,54.0,214.654,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,4.9,1,195124894564.2733,0.0106412527306299,15,17263174032.621513,0.0097185315945849,0.000322074856707,15,185232378236.4586,464025801.3058268,97562447282.13666,12084221822.835058,42779450000.00001,109646669104.97173,152426119104.9717,0.1102105692902177,0.0792792068301167,0.2806569520446753,0.0016090284096995,15,11,False,11.18305939227411,2.7488312369236176,1.0138496047290024,0.21580861615481814
NGC6946,3,7.160281348336209,5.20922737718913,-24.133579120074657,-0.3745380705957697,0.6804288869119804,4.837245524017191,1.219565048630142e-10,6,5.52,38.0,66.173,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,10.9,1,58265906243.88443,0.0522349407771686,58,4182567038.428153,0.052079322824379,0.0110578077221359,58,61519202525.47024,1766490393.1866431,29132953121.94221,2927796926.899707,7541100000.0,32060750048.841923,39601850048.84192,0.0913202879670453,0.0739308119011809,0.1904229219266114,0.0213439847640897,58,37,True,10.597715474997118,2.7568338155405883,0.6845981314280858,0.007023723430097141
NGC7331,2,12.343675576385616,9.842741337102742,-55.48676970594768,-0.25408919666063645,0.3498761111530183,13.565620025942293,7.320927000382649e-11,3,14.7,75.0,250.631,3.99,2470.76,5.02,1806.47,11.067,27.01,239.0,5.4,1,309534308508.0515,0.2014109438805804,36,11628685990.527658,0.001,9.333157068244836e-05,36,165524366128.4782,0.0,154767154254.02576,8140080193.36936,14719110000.0,162907234447.3951,177626344447.3951,0.0499675795306555,0.0458269870873804,0.0828655796852202,0.0001992031872509,36,20,False,11.249507378107237,3.392830561776918,1.1324396482776082,-0.2146151696803384
NGC7793,0,8.072490681186908,7.553521026829693,-8.10942589509117,-0.06870566091149577,0.6250698879452798,4.338357030035291,2.6088761771405965e-11,7,3.61,47.0,7.05,2.19,233.79,1.21,1068.64,0.861,7.35,0.0,0.0,1,6557111870.240624,0.1185967072283356,46,0.0,,,0,6941992149.51221,0.0,3278555935.120312,0.0,1145130000.0,3278555935.120312,4423685935.120312,0.0,0.0,0.2588633137150718,,46,12,True,9.645784286134365,2.3688259309588453,0.6373252899081798,-0.6627277790059339
NGC7814,0,10.757655420114654,9.03172532123465,-34.15508785969105,-0.1910963893933022,0.4761233093069116,6.05892838535669,2.1352114993521041e-10,2,14.4,90.0,74.529,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,22791722702.519604,0.0418183538946381,18,55033366031.85604,0.4586582191913805,0.0163936365095992,18,23343926894.905186,30187639024.355637,11395861351.259802,38523356222.299225,1423100000.0000002,49919217573.55903,51342317573.55903,0.7717139429425691,0.7503236714452195,0.0277178761547158,0.1805741020438505,18,11,True,10.710475468672998,3.432829845538161,0.782395819301577,0.2502596536657512
UGC00128,1,3.2651316895443516,3.491815663311794,1.5316916764828292,0.06491865425463073,0.6170675363990962,15.256782231948563,1.0266566298884851e-11,8,64.5,57.0,12.02,9.63,20.36,5.95,88.89,7.431,31.27,129.3,2.8,1,11803124266.04655,0.0906396448167004,22,0.0,,,0,11386696107.538525,0.0,5901562133.023275,0.0,9883230000.000002,5901562133.023275,15784792133.023275,0.0,0.0,0.6261235445301399,,22,15,True,10.198238867123049,1.308777773664721,1.1834629473629228,-1.0677560299863433
UGC00191,0,11.145411955960462,13.435771716764645,56.29975395694636,0.17046730244354769,0.7305818402568924,7.942618288293019,7.735786485472692e-12,9,17.1,45.0,2.004,2.5,50.21,1.58,207.41,1.343,10.03,0.0,0.0,1,1780864096.3680277,0.0378092255697676,9,0.0,,,0,1864566351.0975907,0.0,890432048.1840138,0.0,1786190000.0000002,890432048.1840138,2676622048.1840143,0.0,0.0,0.6673299284864899,,9,3,True,9.427587051061266,1.7007902213743469,0.8999636914337639,-1.1906767717178572
UGC00731,3,15.817351363298988,18.26334138408822,83.36103436169307,0.13392894374302622,0.7989508698143087,9.337294326245265,5.155901016709073e-12,10,12.5,57.0,0.323,1.4,25.63,2.3,82.57,1.807,11.57,73.3,2.3,1,310134591.1480522,0.0478893579189101,12,0.0,,,0,293809800.00728124,0.0,155067295.5740261,0.0,2403310000.0,155067295.5740261,2558377295.574026,0.0,0.0,0.9393884178685094,,12,5,True,9.407964592254775,1.408748606184244,0.9702210486697191,-1.366876674897231
UGC01281,0,3.0762364326851412,2.0979512595329433,-5.06183110240354,-0.4663050052792881,0.7007464744458111,4.391215996247735,3.6092187565685156e-12,8,5.27,90.0,0.353,2.01,13.83,1.63,135.78,0.294,5.26,55.2,3.5,1,403781524.6291157,0.1414484618692383,25,0.0,,,0,310966524.43539643,0.0,201890762.31455785,0.0,391020000.0,201890762.31455785,592910762.3145578,0.0,0.0,0.6594921611366393,,25,1,True,8.772989333582279,1.1408221801093106,0.6425847998170704,-1.5217680403828573
UGC02259,4,4.68325429797877,6.916821030566181,25.90954234934598,0.32291810395513165,0.6406240698512361,6.559797686150769,9.405173082747155e-12,8,10.5,41.0,1.725,2.4,47.08,1.62,172.52,0.494,7.28,86.2,2.9,2,1661951279.363518,0.0582926056823624,8,0.0,,,0,1442872527.480386,0.0,830975639.681759,0.0,657020000.0,830975639.681759,1487995639.6817589,0.0,0.0,0.4415469927993327,,8,4,True,9.172601658585581,1.6728364541713971,0.8168904452989462,-1.105814453796492
UGC02487,1,11.334584630042672,11.107237816531176,-5.102076822619296,-0.02046834841090095,0.5186011856129872,18.72267748220777,1.152984047207952e-10,0,69.1,36.0,489.955,9.63,818.14,7.89,1150.35,17.963,40.2,332.0,3.5,1,369012823865.8453,0.0165282025268951,17,108238771171.2732,0.3629832064626594,0.0045090971189682,17,248353567386.0753,4404048205.372349,184506411932.92267,75767139819.89124,23890790000.000004,260273551752.8139,284164341752.8139,0.2911057973798603,0.2666314124866476,0.0840738491417825,0.046005476104266,17,12,True,11.453569579743508,2.9128276264402975,1.2723679561862005,-0.017357947649271743
UGC02885,0,8.393348272596748,1.6990243086785866,-67.56161162362206,-3.9400989907699797,0.42525938810036734,50.72462142370903,1.5716076404408315e-11,5,80.6,64.0,403.525,12.2,421.53,11.4,470.79,40.075,74.24,289.5,12.0,1,378340125110.14777,0.1426955060186189,19,50491830224.69592,0.4720418484260916,0.0230533970148872,19,343034134557.0195,19484846136.443485,189170062555.07388,35344281157.28714,53299750000.00001,224514343712.36105,277814093712.361,0.1574254926115939,0.1272227793953512,0.1918540175113819,0.0414071796864992,19,11,True,11.443754274037481,2.624828488500072,1.7052188144198699,-0.8828371145606773
UGC02916,4,23.566712337422107,26.122704634514104,127.00576702726141,0.0978456225284936,0.5841453418028459,16.692285940093385,2.912208937233369e-11,2,65.4,50.0,124.153,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,6.9,2,48447884960.88794,0.0574454198956043,43,105150853909.55716,1.8669809547279728,0.1170327747821347,43,52385045004.13825,66838539157.7681,24223942480.44397,73605597736.69,30953090000.0,97829540217.13396,128782630217.13396,0.752386217632439,0.5715491104086574,0.2403514351882046,0.3035741389801581,43,7,True,11.109857290744632,3.3848299265915687,1.2225158156000044,-0.6149587157114519
UGC02953,3,3.7030190925818407,5.226716777887954,13.606217876229795,0.2915209968430351,0.5753157605376009,7.394985922534422,2.252408543036759e-10,2,16.5,50.0,259.518,5.03,1544.65,3.55,4215.31,7.678,24.0,264.9,6.0,2,206185795933.7768,0.0814296413651885,115,36257231252.55022,0.6483752260603446,0.1209270768965238,115,229229193738.80148,29285529035.116405,103092897966.8884,25380061876.78515,10211740000.0,128472959843.67355,138684699843.67355,0.1975517798271925,0.1830054930745334,0.0736327800507968,0.1826409087493928,115,41,True,11.142028550907545,3.1888300887521526,0.8689373515889709,0.2734659198361781
UGC03205,4,4.139221159388675,5.393515443224529,11.95685702997056,0.23255598264978183,0.5791538765526377,9.049602586341358,1.1746382755955676e-10,2,50.0,67.0,113.642,5.35,587.26,3.19,3915.89,9.677,28.6,219.6,8.6,1,79834728705.40173,0.382500518842155,48,21574690928.79535,0.9601285509458496,0.090059265141017,48,96314184361.5198,16961938624.433908,39917364352.70087,15102283650.156744,12870410000.0,55019648002.85761,67890058002.85761,0.2744889180202018,0.222452065802051,0.1895772426569183,0.3009807369736206,48,20,False,10.83180617972035,2.768830420780154,0.9566295075644659,-0.009277097821705308
UGC03546,1,2.8131978402235784,3.192058903221324,2.2751579533959125,0.11868861900242844,0.36175582105678705,8.633620392759477,7.774340002436532e-11,1,28.7,55.0,101.336,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,98337584912.01135,0.2334791312227577,30,27917715148.999928,0.0426587638829547,0.0132431659649516,30,71589586752.08253,3217992391.881171,49168792456.00568,19542400604.29995,3557750000.0,68711193060.30563,72268943060.30563,0.2844136411246448,0.2704121546096582,0.0492293072147353,0.011255610523207,30,10,True,10.858951703169181,3.3808296708221524,0.9361929494680195,-0.1885177159328415
UGC03580,2,15.523809323425892,12.196812169711224,-92.22642880686885,-0.2727759604248656,0.5242401382887835,10.028385171086079,7.907330542195634e-12,1,20.7,63.0,13.266,1.84,614.94,2.43,302.57,4.37,19.97,126.2,3.2,2,13133698579.493006,0.1611350386482941,47,4199188566.406704,0.5111263303787656,0.1276186984154368,47,10081505536.862633,3040996378.105244,6566849289.746503,2939431996.4846926,5812100000.0,9506281286.231195,15318381286.231195,0.3092094487822632,0.1918892043199615,0.3794199851406075,0.210340053653813,47,16,True,10.185212875244389,2.788832743515087,1.001231006026588,-1.1811513524946957
UGC04278,4,9.576904603354738,8.848466543410192,-13.421741611907663,-0.08232364968222017,0.9156937505326507,6.23339518044176,9.609809644832263e-12,7,9.51,90.0,1.307,2.46,34.11,2.21,377.42,1.116,8.9,91.4,4.8,1,1670610941.6673114,0.0728277650023466,25,0.0,,,0,1284642773.4383802,0.0,835305470.8336557,0.0,1484280000.0000002,835305470.8336557,2319585470.833656,0.0,0.0,0.6398901953229393,,25,1,True,9.365410379798314,1.5328817194073971,0.7947246608635735,-1.096466460982381
UGC04325,0,11.789734369520428,14.637268093781799,75.25178074539144,0.19453997194128458,0.7158685530407466,5.759266333055183,1.8069969027438063e-11,9,9.6,41.0,2.026,2.79,41.0,1.86,213.22,0.678,6.61,90.9,2.7,1,2601862276.745234,0.0694668916586542,8,0.0,,,0,1829646461.761882,0.0,1300931138.372617,0.0,901740000.0,1300931138.372617,2202671138.372617,0.0,0.0,0.4093847621148865,,8,1,True,9.34294966126726,1.6127838567197355,0.7603671626246634,-0.8222238378820592
UGC04483,1,2.3470733578363974,3.4988397280720496,6.733126095669873,0.32918523274865896,0.7087694598793184,0.895411370933725,5.301300036528513e-12,10,3.34,58.0,0.013,0.26,29.71,0.18,82.57,0.032,1.46,0.0,0.0,2,11087877.584708871,0.1591211068982387,8,0.0,,,0,12005712.564621575,0.0,5543938.792354436,0.0,42560000.0,5543938.792354436,48103938.79235444,0.0,0.0,0.8847508347230065,,8,5,True,7.682180638239745,1.472902651803664,-0.04797739476113471,-1.3547988614549968
UGC04499,2,2.3004791691741726,4.3967925417954525,14.039580247783821,0.47678241643060093,0.6907730606236577,5.892777073594344,6.710093547857804e-12,8,12.5,50.0,1.552,2.69,33.79,1.73,127.3,1.1,8.67,72.8,2.4,1,1560011326.191919,0.0781370679743449,9,0.0,,,0,1261581614.113402,0.0,780005663.0959597,0.0,1463000000.0000002,780005663.0959597,2243005663.09596,0.0,0.0,0.6522498021608475,,9,4,True,9.350830370082397,1.5287881917748962,0.7703200118504326,-1.2524526711788955
UGC05005,1,7.884976508686624,4.738421421085201,-39.720216978740815,-0.6640513386166471,0.6609162723740064,19.83793817455352,2.4534874741068776e-12,10,53.7,41.0,4.1,5.02,25.63,3.2,65.59,3.093,21.61,98.9,7.2,1,3839884377.323001,0.0410528786319149,11,0.0,,,0,4223790090.590233,0.0,1919942188.6615005,0.0,4113690000.0,1919942188.6615005,6033632188.661501,0.0,0.0,0.6817932998518724,,11,5,True,9.780578831973633,1.408748606184244,1.2974965324378425,-1.6893974009469734
UGC05253,1,16.910350092028533,10.096223634197846,-184.02620856323426,-0.6749183362727755,0.28204835940979384,14.998765532929042,3.204011229222626e-11,2,22.9,37.0,171.582,4.28,1488.78,8.07,189.16,16.396,36.64,213.7,7.1,2,172151874432.9271,0.2219760781396766,73,83158719711.41135,1.0818041263959686,0.0579233039738008,73,105583390160.85336,63535704437.162,86075937216.46355,58211103797.98794,21806680000.000004,144287041014.45148,166093721014.45148,0.4034395839620666,0.3504714292777094,0.1312914170795333,0.1340525559350642,73,9,True,11.220353214749291,3.172830525928742,1.1760555161024107,-0.5734872165440151
UGC05716,4,5.925556000690949,7.885448809700025,27.06808901307503,0.24854549896997347,0.7487773322389283,8.209478650160467,3.781279664795595e-12,9,21.3,54.0,0.588,1.84,27.59,1.14,90.54,1.094,10.64,73.1,1.2,2,538511606.206406,0.0348979989123056,12,0.0,,,0,433083787.16331553,0.0,269255803.103203,0.0,1455020000.0000002,269255803.103203,1724275803.1032033,0.0,0.0,0.8438441213298826,,12,9,True,9.236606733754202,1.4407517004791854,0.9143155777591759,-1.5015424469220895
UGC05721,1,8.772331320607092,11.786515093921853,61.96814126074348,0.2557315499361753,0.6983640287014868,9.289006126506244,4.7107517826334805e-12,7,6.18,61.0,0.531,0.6,233.79,0.38,913.76,0.562,6.74,79.7,6.6,1,476596045.9969399,0.0386120605088123,23,0.0,,,0,518184672.105228,0.0,238298022.99846995,0.0,747460000.0000001,238298022.99846995,985758022.99847,0.0,0.0,0.7582591087885675,,23,17,True,8.99377032044451,2.3688259309588453,0.9679692493150125,-1.4060910249069518
UGC05750,1,8.109207918651165,10.22019566312716,38.69314632468847,0.2065506193870733,0.720589248131959,15.71073754802972,2.7090453295414007e-12,8,58.7,64.0,3.336,8.8,6.87,3.46,124.98,1.099,16.79,0.0,0.0,1,2688942455.908891,0.2348029633173399,11,0.0,,,0,3235162521.4851394,0.0,1344471227.9544456,0.0,1461670000.0,1344471227.9544456,2806141227.954446,0.0,0.0,0.5208825505427228,,11,2,True,9.448109524489153,0.8369567370595504,1.1961965736791016,-1.6463649740506345
UGC05764,2,9.411837618568894,11.438464078910824,42.25577312622468,0.1771764501213441,0.7656332922370078,3.418665644861349,6.091894137907279e-12,10,7.47,60.0,0.085,1.2,9.31,1.17,33.79,0.163,3.51,0.0,0.0,2,99627424.09142824,0.0871072809625034,10,0.0,,,0,76686785.61213674,0.0,49813712.04571412,0.0,216790000.0,49813712.04571412,266603712.0457141,0.0,0.0,0.813154469367731,,10,1,True,8.425866192001122,0.9689496809813426,0.5338566276487778,-1.2944288982848309
UGC05829,4,5.947670545348107,7.63191569428316,22.871352248644158,0.22068445412685456,0.8457339431093839,4.722158388017613,6.957623900839228e-12,10,8.64,34.0,0.564,2.91,10.59,1.99,63.22,1.023,7.87,0.0,0.0,2,537673825.2377069,0.0847035578672806,11,0.0,,,0,493462452.2133321,0.0,268836912.61885345,0.0,1360590000.0,268836912.61885345,1629426912.6188536,0.0,0.0,0.8350113708464699,,11,2,True,9.212034885109114,1.024895960107485,0.674140549851651,-1.236720297089455
UGC05918,1,4.181925559153619,6.155415390714021,20.400637249936736,0.3206103416737045,0.7577832181350184,3.8126955478610385,2.8470036526548442e-12,10,7.66,46.0,0.233,2.63,5.36,1.66,24.94,0.297,5.9,0.0,0.0,2,285970189.31704164,0.0616032248582361,8,0.0,,,0,202889661.31171548,0.0,142985094.65852082,0.0,395010000.0,142985094.65852082,537995094.6585208,0.0,0.0,0.7342260253334149,,8,0,True,8.7307783158663,0.7291647896927701,0.5812321272870673,-1.6247932217082477
UGC05986,4,3.853545534842111,4.356134976127785,4.126098741142247,0.11537508457380974,0.7333366587725806,8.448734044525061,1.4450242482896469e-11,9,8.63,90.0,4.695,3.12,76.71,1.67,1725.16,2.667,16.53,113.0,4.1,2,4853040130.850782,0.0736614926528597,15,0.0,,,0,4369909397.651732,0.0,2426520065.425391,0.0,3547110000.0,2426520065.425391,5973630065.425391,0.0,0.0,0.5937947213253496,,15,8,True,9.776238324140389,1.8848519827459977,0.9267916392851031,-0.9193061111972508
UGC06399,0,0.6879184708908377,2.0086707315000134,3.5615262849920106,0.6575255166997324,0.7240091991213876,6.669832659109163,8.171128949187822e-12,9,18.0,75.0,2.296,3.45,30.82,2.05,311.05,0.674,8.8,85.0,3.8,1,2387471648.8831573,0.069815981501002,9,0.0,,,0,2050386759.345445,0.0,1193735824.4415786,0.0,896420000.0000001,1193735824.4415786,2090155824.4415789,0.0,0.0,0.4288771150540865,,9,2,True,9.320178664662475,1.4888326343824005,0.824114937943961,-1.1668991818615246
UGC06446,1,9.063152080210973,12.29153840529893,68.94119073990608,0.2626511197081878,0.7787139740602919,8.313032940065364,7.018692036385588e-12,7,12.0,51.0,0.988,2.06,37.05,1.49,86.46,1.379,10.33,82.2,4.3,1,971601141.8379208,0.0662527361904236,17,0.0,,,0,872219048.3260525,0.0,485800570.91896045,0.0,1834070000.0,485800570.91896045,2319870570.9189606,0.0,0.0,0.7905915196266651,,17,10,True,9.365463755622066,1.568788212315347,0.9197595013800703,-1.2329250590325582
