system,target_kind,fraction_max,length_over_R80,radius_exponent,width_over_R80,external_direction_mix,tensor_axis_ratio,tensor_orientation,shape_gate,candidate_id,changed_parameter,changed_level,jensen_shannon,pearson,normalized_RMSE,centroid_offset_kpc
A2163,lenstool_best,0.6,1.0,-0.5,0.1,0.0,1.5,tidal,H,T013_width_over_R80_0.1,width_over_R80,0.1,0.1399774308475534,0.4560640580725804,0.8171861486518409,80.20768598102562
A2163,lenstool_best,0.6,1.0,-0.5,0.175,0.0,1.5,tidal,H,T014_width_over_R80_0.175,width_over_R80,0.175,0.12210312407869342,0.5314245544736548,0.7132700839747993,79.22696148198378
A2163,lenstool_best,0.6,1.0,-0.5,0.35,0.0,1.5,tidal,H,T015_width_over_R80_0.35,width_over_R80,0.35,0.11411174233580783,0.5468085720593318,0.6812762286659301,76.52294004041003
A2163,lenstool_best,0.6,1.0,-0.5,0.5,0.0,1.5,tidal,H,T016_width_over_R80_0.5,width_over_R80,0.5,0.11331453272322362,0.5327209362325189,0.6826669740770297,73.08021991457765
A2163,lenstool_best,0.6,1.0,-0.5,0.25,0.25,1.5,tidal,H,T017_external_direction_mix_0.25,external_direction_mix,0.25,0.11658169755280438,0.5664081582838504,0.6750812470592507,77.33832831363783
A2163,lenstool_best,0.6,1.0,-0.5,0.25,0.5,1.5,tidal,H,T018_external_direction_mix_0.5,external_direction_mix,0.5,0.10946812058840878,0.5846531046730725,0.6579447127819814,74.83719152559246
A2163,lenstool_best,0.6,1.0,-0.5,0.25,0.75,1.5,tidal,H,T019_external_direction_mix_0.75,external_direction_mix,0.75,0.11616833370044416,0.5842871177989709,0.6570449045767052,72.21469830748451
A2163,lenstool_best,0.6,1.0,-0.5,0.25,1.0,1.5,tidal,H,T020_external_direction_mix_1.0,external_direction_mix,1.0,0.11260851208854869,0.5872748107973667,0.65123959119411,71.03956348852273
A2163,lenstool_best,0.6,1.0,-0.5,0.25,0.0,1.0,tidal,H,T021_tensor_axis_ratio_1.0,tensor_axis_ratio,1.0,0.1119864451778016,0.5610358134729415,0.6785578994264191,78.01007232286479
A2163,lenstool_best,0.6,1.0,-0.5,0.25,0.0,1.25,tidal,H,T022_tensor_axis_ratio_1.25,tensor_axis_ratio,1.25,0.11409552940862128,0.555328228269117,0.6828362755294257,78.24985678886465
A2163,lenstool_best,0.6,1.0,-0.5,0.25,0.0,2.0,tidal,H,T023_tensor_axis_ratio_2.0,tensor_axis_ratio,2.0,0.11867288513674984,0.5421140533232209,0.6926173261834911,78.27368148143313
A2163,lenstool_best,0.6,1.0,-0.5,0.25,0.0,3.0,tidal,H,T024_tensor_axis_ratio_3.0,tensor_axis_ratio,3.0,0.12258412837398774,0.5280493683469024,0.7012973474888685,77.71072883045389
A2163,lenstool_best,0.6,1.0,-0.5,0.25,0.0,1.5,radial,H,T025_tensor_orientation_radial,tensor_orientation,radial,0.11306833689909213,0.5534278538103246,0.6877749694413334,77.45153993812218
A2163,lenstool_best,0.6,1.0,-0.5,0.25,0.0,1.5,external,H,T026_tensor_orientation_external,tensor_orientation,external,0.11242966375977625,0.5472843765805291,0.6895035155614188,77.9676701671323
A2163,lenstool_best,0.6,1.0,-0.5,0.25,0.0,1.5,tidal,none,T027_shape_gate_none,shape_gate,none,0.1153705447807089,0.546237231472703,0.697085045094892,80.08349686123589
A2163,lenstool_best,0.6,1.0,-0.5,0.25,0.0,1.5,tidal,sqrt_H,T028_shape_gate_sqrt_H,shape_gate,sqrt_H,0.1146391288843808,0.5522642342518109,0.687009369179445,78.89214437088184
A2163,lenstool_best,0.6,1.0,-0.5,0.25,0.0,1.5,tidal,H2,T029_shape_gate_H2,shape_gate,H2,0.11988879901356958,0.5409713616011788,0.6930262628377852,77.98491647100441
A2163,lenstool_best,,,,,,,,,LOCAL75,control,LOCAL75,0.10978872179798056,0.5396563535576381,0.6725680190243059,71.27924962501245
A2163,lenstool_best,,,,,,,,,CENTRAL100,control,CENTRAL100,0.11302056127868115,0.5894001646761245,0.6984765946068708,83.3968679409347
A2163,lenstool_best,,,,,,,,,C0351,control,C0351,0.10794075611644025,0.5694800294142278,0.6919537137186395,79.16666226873147
A2163,lenstool_best,,,,,,,,,W060,control,W060,0.10157310588367435,0.579604619317512,0.6681327739279103,76.82468698854967
A2163,glafic_best,0.6,1.0,-0.5,0.25,0.0,1.5,tidal,H,T000_BASE,baseline,base,0.11410106309779486,0.5411773853567639,0.685750759246532,88.77015162498294
A2163,glafic_best,0.3,1.0,-0.5,0.25,0.0,1.5,tidal,H,T001_fraction_max_0.3,fraction_max,0.3,0.12048248304367809,0.5311312873446464,0.6946592674101539,88.5821803038728
A2163,glafic_best,0.45,1.0,-0.5,0.25,0.0,1.5,tidal,H,T002_fraction_max_0.45,fraction_max,0.45,0.11650725841407644,0.5385092535090913,0.68716600480476,88.54950194578258
A2163,glafic_best,0.75,1.0,-0.5,0.25,0.0,1.5,tidal,H,T003_fraction_max_0.75,fraction_max,0.75,0.11320964957855252,0.538754763619131,0.6909268269764226,89.26164590051648
A2163,glafic_best,1.0,1.0,-0.5,0.25,0.0,1.5,tidal,H,T004_fraction_max_1.0,fraction_max,1.0,0.11528480277907245,0.5236858009735295,0.7150942461704985,90.72623110479302
A2163,glafic_best,0.6,0.5,-0.5,0.25,0.0,1.5,tidal,H,T005_length_over_R80_0.5,length_over_R80,0.5,0.13242250883768455,0.5096418154434702,0.7629172663343874,91.9985323568599
A2163,glafic_best,0.6,0.75,-0.5,0.25,0.0,1.5,tidal,H,T006_length_over_R80_0.75,length_over_R80,0.75,0.11878990065898727,0.5268601380866553,0.7237101287085331,89.20391740878073
A2163,glafic_best,0.6,1.25,-0.5,0.25,0.0,1.5,tidal,H,T007_length_over_R80_1.25,length_over_R80,1.25,0.11484379099774013,0.5262960922788694,0.6787572908498645,83.24123436495327
A2163,glafic_best,0.6,1.5,-0.5,0.25,0.0,1.5,tidal,H,T008_length_over_R80_1.5,length_over_R80,1.5,0.1177362460846815,0.5072660410395179,0.6886416735921445,75.00049234110078
A2163,glafic_best,0.6,1.0,-1.0,0.25,0.0,1.5,tidal,H,T009_radius_exponent_-1.0,radius_exponent,-1.0,0.117248735585778,0.5127604283667986,0.6959761944419097,84.29727544572077
A2163,glafic_best,0.6,1.0,-0.75,0.25,0.0,1.5,tidal,H,T010_radius_exponent_-0.75,radius_exponent,-0.75,0.1150236264165865,0.5239398113822978,0.6896374449759901,86.51830915724979
A2163,glafic_best,0.6,1.0,-0.25,0.25,0.0,1.5,tidal,H,T011_radius_exponent_-0.25,radius_exponent,-0.25,0.11208957920927387,0.5491864076440837,0.6877939759923491,88.60359341542875
A2163,glafic_best,0.6,1.0,0.0,0.25,0.0,1.5,tidal,H,T012_radius_exponent_0.0,radius_exponent,0.0,0.12421522940165731,0.5499686268989757,0.7251196817458199,92.57269374301913
A2163,glafic_best,0.6,1.0,-0.5,0.1,0.0,1.5,tidal,H,T013_width_over_R80_0.1,width_over_R80,0.1,0.14041851820706006,0.4467227951571021,0.8411186117818146,90.65163879763014
A2163,glafic_best,0.6,1.0,-0.5,0.175,0.0,1.5,tidal,H,T014_width_over_R80_0.175,width_over_R80,0.175,0.12132683078600827,0.5200795223703271,0.7213236040952823,89.67830171954239
A2163,glafic_best,0.6,1.0,-0.5,0.35,0.0,1.5,tidal,H,T015_width_over_R80_0.35,width_over_R80,0.35,0.11132154380931442,0.5397259108995976,0.6748869937874121,87.01622440666327
A2163,glafic_best,0.6,1.0,-0.5,0.5,0.0,1.5,tidal,H,T016_width_over_R80_0.5,width_over_R80,0.5,0.10861952650686976,0.5300204867803623,0.6683211245613873,83.61317417199514
A2163,glafic_best,0.6,1.0,-0.5,0.25,0.25,1.5,tidal,H,T017_external_direction_mix_0.25,external_direction_mix,0.25,0.1154823416344633,0.5551807384355439,0.676172602337224,87.81631976736207
A2163,glafic_best,0.6,1.0,-0.5,0.25,0.5,1.5,tidal,H,T018_external_direction_mix_0.5,external_direction_mix,0.5,0.10971172709461391,0.5706376251036814,0.6584769243489789,85.31734376672114
A2163,glafic_best,0.6,1.0,-0.5,0.25,0.75,1.5,tidal,H,T019_external_direction_mix_0.75,external_direction_mix,0.75,0.11426357184574823,0.5724905078377353,0.655070834751909,82.72391073920268
A2163,glafic_best,0.6,1.0,-0.5,0.25,1.0,1.5,tidal,H,T020_external_direction_mix_1.0,external_direction_mix,1.0,0.10992724538363535,0.5790879152159137,0.6437678324071087,81.57462072792589
A2163,glafic_best,0.6,1.0,-0.5,0.25,0.0,1.0,tidal,H,T021_tensor_axis_ratio_1.0,tensor_axis_ratio,1.0,0.1109013104153833,0.5492604507299021,0.6798655061698973,88.47475700825085
A2163,glafic_best,0.6,1.0,-0.5,0.25,0.0,1.25,tidal,H,T022_tensor_axis_ratio_1.25,tensor_axis_ratio,1.25,0.11268533869599114,0.5441914611055101,0.6838232348985112,88.71508229339096
A2163,glafic_best,0.6,1.0,-0.5,0.25,0.0,2.0,tidal,H,T023_tensor_axis_ratio_2.0,tensor_axis_ratio,2.0,0.11673041277927668,0.5337842968905617,0.69187251492961,88.75102289626226
A2163,glafic_best,0.6,1.0,-0.5,0.25,0.0,3.0,tidal,H,T024_tensor_axis_ratio_3.0,tensor_axis_ratio,3.0,0.12021218581220844,0.5215858381312779,0.6987438418046872,88.20215461416682
A2163,glafic_best,0.6,1.0,-0.5,0.25,0.0,1.5,radial,H,T025_tensor_orientation_radial,tensor_orientation,radial,0.11212513171051865,0.539730091967055,0.6927103494370217,87.92112359445281
A2163,glafic_best,0.6,1.0,-0.5,0.25,0.0,1.5,external,H,T026_tensor_orientation_external,tensor_orientation,external,0.11092038754098207,0.5375658486227476,0.6900342758032851,88.4360005816097
A2163,glafic_best,0.6,1.0,-0.5,0.25,0.0,1.5,tidal,none,T027_shape_gate_none,shape_gate,none,0.11430702085673632,0.5287225932677215,0.7070954388817194,90.2758182559205
A2163,glafic_best,0.6,1.0,-0.5,0.25,0.0,1.5,tidal,sqrt_H,T028_shape_gate_sqrt_H,shape_gate,sqrt_H,0.11320993844879326,0.5387662011535986,0.6909071085531729,89.26019614370205
A2163,glafic_best,0.6,1.0,-0.5,0.25,0.0,1.5,tidal,H2,T029_shape_gate_H2,shape_gate,H2,0.11804594746296462,0.5358242355853322,0.6897323122077124,88.53369781449864
A2163,glafic_best,,,,,,,,,LOCAL75,control,LOCAL75,0.10531581280349246,0.5413717232036789,0.6509039636991408,81.74859615225748
A2163,glafic_best,,,,,,,,,CENTRAL100,control,CENTRAL100,0.1154250519607022,0.5705625961744364,0.7264961384266353,93.96004638825501
A2163,glafic_best,,,,,,,,,C0351,control,C0351,0.11119146854073254,0.549690104578188,0.71007674286024,89.51219010882232
A2163,glafic_best,,,,,,,,,W060,control,W060,0.10259357562408028,0.5609900961023512,0.6764790222891957,87.1849759009261
A3192,lenstool_best,0.6,1.0,-0.5,0.25,0.0,1.5,tidal,H,T000_BASE,baseline,base,0.021014507883099057,0.9242862238081152,0.28200081747345157,28.57234439543527
A3192,lenstool_best,0.3,1.0,-0.5,0.25,0.0,1.5,tidal,H,T001_fraction_max_0.3,fraction_max,0.3,0.017996701734828875,0.957481451799114,0.22519003302563204,23.874440855165812
A3192,lenstool_best,0.45,1.0,-0.5,0.25,0.0,1.5,tidal,H,T002_fraction_max_0.45,fraction_max,0.45,0.018860602981480706,0.9444365508638252,0.24676099069341037,26.160657579613193
A3192,lenstool_best,0.75,1.0,-0.5,0.25,0.0,1.5,tidal,H,T003_fraction_max_0.75,fraction_max,0.75,0.024690970357018633,0.898110300901568,0.3283198549723293,31.114868193488192
A3192,lenstool_best,1.0,1.0,-0.5,0.25,0.0,1.5,tidal,H,T004_fraction_max_1.0,fraction_max,1.0,0.03525253242548293,0.8447749798702012,0.4243769166703543,35.66188878890662
A3192,lenstool_best,0.6,0.5,-0.5,0.25,0.0,1.5,tidal,H,T005_length_over_R80_0.5,length_over_R80,0.5,0.022180499324922415,0.9447210013904215,0.24489118157866205,25.64236185118787
A3192,lenstool_best,0.6,0.75,-0.5,0.25,0.0,1.5,tidal,H,T006_length_over_R80_0.75,length_over_R80,0.75,0.020458176141878885,0.9372173284869093,0.25767108565802965,24.71897778101959
A3192,lenstool_best,0.6,1.25,-0.5,0.25,0.0,1.5,tidal,H,T007_length_over_R80_1.25,length_over_R80,1.25,0.02366784097199497,0.9235564890256484,0.28885601278940415,36.947396381402456
A3192,lenstool_best,0.6,1.5,-0.5,0.25,0.0,1.5,tidal,H,T008_length_over_R80_1.5,length_over_R80,1.5,0.028094657001431707,0.9155276989339781,0.3139959030266142,37.99586044029028
A3192,lenstool_best,0.6,1.0,-1.0,0.25,0.0,1.5,tidal,H,T009_radius_exponent_-1.0,radius_exponent,-1.0,0.023407614441267516,0.9193120671556827,0.2921993943691355,39.87076414229138
A3192,lenstool_best,0.6,1.0,-0.75,0.25,0.0,1.5,tidal,H,T010_radius_exponent_-0.75,radius_exponent,-0.75,0.022095680282531983,0.9215158713058978,0.2871218878838833,36.91661720989789
A3192,lenstool_best,0.6,1.0,-0.25,0.25,0.0,1.5,tidal,H,T011_radius_exponent_-0.25,radius_exponent,-0.25,0.023500218025678705,0.9304033083850471,0.27090309137357377,26.054075285384837
A3192,lenstool_best,0.6,1.0,0.0,0.25,0.0,1.5,tidal,H,T012_radius_exponent_0.0,radius_exponent,0.0,0.021416114807232205,0.9275387813365715,0.27685090607061236,29.19477285693376
A3192,lenstool_best,0.6,1.0,-0.5,0.1,0.0,1.5,tidal,H,T013_width_over_R80_0.1,width_over_R80,0.1,0.03986888459760145,0.8005399880035383,0.560491665670148,25.26775081022954
A3192,lenstool_best,0.6,1.0,-0.5,0.175,0.0,1.5,tidal,H,T014_width_over_R80_0.175,width_over_R80,0.175,0.02480345549145988,0.8944280740081124,0.348688314731863,27.613135014520424
