source_id,designation,ref_epoch,ra,dec,ra_error,dec_error,pmra,pmdec,pmra_error,pmdec_error,astrometric_params_solved,phot_g_mean_mag,ruwe,duplicated_source,visibility_periods_used,target_epoch,ra_epoch,dec_epoch,image_x_pixel,image_y_pixel,residual_pixel,residual_arcsec,initial_x_pixel,initial_y_pixel,accepted,rejection_reason,refined_x_pixel,refined_y_pixel,centroid_shift_pixel,background_adu,net_weight_adu,fwhm_pixel,ellipticity,moment_xx,moment_yy,moment_xy,fitted_residual_pixel,loo_residual_pixel,loo_residual_arcsec
5484997047463884672,Gaia DR3 5484997047463884672,2016.0,104.57960796826988,-55.93504979370592,0.057712574,0.056562968,-8.57357254959702,5.352535657009335,0.07213805,0.06744848,31,17.320488,0.93735266,False,25,1998.9507289938715,104.57968045766822,-55.93507514282564,1411.0,1378.0,0.3017716259187127,0.0602250945026591,1411.0,1378.0,True,,1410.689001104991,1377.864169318988,0.33936748017611684,745.5968627929688,141267.16766357422,3.7201168916472844,0.060760027016460216,2.492255646921392,2.4992057901371316,-0.15619982405244365,0.3586715747395746,0.3732898503693332,0.07449811242834448
5484996428988596224,Gaia DR3 5484996428988596224,2016.0,104.54612197495938,-55.96453291207124,0.013152768,0.013781881,-2.000361618632489,1.3239222281984164,0.01634276,0.017728562,31,14.37761,1.0049381,False,25,1998.9507289938715,104.54613890086348,-55.964539182045925,1747.0,848.0,2.00279003428867,0.3997003320534503,1747.0,848.0,True,,1748.3893415164346,848.0322874389508,1.3897166358659994,3937.435302734375,4442702.495361328,5.446144337083935,0.0835901431815892,4.9521151694258325,5.745644618463096,-0.24388934136053544,0.5410025459630852,0.5718724045100726,0.11412958226350711
5484996738226234880,Gaia DR3 5484996738226234880,2016.0,104.55712325020782,-55.92856812224584,0.06327317,0.06294476,2.9723124729245685,3.921870777716877,0.07839183,0.07575199,31,17.438467,0.9946759,False,26,1998.9507289938715,104.5570981235642,-55.92858669586744,1638.0,1495.0,0.8992580829329332,0.1794665183051514,1638.0,1495.0,True,,1638.340591776045,1494.5618558136446,0.55495322861164,819.6292419433594,484915.3034362793,3.7680874921821785,0.0739813599158774,2.545602385355418,2.575417993622044,-0.19584996416572634,0.2921936660976762,0.3090570170069527,0.06167905282442748
5484996665210433152,Gaia DR3 5484996665210433152,2016.0,104.577848442591,-55.93850151904484,0.11701917,0.112016745,-1.2122835482815275,-2.9201969463805177,0.14630075,0.12829705,31,18.528942,1.0079367,False,26,1998.9507289938715,104.57785869333946,-55.93848768925897,1429.0,1316.0,0.7284138448367663,0.1453708330224403,1429.0,1316.0,True,,1429.0494506370142,1316.4523953217843,0.4550899830510259,782.5329284667969,311085.7102050781,3.767530324025191,0.06408078795355554,2.498466803547612,2.621039248311352,-0.15779119061258426,0.36392285107249484,0.37737418007523676,0.07531322929617193
5485043944210485888,Gaia DR3 5485043944210485888,2016.0,104.55025955612074,-55.90118158613054,0.1270872,0.118079886,0.3267411695464046,5.962036886222513,0.16545466,0.13799775,31,18.604994,0.93299633,False,26,1998.9507289938715,104.55025679594269,-55.90120982179238,1709.0,1988.0,1.2602114008980851,0.2515026072492964,1709.0,1988.0,True,,1708.690353441707,1987.711892038901,0.42295057431261657,113.30789184570312,16205.194778442383,3.6433028095224738,0.08599567064968394,2.471452097363992,2.3160070940231834,-0.20010156277805785,1.1352918215052656,1.282825613783034,0.25601576551576033
5485043669332547328,Gaia DR3 5485043669332547328,2016.0,104.54325142982556,-55.920585011614136,0.09976245,0.09806758,-4.278842680166781,9.024318588062462,0.12431058,0.11285825,31,18.158363,1.0484592,False,24,1998.9507289938715,104.54328759386034,-55.92062774996226,1778.0,1638.0,0.1864334865259301,0.0372068590289161,1778.0,1638.0,True,,1777.893180819211,1638.033410670314,0.11192234037608159,431.3421325683594,76018.1748046875,3.5876156747304444,0.06968295980642436,2.2986587254004642,2.343568275909827,-0.1658495226757124,0.15523968707728805,0.1710385118832581,0.03413445684432273
5485043673628843648,Gaia DR3 5485043673628843648,2016.0,104.55707883855789,-55.92304277030974,0.14623645,0.14101194,-1.6278720749408928,3.280788586372805,0.17940879,0.16032164,31,18.846327,1.0226587,False,25,1998.9507289938715,104.55709259792222,-55.92305830782467,1639.0,1594.0,0.147964078639306,0.0295294515908247,1639.0,1594.0,True,,1638.5221972598836,1594.0060989328838,0.4778416635718264,767.12109375,192323.74365234375,3.7602878583457957,0.07812468241624826,2.596983603996664,2.5028585271406087,-0.20154597000014396,0.27919644494989254,0.29761733910554056,0.05939601617180955
5485044047289698176,Gaia DR3 5485044047289698176,2016.0,104.57779061529072,-55.90403947203487,0.13821954,0.1465493,2.532912214754701,-1.10672165148991,0.17568547,0.17137016,31,18.71607,1.0343316,False,26,1998.9507289938715,104.5777692166899,-55.904034230702266,1431.0,1937.0,0.7272321620546286,0.1451350025098474,1431.0,1937.0,True,,1430.4320641607098,1936.7667933424104,0.6139515149377117,179.87097930908203,47926.58232116699,3.6309761644217224,0.028852487610026456,2.3269236028536295,2.4281948902688613,-0.04773341240040308,0.3167801306308192,0.34566968233173784,0.06898590688158582
5485044051585967488,Gaia DR3 5485044051585967488,2016.0,104.5727699413324,-55.91791082457318,0.07313099,0.07170497,-5.718435800755884,9.425056590738754,0.09053664,0.08323132,31,17.715479,1.0326185,False,26,1998.9507289938715,104.572818269224,-55.91795546077986,1480.0,1686.0,0.4132041575459766,0.0824638809607678,1480.0,1686.0,True,,1480.078089979394,1685.838337957668,0.17953456718051614,766.4095153808594,159493.3325805664,3.7462254515510094,0.07707497968595478,2.4786554212967,2.583114116191793,-0.19571187054215664,0.2099000161652954,0.22281335829253912,0.04446725406595262
5485044051585968512,Gaia DR3 5485044051585968512,2016.0,104.58281909516388,-55.914839253433975,0.06797213,0.06758223,-0.1725907702943804,2.3116076462930115,0.08499523,0.08063598,31,17.637465,0.9946023,False,26,1998.9507289938715,104.5828205536549,-55.91485020099654,1379.0,1742.0,0.6134594233728168,0.1224291768110981,1379.0,1742.0,True,,1379.2970392640177,1741.6547222268462,0.4554657671024884,850.6787719726562,593043.9506225586,3.802683873128883,0.0768480250110608,2.5699877756371667,2.6455007399667774,-0.20462138267444518,0.21202824837490247,0.22697596101758605,0.04529799201797104
5485044047289680512,Gaia DR3 5485044047289680512,2016.0,104.56881587182616,-55.9146936182623,0.14876154,0.1529941,-0.3838769131071277,5.540695817508669,0.18265305,0.17403974,95,18.783936,1.026066,False,25,1998.9507289938715,104.5688191157941,-55.91471985849134,1521.0,1744.0,0.3225671320818838,0.064375290267734,1521.0,1744.0,True,,1520.4776265992157,1744.1789135151462,0.5521630336675347,577.0593872070312,45824.11962890625,3.642166330631086,0.08031042564330193,2.394725804764748,2.3897470865536694,-0.19979374341238912,0.12948459658192804,0.1383892556128017,0.02761858730773671
5484997146246822272,Gaia DR3 5484997146246822272,2016.0,104.61564770154855,-55.90762968994249,0.0500264,0.0462129,-0.596132295720351,11.859873452745829,0.06559284,0.05344689,31,17.012342,0.99013674,False,25,1998.9507289938715,104.61565273827183,-55.90768585721932,1048.0,1871.0,0.6865860899050449,0.137023194353868,1048.0,1871.0,True,,1048.3352991277866,1870.637574843002,0.4937382905137168,965.4246826171875,1136424.640258789,3.8798802234151553,0.07802236077602487,2.6693904192883586,2.760001407813601,-0.2153280608726116,0.14701991588041477,0.1718186832223125,0.03429015701155937
5484997111887064192,Gaia DR3 5484997111887064192,2016.0,104.59020484896529,-55.9186602986948,0.06847505,0.06731895,5.675349619910468,-13.892308840062594,0.0853769,0.07893823,31,17.653507,1.0309635,False,26,1998.9507289938715,104.59015688427816,-55.91859450598972,1305.0,1674.0,0.7468008157249505,0.149040353163664,1305.0,1674.0,True,,1305.3105605495707,1674.239056620081,0.3919131569037469,836.5125732421875,517191.49572753906,3.756989378188278,0.06404416404249968,2.5115468699626433,2.579352142563121,-0.16477852105240562,0.1951148266323479,0.20925005761531157,0.04176040227838913
5485044051585968384,Gaia DR3 5485044051585968384,2016.0,104.57765213098833,-55.91766557910183,0.021551803,0.021495987,11.09525810514386,-2.4244241430158544,0.026865799,0.026658244,31,15.313881,1.0995771,False,25,1998.9507289938715,104.57755836285708,-55.91765409725065,1434.0,1690.0,1.9273505060858251,0.3846447326364388,1434.0,1690.0,True,,1432.330926679893,1690.8918506361877,1.8924067493964016,1834.66015625,3283210.75390625,5.0979008306505085,0.22995034804160486,3.541012976644125,5.832390540209218,-0.34844853660083336,0.5450149493200533,0.5790967785716394,0.11557136330987236
5484995776153587200,Gaia DR3 5484995776153587200,2016.0,104.65285487277716,-55.98252790303592,0.023593724,0.026407233,0.0084823918586388,0.7295869890145947,0.028327972,0.030246276,31,15.672774,0.89708865,False,27,1998.9507289938715,104.65285480097066,-55.98253135829323,677.0,521.0,3.0428362926459824,0.6072641943152337,677.0,521.0,True,,676.5853466113256,521.0881772899396,0.423925308515871,756.4441833496094,8362.188995361328,4.56298667950399,0.03252054742617683,3.683663027019937,3.8258703094131845,-0.10170037822264455,2.3479621418544623,3.465894000873208,0.6916945657277076
5484996703866496128,Gaia DR3 5484996703866496128,2016.0,104.52788935374431,-55.946052606538025,0.018932782,0.018095087,-2.606834237879293,12.314538989951712,0.024149427,0.02296126,31,14.511279,1.3687333,False,26,1998.9507289938715,104.52791140074184,-55.94611092706929,1934.0,1176.0,3.3968006047421184,0.6779054750574489,1934.0,1176.0,False,centroid_shift,1932.5807378098345,1177.6142373859263,2.1494342284786385,2580.57958984375,3614043.8955078125,,,,,,,,
5484997146246825728,Gaia DR3 5484997146246825728,2016.0,104.6090301892123,-55.905534959504,0.018132355,0.016925637,-2.2938591708469,3.529479417976337,0.024064494,0.020070074,31,14.940935,0.98846936,False,25,1998.9507289938715,104.60904956898754,-55.90555167479598,1116.0,1907.0,2.2165225237238757,0.4423553011392155,1116.0,1907.0,True,,1114.9169791309014,1908.6784647892205,1.9975430537427834,1886.56494140625,3352189.1220703125,5.161252794806945,0.26636087032039046,3.3806748054566733,6.22714412525127,-0.23266951584096898,0.3202022864168964,0.36711005840779465,0.07326480047014637
