cluster,radius_kpc,log_gbar,log_gtot,err_log_gbar,err_log_gtot,gbar,gtot,dataset,group_id,normalized_cluster,overlaps_fox_calibration,B_model,log_gtot_pred,residual_dex,sigma_residual_dex,ratio_predicted_observed,held_out_cluster,model
MACS0429,100.0,-10.293,-9.446,0.008,0.108,5.0933087105719625e-11,3.580964371026362e-10,Tian2020_CLASH,MACS0429,macs0429,False,6.005409747920022,-9.48775225173774,-0.041752251737740664,0.10802421774947306,0.9083385545415761,MACS0429,radial_B_diagnostic
MACS0429,200.0,-10.526,-9.558,0.006,0.081,2.978516429429191e-11,2.766941645411513e-10,Tian2020_CLASH,MACS0429,macs0429,False,5.370321691332695,-9.603913407149285,-0.04591340714928549,0.08102742732284653,0.8996769479017164,MACS0429,radial_B_diagnostic
MACS0647,14.3,-10.007,-9.279,0.043,0.156,9.840111057611345e-11,5.260172663907063e-10,Tian2020_CLASH,MACS0647,macs0647,False,5.169175242491977,-9.460328575222569,-0.18132857522256884,0.15646249209643448,0.6586753710707707,MACS0647,constant_B
MACS0647,100.0,-10.35,-9.379,0.01,0.12,4.4668359215096346e-11,4.178303666466222e-10,Tian2020_CLASH,MACS0647,macs0647,False,5.169175242491977,-9.559629914166946,-0.1806299141669463,0.12004131380998108,0.659735852399525,MACS0647,constant_B
MACS0647,200.0,-10.456,-9.477,0.007,0.095,3.499451670283577e-11,3.334264127632347e-10,Tian2020_CLASH,MACS0647,macs0647,False,5.169175242491977,-9.594232626578018,-0.11723262657801747,0.09502951094294938,0.7634267502336297,MACS0647,constant_B
MACS0647,14.3,-10.007,-9.279,0.043,0.156,9.840111057611345e-11,5.260172663907063e-10,Tian2020_CLASH,MACS0647,macs0647,False,8.137990857062698,-9.31073481304655,-0.03173481304654935,0.156228181401255,0.9295338012971441,MACS0647,radial_B_diagnostic
MACS0647,100.0,-10.35,-9.379,0.01,0.12,4.4668359215096346e-11,4.178303666466222e-10,Tian2020_CLASH,MACS0647,macs0647,False,5.977206190741436,-9.506172261003073,-0.12717226100307322,0.120037386631631,0.7461527414919331,MACS0647,radial_B_diagnostic
MACS0647,200.0,-10.456,-9.477,0.007,0.095,3.499451670283577e-11,3.334264127632347e-10,Tian2020_CLASH,MACS0647,macs0647,False,5.35470053605854,-9.580992276664004,-0.10399227666400357,0.0950289610988296,0.78705978635723,MACS0647,radial_B_diagnostic
MACS0717,14.3,-10.184,-9.557,0.043,0.078,6.54636174067276e-11,2.773320104651838e-10,Tian2020_CLASH,MACS0717,macs0717,True,5.266989569346566,-9.503497253753006,0.0535027462469948,0.0789468297124138,1.1311045418137784,MACS0717,constant_B
MACS0717,100.0,-10.769,-9.593,0.007,0.071,1.70215850839495e-11,2.5527013026612473e-10,Tian2020_CLASH,MACS0717,macs0717,True,5.266989569346566,-9.70365519866603,-0.11065519866603069,0.07105667664749324,0.7750769138228737,MACS0717,constant_B
MACS0717,200.0,-10.699,-9.632,0.006,0.064,1.9998618696327447e-11,2.3334580622810043e-10,Tian2020_CLASH,MACS0717,macs0717,True,5.266989569346566,-9.675765292557,-0.04376529255699957,0.06404305352418045,0.9041379684826558,MACS0717,constant_B
MACS0717,400.0,-10.566,-9.709,0.004,0.055,2.716439268839078e-11,1.9543394557753964e-10,Tian2020_CLASH,MACS0717,macs0717,True,5.266989569346566,-9.625632454332365,0.0833675456676346,0.05501906708506967,1.2116231026732627,MACS0717,constant_B
MACS0717,600.0,-10.543,-9.778,0.003,0.05,2.8641779699065855e-11,1.667247212551061e-10,Tian2020_CLASH,MACS0717,macs0717,True,5.266989569346566,-9.617365150571834,0.16063484942816686,0.050011456190295595,1.4475542522218097,MACS0717,constant_B
MACS0717,14.3,-10.184,-9.557,0.043,0.078,6.54636174067276e-11,2.773320104651838e-10,Tian2020_CLASH,MACS0717,macs0717,True,8.529854348225546,-9.33024903631693,0.22675096368307024,0.0785785006208062,1.6855861870548188,MACS0717,radial_B_diagnostic
MACS0717,100.0,-10.769,-9.593,0.007,0.071,1.70215850839495e-11,2.5527013026612473e-10,Tian2020_CLASH,MACS0717,macs0717,True,6.1430928081306355,-9.642192072945985,-0.04919207294598493,0.07105463067250614,0.8929104939582642,MACS0717,radial_B_diagnostic
MACS0717,200.0,-10.699,-9.632,0.006,0.064,1.9998618696327447e-11,2.3334580622810043e-10,Tian2020_CLASH,MACS0717,macs0717,True,5.464897613075017,-9.661239125837392,-0.02923912583739252,0.06404259355586478,0.9348907744518609,MACS0717,radial_B_diagnostic
MACS0717,400.0,-10.566,-9.709,0.004,0.055,2.716439268839078e-11,1.9543394557753964e-10,Tian2020_CLASH,MACS0717,macs0717,True,4.8615749190481585,-9.656282981291668,0.05271701870833212,0.0550197089002656,1.129059992428442,MACS0717,radial_B_diagnostic
MACS0717,600.0,-10.543,-9.778,0.003,0.05,2.8641779699065855e-11,1.667247212551061e-10,Tian2020_CLASH,MACS0717,macs0717,True,4.540021771878379,-9.673694206622796,0.10430579337720403,0.0500122393065983,1.2714690508755635,MACS0717,radial_B_diagnostic
MACS0744,14.3,-9.668,-9.283,0.043,0.139,2.1478304741305376e-10,5.211947111050811e-10,Tian2020_CLASH,MACS0744,macs0744,False,5.167268251887032,-9.352665645715561,-0.06966564571556155,0.13998309714657742,0.8517935639722113,MACS0744,constant_B
MACS0744,100.0,-10.295,-9.364,0.008,0.111,5.0699070827470445e-11,4.325138310350079e-10,Tian2020_CLASH,MACS0744,macs0744,False,5.167268251887032,-9.542748767951446,-0.17874876795144523,0.11102663464628769,0.6625996956283273,MACS0744,constant_B
MACS0744,200.0,-10.443,-9.445,0.006,0.087,3.6057864302164274e-11,3.5892193464500497e-10,Tian2020_CLASH,MACS0744,macs0744,False,5.167268251887032,-9.58999172791092,-0.14499172791092008,0.08702326811675207,0.7161570508616975,MACS0744,constant_B
MACS0744,400.0,-10.568,-9.592,0.005,0.064,2.7039583641088462e-11,2.5585858869056426e-10,Tian2020_CLASH,MACS0744,macs0744,False,5.167268251887032,-9.633700930105139,-0.04170093010513831,0.0640258660117013,0.9084459014549552,MACS0744,constant_B
MACS0744,600.0,-10.667,-9.709,0.005,0.057,2.1527817347243738e-11,1.9543394557753964e-10,Tian2020_CLASH,MACS0744,macs0744,False,5.167268251887032,-9.670821843670788,0.03817815632921118,0.057032620189799564,1.0918881590679435,MACS0744,constant_B
MACS0744,14.3,-9.668,-9.283,0.043,0.139,2.1478304741305376e-10,5.211947111050811e-10,Tian2020_CLASH,MACS0744,macs0744,False,8.179120417614618,-9.238428980768177,0.04457101923182272,0.13942124969801897,1.108079752430622,MACS0744,radial_B_diagnostic
MACS0744,100.0,-10.295,-9.364,0.008,0.111,5.0699070827470445e-11,4.325138310350079e-10,Tian2020_CLASH,MACS0744,macs0744,False,5.964320317353748,-9.490839492166453,-0.12683949216645196,0.1110237633651875,0.7467246841259478,MACS0744,radial_B_diagnostic
MACS0744,200.0,-10.443,-9.445,0.006,0.087,3.6057864302164274e-11,3.5892193464500497e-10,Tian2020_CLASH,MACS0744,macs0744,False,5.32946470495582,-9.578427217340252,-0.13342721734025176,0.0870228744441382,0.7354832435101053,MACS0744,radial_B_diagnostic
MACS0744,400.0,-10.568,-9.592,0.005,0.064,2.7039583641088462e-11,2.5585858869056426e-10,Tian2020_CLASH,MACS0744,macs0744,False,4.762184545777676,-9.664879262656399,-0.07287926265639832,0.06402675927804062,0.8455138721160269,MACS0744,radial_B_diagnostic
MACS0744,600.0,-10.667,-9.709,0.005,0.057,2.1527817347243738e-11,1.9543394557753964e-10,Tian2020_CLASH,MACS0744,macs0744,False,4.45876715496946,-9.72796130517506,-0.018961305175061227,0.0570342794611724,0.957279359293293,MACS0744,radial_B_diagnostic
MACS1115,16.2,-10.291,-9.479,0.019,0.106,5.116818355403073e-11,3.31894457552611e-10,Tian2020_CLASH,MACS1115,macs1115,False,5.199634326819652,-9.53930417440871,-0.060304174408710054,0.10615565239291218,0.87035379155279,MACS1115,constant_B
MACS1115,100.0,-10.256,-9.542,0.005,0.091,5.546257129579104e-11,2.870780582024692e-10,Tian2020_CLASH,MACS1115,macs1115,False,5.199634326819652,-9.52883058497124,0.013169415028759346,0.09101204606057363,1.0307881447678982,MACS1115,constant_B
