stage,closure,lambda,fold,fit_images,validation_images,fit_RMS_arcsec,fit_roots,validation_RMS_arcsec,validation_roots,optimizer_cost
stage1,multipole_m3,2.0,1,11,4,0.40690590031813384,11,2.1891996754960514,4,23.158702006067063
stage1,multipole_m3,2.0,2,12,3,0.40567860354164464,12,inf,2,25.614570963349497
stage1,multipole_m3,2.0,3,13,2,0.4292064286104342,13,1.108785271464178,2,31.478066145466496
stage1,multipole_m3,2.0,4,12,3,0.27423761497992966,12,3.072654817131059,3,13.42121047771073
stage1,multipole_m3,5.0,0,12,3,0.4063320299191226,12,4.7143409495186,3,25.034819714207224
stage1,multipole_m3,5.0,1,11,4,0.4086152426421961,11,2.1043616847770488,4,23.177751008921714
stage1,multipole_m3,5.0,2,12,3,0.41286122701510675,12,inf,2,26.244357840273356
stage1,multipole_m3,5.0,3,13,2,0.45786898940093695,13,1.104175064532809,2,35.7791547764184
stage1,multipole_m3,5.0,4,12,3,0.2861702529279897,12,3.273847602220896,3,14.580167328023775
stage1,multipole_m3,8.0,0,12,3,0.408982647393879,12,4.827186204121257,3,25.379871074675954
stage1,multipole_m3,8.0,1,11,4,0.4091669212924867,11,inf,3,23.384671886714678
stage1,multipole_m3,8.0,2,12,3,0.40663224455051467,12,inf,2,26.06137038606299
stage1,multipole_m3,8.0,3,13,2,0.48889414752739835,13,1.0935282902184642,2,40.72790622469899
stage1,multipole_m3,8.0,4,12,3,0.2987855416096021,12,3.4665258226359277,3,15.78522601531819
stage1,multipole_m3,12.5,0,12,3,0.41029736309249426,12,5.185069299526037,3,25.571915376241712
stage1,multipole_m3,12.5,1,11,4,0.4126417704700094,11,inf,3,23.69096930343461
stage1,multipole_m3,12.5,2,12,3,0.4030778097470599,12,inf,2,26.78273308980629
stage1,multipole_m3,12.5,3,13,2,0.5356466269493725,13,1.091021491336627,2,48.97879898398685
stage1,multipole_m3,12.5,4,12,3,0.3189705601067222,12,3.70856572106716,3,17.753520577773564
stage1,multipole_m4,-12.5,0,12,3,0.4057774038090504,12,4.670256230952619,3,25.1548828109395
stage1,multipole_m4,-12.5,1,11,4,0.41082725120435903,11,3.075306557196155,4,23.156417376579466
stage1,multipole_m4,-12.5,2,12,3,0.4147938077086688,12,1.8241018908550308,3,28.11508756333284
stage1,multipole_m4,-12.5,3,13,2,0.46976624168517617,13,1.113745813410622,2,37.59342825588097
stage1,multipole_m4,-12.5,4,12,3,0.2883177466990428,12,3.2514429789407893,3,14.98238717657359
stage1,multipole_m4,-8.0,0,12,3,0.40383281354299794,12,4.6358567573934595,3,24.73358251351772
stage1,multipole_m4,-8.0,1,11,4,0.40962551292919186,11,2.8968799230737083,4,23.06781664557018
