candidate_id,spatial_mode,carrier,amplitude_A,potential_threshold_chi,potential_power,fold,training_galaxies,test_galaxies,training_clusters,test_clusters,training_galaxy_equal_RMSE_km_s,test_galaxy_equal_RMSE_km_s,training_galaxy_RMSE_ratio_to_fixed_RAR,test_galaxy_RMSE_ratio_to_fixed_RAR,training_cluster_equal_RMSE_dex,test_cluster_equal_RMSE_dex
local__potential_inverse_shape__A1__ct1e-06__p2,local,potential_inverse_shape,1.0,1e-06,2.0,1,105,26,16,4,11.794727689147628,8.831391969223604,1.0582238725078457,1.0068510758744427,0.4332390057614778,0.3976325660291496
local__potential_inverse_shape__A1__ct1e-06__p2,local,potential_inverse_shape,1.0,1e-06,2.0,2,105,26,16,4,10.466738386731269,14.049287432624876,1.0511004799233243,1.0525203405530237,0.4324437516822631,0.40108030186432475
local__potential_inverse_shape__A1__ct1e-06__p2,local,potential_inverse_shape,1.0,1e-06,2.0,3,105,26,16,4,11.338012320666579,10.984541172640684,1.0668904161194335,0.9923100574797205,0.43321186037494774,0.397750849328582
local__potential_inverse_shape__A1__ct1e-06__p2,local,potential_inverse_shape,1.0,1e-06,2.0,4,105,26,16,4,11.46676108611775,10.43086155034682,1.0406065406364229,1.1103161617912711,0.41603933214605243,0.46533955177866404
local__potential_inverse_shape__A1__ct1e-06__p4,local,potential_inverse_shape,1.0,1e-06,4.0,0,104,27,16,4,10.81121870443112,10.473949723491785,1.001742066368665,1.0053130998888322,0.4126599910806941,0.46019613409972454
local__potential_inverse_shape__A1__ct1e-06__p4,local,potential_inverse_shape,1.0,1e-06,4.0,1,105,26,16,4,11.178999820500216,8.761626823107893,1.0029807209282984,0.9988972773486914,0.42963274053406464,0.3931874716213148
local__potential_inverse_shape__A1__ct1e-06__p4,local,potential_inverse_shape,1.0,1e-06,4.0,2,105,26,16,4,9.966893541432675,13.426697116514518,1.0009045987072056,1.005878190573531,0.4284759036073851,0.39820491572373307
local__potential_inverse_shape__A1__ct1e-06__p4,local,potential_inverse_shape,1.0,1e-06,4.0,3,105,26,16,4,10.659909816113824,11.070120018240049,1.003081959858082,1.0000409902388663,0.42959576791110543,0.3933490302094014
local__potential_inverse_shape__A1__ct1e-06__p4,local,potential_inverse_shape,1.0,1e-06,4.0,4,105,26,16,4,11.054554805598123,9.377629883712789,1.0031988935791,0.9982046036108024,0.41220974156171875,0.4618073956117313
local__potential_inverse_shape__A1__ct2e-06__p1,local,potential_inverse_shape,1.0,2e-06,1.0,0,104,27,16,4,11.645454050827823,12.729019622811727,1.0790403490677924,1.2217597480779685,0.4351452158953616,0.4840667923038953
local__potential_inverse_shape__A1__ct2e-06__p1,local,potential_inverse_shape,1.0,2e-06,1.0,1,105,26,16,4,12.457755313735559,9.163757453398853,1.1177107618165911,1.0447434654877188,0.4518419327649382,0.4184274922359262
local__potential_inverse_shape__A1__ct2e-06__p1,local,potential_inverse_shape,1.0,2e-06,1.0,2,105,26,16,4,11.177932140097493,14.357433444242812,1.1225206366007248,1.0756054932088812,0.45187577122710787,0.41828129839797
local__potential_inverse_shape__A1__ct2e-06__p1,local,potential_inverse_shape,1.0,2e-06,1.0,3,105,26,16,4,12.152062926796576,10.693733419609483,1.1434913903777901,0.9660393691013395,0.4522638139694449,0.4166003665062131
local__potential_inverse_shape__A1__ct2e-06__p1,local,potential_inverse_shape,1.0,2e-06,1.0,4,105,26,16,4,11.908731362920115,11.747345231136729,1.0807152650925582,1.2504496589583287,0.4352922396599873,0.48353775389832226
local__potential_inverse_shape__A1__ct2e-06__p2,local,potential_inverse_shape,1.0,2e-06,2.0,0,104,27,16,4,10.842998334449147,10.659967495742269,1.004686692049916,1.0231675013507866,0.4260417938050389,0.4733015108454633
