galaxy,sigma_v,Q,K_mean,G_emp
UGC03580,18.45,10.840108401084011,-1.1145124564104136,0.9155413138017853
UGC04278,12.57,15.910898965791567,-1.1218362870109124,0.9408665380815732
UGC04305,5.010000000000001,39.92015968063872,-1.1508529519159705,0.9755621676991366
UGC04325,13.41,14.914243102162565,-1.120487491406236,0.9371632069724942
UGC04483,3.12,64.1025641025641,-1.1796290826506595,0.9846396218983852
UGC04499,10.035,19.930244145490782,-1.1270254167401648,0.9522222486728402
UGC05005,11.3325,17.648356496801235,-1.1241209829541698,0.9463759715140833
UGC05253,32.775,6.102212051868802,-1.1053316589845301,0.859198797121684
UGC05414,7.334999999999999,27.266530334015,-1.1359504788560943,0.9646224708804592
UGC05716,10.815,18.49283402681461,-1.125206753797769,0.9486990963641108
UGC05721,11.7825,16.974326331423722,-1.1232435056375423,0.9443650915443911
UGC05750,8.3475,23.95926924228811,-1.1319811754849525,0.9599347244387382
UGC05764,7.4925,26.693360026693362,-1.1352668884034867,0.9638902610937745
UGC05829,7.484999999999999,26.720106880427522,-1.1352988222438962,0.9639251030194954
UGC05918,5.714999999999999,34.99562554680666,-1.1450736110865092,0.9722188464623387
UGC05986,16.95,11.799410029498526,-1.1160076898977955,0.9218713989398479
UGC06399,11.625,17.204301075268816,-1.1235440609968905,0.9450679267572357
UGC06446,12.254999999999995,16.319869441044478,-1.1223810442184923,0.9422628442203953
UGC06614,29.025,6.890611541774333,-1.1071984161815853,0.8732671105774479
UGC06628,6.21,32.2061191626409,-1.1417947149029808,0.9698850686193686
UGC06667,11.595,17.248814144027598,-1.123602092650351,0.9452019187598951
UGC06786,33.75,5.925925925925926,-1.10488192720796,0.8556149732620321
UGC06787,37.425,5.344021376085505,-1.1032914305819848,0.8423712751395177
UGC06818,8.3175,24.045686804929364,-1.1320857792454722,0.9600729655453815
UGC06917,15.075,13.266998341625207,-1.1181776871794695,0.9299081715680576
UGC06923,11.355,17.613386173491854,-1.1240757064134772,0.9462752241489437
UGC06930,15.75,12.698412698412698,-1.1173515434707948,0.9269988412514484
UGC06973,26.1,7.662835249042145,-1.1088459733167864,0.884564352056612
UGC06983,16.275,12.28878648233487,-1.1167453602237039,0.9247485839787308
UGC07089,10.364999999999998,19.295706705258084,-1.1262267417692702,0.9507284957098376
UGC07125,9.7125,20.592020592020592,-1.1278521314594772,0.9536865947428026
UGC07151,10.1925,19.622271277900417,-1.1266385512659318,0.9515087360395827
UGC07261,10.44,19.157088122605366,-1.1260514226212184,0.9503896597605018
UGC07323,9.375,21.333333333333332,-1.1287714276551466,0.9552238805970149
UGC07399,14.01,14.275517487508923,-1.1196050720566137,0.9345357693565721
UGC07524,11.895,16.813787305590584,-1.123032944774547,0.9438637060808419
UGC07559,3.915,51.08556832694764,-1.1640219601936446,0.9808008238726921
UGC07577,1.6049999999999998,124.61059190031155,-1.256438037845389,0.9920388879244066
UGC07603,9.075,22.03856749311295,-1.129640049617434,0.956594523496353
UGC07608,7.965,25.109855618330194,-1.1333695372335773,0.9617002861058351
UGC07690,8.684999999999999,23.02820955670697,-1.1308504058598199,0.9583822507607159
UGC07866,3.9,51.282051282051285,-1.1642552299551676,0.980872976949485
UGC08286,12.375,16.161616161616163,-1.12217080341624,0.9417304296645085
UGC08490,11.7525,17.017655817911084,-1.1233002289718654,0.944498884310693
UGC08550,7.86,25.44529262086514,-1.133772647843822,0.962186086789185
UGC08699,27.225,7.3461891643709825,-1.1081886851808782,0.8801848388161513
UGC08837,4.755,42.06098843322818,-1.1533675770466363,0.9767771238797588
UGC09037,23.325,8.57449088960343,-1.110622128066438,0.8955558043210567
UGC09133,33.975,5.886681383370125,-1.1047799497672635,0.8547921786515653
UGC10310,10.38,19.267822736030826,-1.126191500463279,0.950660709192889
UGC11455,40.8,4.901960784313726,-1.1019501055672414,0.8305647840531561
UGC11557,10.92,18.315018315018314,-1.1249792936544003,0.9482268158543523
UGC11820,7.78125,25.70281124497992,-1.1340816621145273,0.9625507595127086
UGC11914,42.6,4.694835680751174,-1.1012725977683904,0.8244023083264633
UGC12506,34.95,5.7224606580829755,-1.104345429392333,0.8512449457331347
UGC12632,10.4625,19.115890083632017,-1.1259992560324688,0.9502880560669953
UGC12732,12.72,15.723270440251572,-1.1215847507371328,0.9402030838661151
UGCA281,3.9,51.282051282051285,-1.1642552299551676,0.980872976949485
UGCA442,7.784999999999999,25.690430314707775,-1.1340668142051384,0.962533387876892
UGCA444,5.2875,37.82505910165485,-1.148394160166148,0.97424343907934
