galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,force_match,rms_velocity
NGC5985,ok,33,2.8271,0.8579,2.8271,1.1753105534778299,constant,mass_log,False,38.378881779125734
NGC6015,ok,44,2.8271,0.8579,2.8271,0.9874592379332168,constant,mass_log,False,42.607445868526064
NGC6195,ok,23,2.8271,0.8579,2.8271,1.1431140480772162,constant,mass_log,False,43.67022238895715
NGC6503,ok,31,2.8271,0.8579,2.8271,0.8820925659631617,constant,mass_log,False,41.60948679257276
NGC6674,ok,15,2.8271,0.8579,2.8271,1.2225822869019023,constant,mass_log,False,76.10849108754074
NGC6946,ok,58,2.8271,0.8579,2.8271,0.9447823447427837,constant,mass_log,False,27.18170850542661
NGC7331,ok,36,2.8271,0.8579,2.8271,1.1288544077690212,constant,mass_log,False,70.68196502420597
NGC7793,ok,46,2.8271,0.8579,2.8271,0.723200176069363,constant,mass_log,False,7.689007372794444
NGC7814,ok,18,2.8271,0.8579,2.8271,1.0198124400653445,constant,mass_log,False,52.58580188049711
PGC51017,ok,6,2.8271,0.8579,2.8271,0.17026247858729038,constant,mass_log,False,2.859602361666247
UGC00128,ok,22,2.8271,0.8579,2.8271,1.0228333506503464,constant,mass_log,False,64.93078138730435
UGC00191,ok,9,2.8271,0.8579,2.8271,0.5903461555096123,constant,mass_log,False,17.433397456873134
UGC00731,ok,12,2.8271,0.8579,2.8271,0.6518274554133574,constant,mass_log,False,35.76995170934352
UGC01230,ok,11,2.8271,0.8579,2.8271,0.9134040695536977,constant,mass_log,False,39.99705311763114
UGC01281,ok,25,2.8271,0.8579,2.8271,0.4810393518572154,constant,mass_log,False,16.177485695463012
UGC02259,ok,8,2.8271,0.8579,2.8271,0.6597713698432487,constant,mass_log,False,32.53131154048727
UGC02455,ok,8,2.8271,0.8579,2.8271,0.35008817834507533,constant,mass_log,False,35.37808204018852
UGC02487,ok,17,2.8271,0.8579,2.8271,1.3189728934097527,constant,mass_log,False,106.41953707504769
UGC02885,ok,19,2.8271,0.8579,2.8271,1.2797759649107054,constant,mass_log,False,68.16536571918793
UGC02916,ok,43,2.8271,0.8579,2.8271,1.1009989984359052,constant,mass_log,False,37.963510360736635
UGC02953,ok,115,2.8271,0.8579,2.8271,1.2248614478524376,constant,mass_log,False,59.65882900169657
UGC03205,ok,48,2.8271,0.8579,2.8271,1.1169775640207757,constant,mass_log,False,30.13288792811214
