galaxy,rotmod_path,sigma_v,sigma_ref,beta_sigma,A_base,A_eff,n_points,rms_gr,rms_metric_resonance_sigma,delta_rms
UGC08550,data\Rotmod_LTG\UGC08550_rotmod.dat,7.86,30.0,0.4,5.694915875549634,5.694915875549634,11,24.99854471571737,23.624474308883894,-1.374070406833475
UGC08699,data\Rotmod_LTG\UGC08699_rotmod.dat,27.225,30.0,0.4,5.694915875549634,5.694915875549634,41,38.29257854611432,52.028596385372595,13.736017839258274
UGC08837,data\Rotmod_LTG\UGC08837_rotmod.dat,4.755,30.0,0.4,5.694915875549634,5.694915875549634,8,7.952404742389242,7.036399444743032,-0.9160052976462101
UGC09037,data\Rotmod_LTG\UGC09037_rotmod.dat,23.325,30.0,0.4,5.694915875549634,5.694915875549634,22,31.128091400079775,101.77428972088946,70.64619832080967
UGC09133,data\Rotmod_LTG\UGC09133_rotmod.dat,33.975,30.0,0.4,5.694915875549634,5.418412055348665,68,61.91748044477971,127.39333993899692,65.4758594942172
UGC09992,data\Rotmod_LTG\UGC09992_rotmod.dat,30.0,30.0,0.4,5.694915875549634,5.694915875549634,5,5.888447315315842,5.499674413209377,-0.3887729021064654
UGC10310,data\Rotmod_LTG\UGC10310_rotmod.dat,10.38,30.0,0.4,5.694915875549634,5.694915875549634,7,22.50539817651381,16.163285351171865,-6.342112825341946
UGC11455,data\Rotmod_LTG\UGC11455_rotmod.dat,40.8,30.0,0.4,5.694915875549634,5.035837989831163,36,39.82149446522485,179.57190130250603,139.7504068372812
UGC11557,data\Rotmod_LTG\UGC11557_rotmod.dat,10.92,30.0,0.4,5.694915875549634,5.694915875549634,12,20.837740296482337,38.61659812946105,17.778857832978716
UGC11820,data\Rotmod_LTG\UGC11820_rotmod.dat,7.78125,30.0,0.4,5.694915875549634,5.694915875549634,10,27.350315053297003,12.82220286921012,-14.528112184086883
UGC11914,data\Rotmod_LTG\UGC11914_rotmod.dat,42.6,30.0,0.4,5.694915875549634,4.949621339142928,65,20.216150253791284,53.42606412280268,33.209913869011395
UGC12506,data\Rotmod_LTG\UGC12506_rotmod.dat,34.95,30.0,0.4,5.694915875549634,5.357435399570404,31,78.84357368691505,55.277296005151086,-23.566277681763964
UGC12632,data\Rotmod_LTG\UGC12632_rotmod.dat,10.4625,30.0,0.4,5.694915875549634,5.694915875549634,15,28.541353368849645,19.011533498660796,-9.529819870188849
UGC12732,data\Rotmod_LTG\UGC12732_rotmod.dat,12.72,30.0,0.4,5.694915875549634,5.694915875549634,16,38.50841686062227,19.612302715164436,-18.896114145457833
UGCA281,data\Rotmod_LTG\UGCA281_rotmod.dat,3.9,30.0,0.4,5.694915875549634,5.694915875549634,7,6.731165308050977,6.731077750495127,-8.755755584921587e-05
UGCA442,data\Rotmod_LTG\UGCA442_rotmod.dat,7.784999999999999,30.0,0.4,5.694915875549634,5.694915875549634,8,26.097011285652165,23.856988835939795,-2.24002244971237
UGCA444,data\Rotmod_LTG\UGCA444_rotmod.dat,5.2875,30.0,0.4,5.694915875549634,5.694915875549634,36,14.062050109758859,14.035215305785377,-0.02683480397348248
