galaxy,status,n_points,alpha,gamma,alpha_eff,gamma_eff,alpha_scaling,gamma_scaling,force_match,rms_velocity
UGC03580,ok,47,2.8271,0.8579,2.3507942897762657,0.9179949076115939,mass_power,mass_log,False,38.743722339076626
UGC04278,ok,25,2.8271,0.8579,5.588614730863256,0.6359277495779866,mass_power,mass_log,False,19.85617793623713
UGC04305,ok,22,2.8271,0.8579,12.597867278141296,0.3711831064751722,mass_power,mass_log,False,4.5797301985284715
UGC04325,ok,8,2.8271,0.8579,5.702103486491545,0.6293795567129514,mass_power,mass_log,False,15.863213343324741
UGC04483,ok,8,2.8271,0.8579,33.767974957775166,0.050027115142065814,mass_power,mass_log,False,4.663088158333041
UGC04499,ok,9,2.8271,0.8579,6.174867137817578,0.6034351648315646,mass_power,mass_log,False,16.636055644850998
UGC05005,ok,11,2.8271,0.8579,3.3952762463720463,0.7982495416160791,mass_power,mass_log,False,32.87194174614818
UGC05253,ok,73,2.8271,0.8579,1.132010335388175,1.1560180839256118,mass_power,mass_log,False,41.598298899405776
UGC05414,ok,6,2.8271,0.8579,10.449271588221652,0.43209136510646673,mass_power,mass_log,False,6.001474926099317e-10
UGC05716,ok,12,2.8271,0.8579,4.92916937505716,0.6768255717898674,mass_power,mass_log,False,33.83993919486331
UGC05721,ok,23,2.8271,0.8579,5.867984027801901,0.6200391856556651,mass_power,mass_log,False,34.10187249310241
UGC05750,ok,11,2.8271,0.8579,4.743984009350808,0.6892984655936707,mass_power,mass_log,False,14.510481846217816
UGC05764,ok,10,2.8271,0.8579,10.808315436345099,0.42108736976662425,mass_power,mass_log,False,21.425363166338723
UGC05829,ok,11,2.8271,0.8579,8.3521479288837,0.5050572446557673,mass_power,mass_log,False,14.775612742534532
UGC05918,ok,8,2.8271,0.8579,12.347979765769372,0.37770894608848793,mass_power,mass_log,False,7.788834780681226
UGC05986,ok,15,2.8271,0.8579,3.838585593356044,0.7582774561877027,mass_power,mass_log,False,33.55542418236602
UGC06399,ok,9,2.8271,0.8579,5.580596321232662,0.6363954215968357,mass_power,mass_log,False,18.561497669387
