system_label,variant_id,mode,coordinate,coordinate_value,training_images,training_linearized_RMS_arcsec,heldout_images,heldout_linearized_RMS_arcsec,applied_angular_strength
MACS1931,network_hop_110,network,hop_fraction,1.1,15,3.763069420055927,4,68.9847422098872,0.04054126554812033
MACS1931,network_hop_120,network,hop_fraction,1.2,15,3.7627955874431898,4,70.93290204718278,0.04054126554812033
MACS1931,network_soft_100,network,softening_kpc,100.0,15,3.7661556769078457,4,68.68674196739937,0.04054126554812033
MACS1931,network_soft_300,network,softening_kpc,300.0,15,3.7630556271560436,4,69.151866402334,0.04054126554812033
MACS1931,network_power_150,network,distance_power,1.5,15,3.7633775831339333,4,69.0777813184526,0.04054126554812033
MACS1931,network_power_250,network,distance_power,2.5,15,3.764454688355136,4,68.9618912827236,0.04054126554812033
MACS1931,network_target_050,network,target_weight_power,0.5,15,3.7625735883402016,4,68.11538028293225,0.04054126554812033
MACS1931,network_target_150,network,target_weight_power,1.5,15,3.759744418494614,4,74.12532213522695,0.04054126554812033
MACS1931,network_target_200,network,target_weight_power,2.0,15,3.753351357623575,4,82.19468732715899,0.04054126554812033
MACS1931,network_link_125,network,link_scale_kpc,125.0,15,3.7660137171078594,4,68.81846318813983,0.04054126554812033
MACS1931,network_link_500,network,link_scale_kpc,500.0,15,3.763021595587056,4,69.141507057438,0.04054126554812033
MACS1931,network_top_001,network,top_k,1.0,15,3.772217140717775,4,71.88752191745485,0.04054126554812033
MACS1931,network_top_003,network,top_k,3.0,15,3.766987026271106,4,70.74339848180944,0.04054126554812033
MACS1931,network_top_010,network,top_k,10.0,15,3.774802456846126,4,70.5578559578301,0.04054126554812033
