candidate_id,system_label,minimum_permittivity,a0_m_s2,gate_power,anisotropy_tau,smoothing_r80_fraction,center_x_arcsec,center_y_arcsec,r80_arcsec,quadrupole_asymmetry,grid_spacing_arcsec,smoothing_width_arcsec,smoothing_width_kpc,asymmetry_gate,gate_minimum,gate_median,gate_maximum,metric_minimum_eigenvalue,metric_maximum_eigenvalue,maximum_Q_eigenvalue,RMS_Q_eigenvalue,maximum_edge_Q_eigenvalue,maximum_solver_edge_Q_eigenvalue,maximum_abs_circular_cross_mean,circular_mean_subtracted,full_metric_correction_RMS_arcsec,circular_residual_fraction,correction_RMS_arcsec_at_distance_ratio_one,correction_maximum_arcsec_at_distance_ratio_one,normalized_curl_RMS
e0d75_a0d6_n4_tp0d0_w0d20,MACS0329,0.75,6e-11,4.0,0.0,0.2,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,11.128979033450797,64.71616895492318,0.5484129442613193,0.6418427835785496,0.9986009005695824,0.9999911597464883,0.7500022100633779,0.8395393041053626,1.0000000000000002,0.9998620531088965,1.0000000000000002,1.0000000000000002,0.0,True,0.5033193244463587,0.029831027227589523,0.015014532471731293,0.18397454497529916,0.0
e0d75_a0d6_n4_tp0d0_w0d20,MACS0429,0.75,6e-11,4.0,0.0,0.2,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,10.919071547626576,59.08532499150631,0.41302141274796,0.7471843187440401,0.999529396091561,0.9999958088009919,0.7500010477997521,0.81320392031399,1.0000000000000002,0.9999540198174344,1.0000000000000002,1.0000000000000002,0.0,True,0.38415891003915237,0.029631389325412878,0.011383162226196385,0.13121216460546048,0.0
e0d75_a0d6_n4_tp0d0_w0d35,MACS0329,0.75,6e-11,4.0,0.0,0.35,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,19.47571330853889,113.25329567111554,0.5484129442613193,0.7871337938175627,0.9982354832972254,0.9999999876748337,0.7500000030812916,0.8032165515456093,1.0000000000000002,0.9991490240986826,1.0000000000000002,1.0000000000000002,0.0,True,0.520700836693384,0.035624481566404735,0.01854969735839498,0.1926937112724983,0.0
e0d75_a0d6_n4_tp0d0_w0d35,MACS0429,0.75,6e-11,4.0,0.0,0.35,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,19.108375208346505,103.39931873513603,0.41302141274796,0.8729671909141198,0.9994150645821342,0.9999990206238418,0.7500002448440395,0.7817582022714701,1.0000000000000002,0.9996550970799101,1.0000000000000002,1.0000000000000002,0.0,True,0.39285814994202867,0.034468047911235235,0.01354105353452108,0.13186211437137746,0.0
e0d75_a0d6_n4_tp0d0_w0d50,MACS0329,0.75,6e-11,4.0,0.0,0.5,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,27.82244758362699,161.79042238730793,0.5484129442613193,0.9044066063145165,0.9977397523924098,0.9999999759468935,0.7500000060132767,0.7738983484213708,1.0000000000000002,0.9972835420248898,1.0000000000000002,1.0000000000000002,0.0,True,0.5368680289260542,0.038683415904489614,0.020767889248770117,0.19390056862436836,0.0
e0d75_a0d6_n4_tp0d0_w0d50,MACS0429,0.75,6e-11,4.0,0.0,0.5,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,27.297678869066438,147.71331247876577,0.41302141274796,0.9505619120366432,0.999240753654116,0.9999997807845248,0.7500000548038688,0.7623595219908392,1.0000000000000002,0.9982512641934121,1.0000000000000002,1.0000000000000002,0.0,True,0.3997240682156957,0.03630831072908927,0.014513305674671156,0.1322752499798941,0.0
e0d75_a0d6_n4_tp0d6_w0d20,MACS0329,0.75,6e-11,4.0,0.6,0.2,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,11.128979033450797,64.71616895492318,0.5484129442613193,0.6418427835785496,0.9986009005695824,0.9999911597464883,0.53970964234554,1.0423200613377164,1.0000000000000002,0.9998620531088965,1.0000000000000002,1.0000000000000002,0.0,True,0.9412475529023189,0.03702453902514705,0.03484925675475607,0.40373669232172293,0.0
e0d75_a0d6_n4_tp0d6_w0d20,MACS0429,0.75,6e-11,4.0,0.6,0.2,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,10.919071547626576,59.08532499150631,0.41302141274796,0.7471843187440401,0.999529396091561,0.9999958088009919,0.5853809281672455,0.9786203526280223,1.0000000000000002,0.9999540198174344,1.0000000000000002,1.0000000000000002,0.0,True,0.641808585860562,0.03159576040396228,0.02027843030405617,0.28900066104543065,0.0
e0d75_a0d6_n4_tp0d6_w0d35,MACS0329,0.75,6e-11,4.0,0.6,0.35,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,19.47571330853889,113.25329567111554,0.5484129442613193,0.7871337938175627,0.9982354832972254,0.9999999876748337,0.539706486430404,1.0423200613246721,1.0000000000000002,0.9991490240986826,1.0000000000000002,1.0000000000000002,0.0,True,0.9692172735658819,0.03540787490669133,0.03431792397982518,0.4050454390440994,0.0
e0d75_a0d6_n4_tp0d6_w0d35,MACS0429,0.75,6e-11,4.0,0.6,0.35,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,19.108375208346505,103.39931873513603,0.41302141274796,0.8729671909141198,0.9994150645821342,0.9999990206238418,0.5853798355327169,0.9705646096464084,1.0000000000000002,0.9996550970799101,1.0000000000000002,1.0000000000000002,0.0,True,0.6540989704790167,0.03410344833793504,0.022307030447627645,0.30415793250669315,0.0
e0d75_a0d6_n4_tp0d6_w0d50,MACS0329,0.75,6e-11,4.0,0.6,0.5,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,27.82244758362699,161.79042238730793,0.5484129442613193,0.9044066063145165,0.9977397523924098,0.9999999759468935,0.5397312000237618,1.0423200613376926,1.0000000000000002,0.9972835420248898,1.0000000000000002,1.0000000000000002,0.0,True,0.9934462066274437,0.031401082617808974,0.03119528641065728,0.3351867621681525,0.0
e0d75_a0d6_n4_tp0d6_w0d50,MACS0429,0.75,6e-11,4.0,0.6,0.5,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,27.297678869066438,147.71331247876577,0.41302141274796,0.9505619120366432,0.999240753654116,0.9999997807845248,0.5853796067793084,0.9648568152418161,1.0000000000000002,0.9982512641934121,1.0000000000000002,1.0000000000000002,0.0,True,0.6634707422547139,0.03025840596590433,0.02007556706564301,0.23853088048250148,0.0
e0d75_a1d2_n1_tm0d6_w0d20,MACS0329,0.75,1.2e-10,1.0,-0.6,0.2,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,11.128979033450797,64.71616895492318,0.5484129442613193,0.6982524593090791,0.9117971920169375,0.9734597420366871,0.5492569155021091,1.0423199502203195,1.0000000000000002,0.9998620531088965,1.0000000000000002,1.0000000000000002,0.0,True,0.09643566001846121,0.3652710137084631,0.03522515129258803,0.32596451113995556,0.0
e0d75_a1d2_n1_tm0d6_w0d20,MACS0429,0.75,1.2e-10,1.0,-0.6,0.2,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,10.919071547626576,59.08532499150631,0.41302141274796,0.7239339445321771,0.9314004249065625,0.977877236999232,0.5929380123459214,0.9799527727242018,1.0000000000000002,0.9999540198174344,1.0000000000000002,1.0000000000000002,0.0,True,0.05203994865878133,0.3785728903610766,0.01970091377799688,0.2520877521384556,0.0
e0d75_a1d2_n1_tm0d6_w0d35,MACS0329,0.75,1.2e-10,1.0,-0.6,0.35,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,19.47571330853889,113.25329567111554,0.5484129442613193,0.7349883347510451,0.9070111604698032,0.9947593370885748,0.5415824039213746,1.0423200316746595,1.0000000000000002,0.9991490240986826,1.0000000000000002,1.0000000000000002,0.0,True,0.09794181803575305,0.3695991669593937,0.03619921435650285,0.351098210974906,0.0
e0d75_a1d2_n1_tm0d6_w0d35,MACS0429,0.75,1.2e-10,1.0,-0.6,0.35,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,19.108375208346505,103.39931873513603,0.41302141274796,0.7640494613077669,0.9278419920892872,0.9845143463523864,0.5906635172435882,0.9776237721676659,1.0000000000000002,0.9996550970799101,1.0000000000000002,1.0000000000000002,0.0,True,0.05511561575135722,0.4281638297264471,0.023598513117832398,0.2727605985431862,0.0
e0d75_a1d2_n1_tm0d6_w0d50,MACS0329,0.75,1.2e-10,1.0,-0.6,0.5,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,27.82244758362699,161.79042238730793,0.5484129442613193,0.7781540022010844,0.9016462607254252,0.9938117630678958,0.5554645585482827,1.0423189025772368,1.0000000000000002,0.9972835420248898,1.0000000000000002,1.0000000000000002,0.0,True,0.09899968291248791,0.36038548424628636,0.035678048666645756,0.3379975665925379,0.0
e0d75_a1d2_n1_tm0d6_w0d50,MACS0429,0.75,1.2e-10,1.0,-0.6,0.5,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,27.297678869066438,147.71331247876577,0.41302141274796,0.8072485720405022,0.9233496183827834,0.9892967806393821,0.5893456024412139,0.9749542500826653,1.0000000000000002,0.9982512641934121,1.0000000000000002,1.0000000000000002,0.0,True,0.056268147211420615,0.41553648570554186,0.023381468149395807,0.2575286213477873,0.0
e0d75_a1d2_n1_tp0d0_w0d20,MACS0329,0.75,1.2e-10,1.0,0.0,0.2,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,11.128979033450797,64.71616895492318,0.5484129442613193,0.6982524593090791,0.9117971920169375,0.9734597420366871,0.7566350644908282,0.8254368851727303,1.0000000000000002,0.9998620531088965,1.0000000000000002,1.0000000000000002,0.0,True,0.46185505548319655,0.03257722254121978,0.015045954924263505,0.1795753083090996,0.0
e0d75_a1d2_n1_tp0d0_w0d20,MACS0429,0.75,1.2e-10,1.0,0.0,0.2,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,10.919071547626576,59.08532499150631,0.41302141274796,0.7239339445321771,0.9314004249065625,0.977877236999232,0.755530690750192,0.8190165138669557,1.0000000000000002,0.9999540198174344,1.0000000000000002,1.0000000000000002,0.0,True,0.3477347770235846,0.030538551760666034,0.0106193164871184,0.1251482398351973,0.0
e0d75_a1d2_n1_tp0d0_w0d35,MACS0329,0.75,1.2e-10,1.0,0.0,0.35,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,19.47571330853889,113.25329567111554,0.5484129442613193,0.7349883347510451,0.9070111604698032,0.9947593370885748,0.7513101657278562,0.8162529163122387,1.0000000000000002,0.9991490240986826,1.0000000000000002,1.0000000000000002,0.0,True,0.46667692878354694,0.03598054543944803,0.016791290441638462,0.18457083466348803,0.0
e0d75_a1d2_n1_tp0d0_w0d35,MACS0429,0.75,1.2e-10,1.0,0.0,0.35,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,19.108375208346505,103.39931873513603,0.41302141274796,0.7640494613077669,0.9278419920892872,0.9845143463523864,0.7538714134119033,0.8089876346730582,1.0000000000000002,0.9996550970799101,1.0000000000000002,1.0000000000000002,0.0,True,0.3512206574970296,0.0334776149789966,0.011758029944355592,0.12821533634950252,0.0
e0d75_a1d2_n1_tp0d0_w0d50,MACS0329,0.75,1.2e-10,1.0,0.0,0.5,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,27.82244758362699,161.79042238730793,0.5484129442613193,0.7781540022010844,0.9016462607254252,0.9938117630678958,0.751547059233026,0.8054614994497289,1.0000000000000002,0.9972835420248898,1.0000000000000002,1.0000000000000002,0.0,True,0.47376705176657075,0.03785944189320591,0.017936556167271963,0.18681636692609305,0.0
e0d75_a1d2_n1_tp0d0_w0d50,MACS0429,0.75,1.2e-10,1.0,0.0,0.5,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,27.297678869066438,147.71331247876577,0.41302141274796,0.8072485720405022,0.9233496183827834,0.9892967806393821,0.7526758048401545,0.7981878569898745,1.0000000000000002,0.9982512641934121,1.0000000000000002,1.0000000000000002,0.0,True,0.3561556790052531,0.03520398033365058,0.0125380975194189,0.12951841381789805,0.0
e0d75_a1d2_n1_tp0d6_w0d20,MACS0329,0.75,1.2e-10,1.0,0.6,0.2,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,11.128979033450797,64.71616895492318,0.5484129442613193,0.6982524593090791,0.9117971920169375,0.9734597420366871,0.5492569155021091,1.0423199502203195,1.0000000000000002,0.9998620531088965,1.0000000000000002,1.0000000000000002,0.0,True,0.8794685793176361,0.03990335439246207,0.035093746397546775,0.3708879774923142,0.0
e0d75_a1d2_n1_tp0d6_w0d20,MACS0429,0.75,1.2e-10,1.0,0.6,0.2,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,10.919071547626576,59.08532499150631,0.41302141274796,0.7239339445321771,0.9314004249065625,0.977877236999232,0.5929380123459214,0.9799527727242018,1.0000000000000002,0.9999540198174344,1.0000000000000002,1.0000000000000002,0.0,True,0.5900967177045525,0.033029919981611054,0.019490847367192695,0.26342547396570487,0.0
e0d75_a1d2_n1_tp0d6_w0d35,MACS0329,0.75,1.2e-10,1.0,0.6,0.35,-2.1688734964217105,0.5555234950420278,55.64489516725398,0.05248818522896822,2.0,19.47571330853889,113.25329567111554,0.5484129442613193,0.7349883347510451,0.9070111604698032,0.9947593370885748,0.5415824039213746,1.0423200316746595,1.0000000000000002,0.9991490240986826,1.0000000000000002,1.0000000000000002,0.0,True,0.8874850048886579,0.03622150399127063,0.032146041646767355,0.36962939867613515,0.0
e0d75_a1d2_n1_tp0d6_w0d35,MACS0429,0.75,1.2e-10,1.0,0.6,0.35,-0.05760971285433636,1.2510730674941435,54.595357738132876,0.0457938947495282,2.0,19.108375208346505,103.39931873513603,0.41302141274796,0.7640494613077669,0.9278419920892872,0.9845143463523864,0.5906635172435882,0.9776237721676659,1.0000000000000002,0.9996550970799101,1.0000000000000002,1.0000000000000002,0.0,True,0.5951501697574274,0.034086567270301855,0.02028662629736812,0.2822282222227439,0.0
