galaxy,split,law,radius_kpc,observed_velocity_km_s,predicted_velocity_km_s,gbar_m_s2,gobs_m_s2,predicted_acceleration_m_s2,log_residual_dex
NGC6195,train,standard_mond,4.34,242.0,238.0708638011529,4.0717522659186314e-10,4.373110560069581e-10,4.232258839181382e-10,0.014218236528335416
NGC6195,train,standard_mond,5.35,240.0,240.34652818563262,3.309996460472963e-10,3.489138076112064e-10,3.4992210558282545e-10,-0.001253222797470146
NGC6195,train,standard_mond,6.34,233.0,244.21858155021647,2.8368758309369515e-10,2.775057836666327e-10,3.0487204637182266e-10,-0.04084556690947028
NGC6195,train,standard_mond,7.34,233.0,246.72767951792054,2.4542502039786275e-10,2.396984561916147e-10,2.6877516879445097e-10,-0.04972390636050177
NGC6195,train,standard_mond,8.32,247.0,247.17312759374255,2.1248686701160215e-10,2.3764026883378756e-10,2.379735198994161e-10,-0.0006085993552083309
NGC6195,train,standard_mond,9.34,248.0,246.61179900662825,1.8343802651025642e-10,2.134056631884221e-10,2.1102323728896463e-10,0.004875658974975128
NGC6195,train,standard_mond,10.38,242.0,247.84570389330412,1.6258225920268452e-10,1.8284489239597282e-10,1.9178511263694702e-10,-0.020732058708670148
NGC6195,train,standard_mond,11.36,252.0,248.67485799995026,1.458674263788899e-10,1.8116412675781249e-10,1.7641474474323666e-10,0.011537324323139118
NGC6195,train,standard_mond,12.34,245.0,249.19907949442623,1.313624550171047e-10,1.576400136538882e-10,1.6308993611939653e-10,-0.014760698808364376
NGC6195,train,standard_mond,13.32,247.0,251.17755100331127,1.2093129660697987e-10,1.4843596371599943e-10,1.5349946756169505e-10,-0.014567736930627824
NGC6195,train,standard_mond,14.3,238.0,254.33053000577712,1.1343282803589427e-10,1.2837112032957106e-10,1.4659204719595374e-10,-0.05764307849320517
NGC6195,train,standard_mond,15.47,249.0,258.7811912602727,1.0660863553525229e-10,1.2988465205225604e-10,1.4028930269157013e-10,-0.033466721295510836
NGC6195,train,standard_mond,16.35,250.0,260.9435473108576,1.0086377920034405e-10,1.2388300036102312e-10,1.3496613824823732e-10,-0.03721310657989414
NGC6195,train,standard_mond,17.92,253.0,264.2037295965951,9.14954898765507e-11,1.1575839371542653e-10,1.262377767807673e-10,-0.03763684561180406
NGC6195,train,standard_mond,19.1,258.0,266.8022646843214,8.568059772899882e-11,1.1294200660867786e-10,1.207800237998928e-10,-0.02913961139411975
NGC6195,train,standard_mond,22.52,254.0,269.27699865479826,6.8469876974346e-11,9.284285818729691e-11,1.043469080158967e-10,-0.050731082837320245
NGC6195,train,standard_mond,26.05,256.0,266.02519017747045,5.2080470802898366e-11,8.153079136776427e-11,8.804146322796234e-11,-0.03336559404520071
NGC6195,train,standard_mond,29.48,255.0,261.9288887611418,4.013346523889581e-11,7.148292852649926e-11,7.542039046052446e-11,-0.023286440011959904
NGC6195,train,standard_mond,33.0,244.0,259.23857166289207,3.1805448908642316e-11,5.846758659889688e-11,6.599860480811551e-11,-0.052619587198661145
NGC6195,train,standard_mond,36.43,246.0,259.8550474844494,2.6888624157457352e-11,5.3834476936594896e-11,6.006930368427731e-11,-0.04759209994747219
NGC6503,train,baryons,1.52,100.0,87.42704873207148,1.6296618660644035e-10,2.1320916377923456e-10,1.6296618660644035e-10,0.11670836361688293
NGC6503,train,baryons,2.28,110.0,101.32898499442298,1.4594257092816276e-10,1.7198872544858255e-10,1.4594257092816276e-10,0.07131798556682221
NGC6503,train,baryons,3.04,118.0,95.85731375330732,9.795494836236518e-11,1.484362198231031e-10,9.795494836236518e-11,0.1805135057651788
NGC6503,train,baryons,3.79,121.0,87.27292220385426,6.512823077865244e-11,1.2519327065106848e-10,6.512823077865244e-11,0.2838117048043783
NGC6503,train,baryons,4.55,121.0,80.23664281361728,4.585466829934832e-11,1.0428186720165924e-10,4.585466829934832e-11,0.3568252425329675
NGC6503,train,baryons,5.31,117.0,75.0747557438584,3.4398760158067546e-11,8.354619151262508e-11,3.4398760158067546e-11,0.3853838677047856
NGC6503,train,baryons,6.07,116.0,70.9876837909225,2.690461463806694e-11,7.184172342465137e-11,2.690461463806694e-11,0.4265499662444593
NGC6503,train,baryons,6.83,116.0,68.12950682340214,2.2024154320687935e-11,6.38476224286433e-11,2.2024154320687935e-11,0.46224548810330435
NGC6503,train,baryons,7.59,116.0,65.6337397989784,1.839339853170106e-11,5.745444811431275e-11,1.839339853170106e-11,0.4946616764831481
NGC6503,train,baryons,8.35,115.0,63.12420573757741,1.546517478041507e-11,5.132851030287633e-11,1.546517478041507e-11,0.5210038274346176
NGC6503,train,baryons,9.11,115.0,61.144538595037254,1.3299840173508132e-11,4.7046439190891037e-11,1.3299840173508132e-11,0.5486803365059443
NGC6503,train,baryons,9.86,116.0,59.72364397790878,1.1723711850057208e-11,4.42271055971231e-11,1.1723711850057208e-11,0.5766233826513495
NGC6503,train,baryons,10.64,117.0,58.30564123650473,1.0354496338079096e-11,4.169457489962774e-11,1.0354496338079096e-11,0.6049505714576193
