galaxy,split,law,points,velocity_RMSE_km_s,log_acceleration_RMSE_dex,mean_log_residual_dex
NGC2915,train,baryons,21,59.20848539381594,1.106467821766429,1.1061086996488134
NGC2915,train,li2018_rar_mond,21,21.23323186606388,0.2622800144770587,0.2547076187331147
NGC2915,train,simple_mond,21,21.20297253669318,0.2618310155363635,0.25428858520872905
NGC2915,train,standard_mond,21,23.329710535439116,0.2933024623722765,0.28524441442842213
NGC2955,train,baryons,24,42.64993554277889,0.1646256359077364,0.1291752054938807
NGC2955,train,li2018_rar_mond,24,20.767939680927643,0.07186530806011353,-0.04336366499315042
NGC2955,train,simple_mond,24,23.27295346881676,0.0783909153104315,-0.05587009300701959
NGC2955,train,standard_mond,24,15.769418788488705,0.05903721554625757,0.029127139756657764
NGC2976,train,baryons,21,15.981153186204379,0.24469653596030597,0.24206713875074368
NGC2976,train,li2018_rar_mond,21,4.8328095943238205,0.09159543515795705,-0.07224985938141745
NGC2976,train,simple_mond,21,5.169898752453272,0.0955430348024346,-0.07778730597172545
NGC2976,train,standard_mond,21,4.471130611973454,0.06215300178194572,0.01600099012270393
NGC2998,development,baryons,10,75.57716822043518,0.40154582536345734,0.3907291319632952
NGC2998,development,li2018_rar_mond,10,21.253760478811248,0.10602030997395573,0.012001723945047707
NGC2998,development,simple_mond,10,20.70649669710947,0.10208312098773262,0.006703970776973231
NGC2998,development,standard_mond,10,27.456129679480775,0.14597883809912518,0.08827651729413015
NGC3109,train,baryons,21,34.421927696120086,0.885356682518315,0.8802431608973811
NGC3109,train,li2018_rar_mond,21,5.271131034000795,0.09199923712432584,0.03862069293211653
NGC3109,train,simple_mond,21,5.2544832073685805,0.09182838908554479,0.03820361102877713
NGC3109,train,standard_mond,21,6.654925628359594,0.10890126078854709,0.06956045237534207
NGC3198,development,baryons,37,60.251720789852584,0.49055094055628723,0.46424742468656494
NGC3198,development,li2018_rar_mond,37,8.477594947440247,0.04870023900852457,-0.0304489959981744
NGC3198,development,simple_mond,37,8.619695525085287,0.04965345840030367,-0.033562208774864724
NGC3198,development,standard_mond,37,10.065014729463057,0.0679950920320866,0.03667290905167356
NGC3521,train,baryons,34,36.16380753517579,0.18208480168463106,0.13924581682613818
NGC3521,train,li2018_rar_mond,34,7.835218121832877,0.03461257687060172,0.020480968467577538
NGC3521,train,simple_mond,34,7.04152130539681,0.02983625003247211,0.005045974396328773
NGC3521,train,standard_mond,34,19.475204954008134,0.08584099000283131,0.08119509262557123
NGC3726,train,baryons,12,50.40406506912891,0.3505796457904976,0.2878340129580588
NGC3726,train,li2018_rar_mond,12,25.48537940456757,0.14114084111845446,-0.12887686591797362
NGC3726,train,simple_mond,12,26.325129686310973,0.14558899611803253,-0.1330710280587989
NGC3726,train,standard_mond,12,12.242111922476981,0.07145747048278894,-0.053700220396340585
NGC3741,train,baryons,19,27.17319726781388,0.9623098184553274,0.9509347234808818
NGC3741,train,li2018_rar_mond,19,2.4132420991794787,0.05398383936388936,0.014589491591988583
NGC3741,train,simple_mond,19,2.410724415035349,0.054029575615114615,0.014295707424785847
NGC3741,train,standard_mond,19,3.010271223710658,0.06181797110224321,0.04006985906501768
NGC3769,train,baryons,10,51.63736855611848,0.535647737933137,0.47981658789006454
NGC3769,train,li2018_rar_mond,10,15.167339801231678,0.10725842434905325,-0.09948655740096217
NGC3769,train,simple_mond,10,15.568096920077027,0.10993428607884127,-0.10205290438603112
NGC3769,train,standard_mond,10,8.795423727640646,0.06335760815476553,-0.041088241434987
NGC3877,train,baryons,11,35.30952770447437,0.23319915972672567,0.21876899563134009
NGC3877,train,li2018_rar_mond,11,19.513509013529525,0.09831417562753174,-0.03938921393044817
NGC3877,train,simple_mond,11,20.370276583429295,0.10108891534225692,-0.04666498149811369
