field,image_id,split,source_family,source_redshift,x_arcsec,y_arcsec,correction_x_arcsec,correction_y_arcsec,correction_magnitude_arcsec,correction_radial_arcsec,correction_tangential_arcsec,correction_convergence,correction_shear,correction_rotation,correction_gradient_spectral_norm,fixed_full_lens_mapping_determinant
P0653_compact_gather,4b,training,4,1.5202,3.486595771864287,3.41780230799999,0.0512442743184548,0.03903092117790027,0.06441574697556887,0.06391707837982241,-0.007999721858174037,-0.003947705657219372,0.01079299740915713,-0.00012127485823860973,0.01474256542949589,-0.1956703790171705
P0653_compact_gather,4c,spent_heldout,4,1.5202,6.864471675477358,-13.912761239999998,0.38067820611450964,0.5575597655580187,0.6751213141204133,-0.3315729636309997,0.5880885635417762,0.0464554422304006,0.11064675150622956,0.015410599514684709,0.1595915642060866,0.1738855075983179
P0653_compact_gather,5a,training,5,1.521,5.239793645663579,14.528709863999984,0.050115883800638965,-0.06665182800870263,0.08339105459232916,-0.045696455671020444,-0.06975601712488529,-0.008844324727119504,0.0022277328498937973,-0.00010826547464443809,0.011072720203855219,0.14381792484342654
P0653_compact_gather,5b,training,5,1.521,13.2029839889991,1.9107456839999704,0.02386697268681416,0.050133056871665034,0.05552437101427385,0.030801383942391576,0.04619773288554447,-0.007062160848774462,0.012472930715021457,0.0006194547774709611,0.019562207129105936,-0.026811875997055475
P0653_compact_gather,5c,spent_heldout,5,1.521,13.970143058665721,-3.314626776000029,0.002543976098680415,-0.017593110905798046,0.017776089720024688,0.0065367338093996145,-0.01653059215029575,-0.0019101630394498352,0.02342509670474233,0.00017878368901414095,0.025343608222752514,0.07654301533393557
P0653_compact_gather,6a,training,6,3.0815,-9.90574798751465,17.874595907999986,-0.19532779716954027,-0.08441118679939176,0.21278674019775498,0.020848241716342836,0.21176295148425708,-0.0005624439214010207,0.004494914074368263,-0.0002104980504281928,0.005095457656429572,0.2756278122542471
P0653_compact_gather,6b,training,6,3.0815,0.8049590237318596,-5.299632900000001,0.2356001268770467,0.20747206612118535,0.313930052726836,-0.16974003683908545,0.26408407354276386,-0.006755295554482232,0.016237906790227713,-0.00015126966016534849,0.022994895804462828,-0.0006726063565396133
P0653_compact_gather,6c,spent_heldout,6,3.0815,1.7125179231929197,-6.634811124000012,0.20989820809243043,0.21600484475331752,0.3011898914593882,-0.15669242786732243,0.2572213711307091,-0.006906053545809865,0.011969234430601798,0.0010182049473625443,0.018949944773570235,0.027675887021786316
P0653_compact_gather,7a,training,7,3.427,-10.01842785083087,10.257536087999991,-0.18820490429189163,-0.00302507635713631,0.1882292142216149,0.12933831073317528,0.13675466523367746,-0.005042264038890564,0.014355722206785878,-0.0002975926705859125,0.019406760519398,0.15545380724473573
P0653_compact_gather,7b,training,7,3.427,-7.485830922116288,-2.1700512000000174,-0.04890978939675749,0.6035135285398467,0.605492152409469,-0.1210574953285206,-0.5932670810471763,-0.013273900803951015,0.027894655998117066,0.0036062701419786736,0.041649714227367074,-0.22359443643689203
P0653_compact_gather,7c,spent_heldout,7,3.427,3.7040355081620837,-19.321482528000033,-0.43184461160841453,0.2560600205303408,0.5020522907917272,-0.332787073893905,-0.3759112476880062,0.01995508050423256,0.06888699309532399,-0.0009411961419725223,0.08886425737520144,0.2290155200630881
P0654_padded_gather,1a,training,1,0.6786,-5.748113029341908,4.227443603999998,-0.0031163320496349818,0.09970609507612202,0.09975478394930373,0.061583500251143675,-0.07847604359031904,-0.006425993987444704,0.019380050401801296,1.4414390218236983e-06,0.02580604455091332,0.14480361899587085
P0654_padded_gather,1b,training,1,0.6786,-4.783674198960802,-0.969769187999997,0.04320909759961535,0.3551075634957042,0.35772672218780177,-0.11290157418356242,-0.3394431356119935,-0.015011826432411793,0.03961300197381205,-0.0015456587786584139,0.05470419125421342,-0.11859322963706827
P0654_padded_gather,1c,spent_heldout,1,0.6786,0.456839445991538,-8.935221672000038,0.1754837115569441,0.16002796213745893,0.23749417190253055,-0.15085879335920338,0.18342602365497085,-0.005330895799815771,0.021201955638521033,0.001016721864437603,0.026628941300757384,0.20986516417485673
P0654_padded_gather,2a,training,2,0.916,-6.776271782658472,11.277998675999983,-0.06185201598869584,-0.0005121777650282355,0.06185413654662778,0.0314163107442215,0.053281794518872834,-0.000550705723265035,0.011115138603569703,-8.625733063167326e-05,0.011672558661268173,0.2501981143097926
P0654_padded_gather,2b,training,2,0.916,-0.7772390574582798,-4.156659036000021,0.27996217624537245,0.18936621941734577,0.33799169395780027,-0.23759737751187648,0.24038692015985852,0.004091772141456562,0.014290595258818145,-7.512898469383411e-05,0.01838305706339753,-0.014234300761095
P0654_padded_gather,2c,spent_heldout,2,0.916,0.24443970348725166,-5.292556488000027,0.26116432764023184,0.17805420879505277,0.31608560122442564,-0.1658154304128354,0.269101003971395,-0.004141785088954825,0.014790254100707292,-0.0007267310659442305,0.018995313168698725,0.046794281009710066
P0654_padded_gather,3a,training,3,1.5194,-2.0174375536347493,8.154932903999962,0.02485542778842858,0.012205264761551473,0.02769044561659053,0.005879083090316509,-0.027059141901814108,0.0017559872365562664,0.017571623275664614,-0.0002178487388035822,0.019341072129954232,0.07867682612753844
P0654_padded_gather,3b,training,3,1.5194,2.98907637506174,5.134105511999998,0.1113730013774809,0.03580058063888988,0.11698558462438875,0.08697525841594878,-0.07823638177592923,-0.0017507153723390553,0.010797484858096389,-0.00023785335993575102,0.012564283809810192,-0.10880941744511528
P0654_padded_gather,3c,training,3,1.5194,1.5634781039797112,3.965703875999982,0.10284102999583161,0.05979522214276574,0.11896111146801815,0.09334755420955669,-0.07374266176915581,-0.003162170033478469,0.015860277133777658,0.00026363449485533597,0.019033417922886584,-0.11273997631222038
P0654_padded_gather,3d,spent_heldout,3,1.5194,7.381071049134713,-15.531179832000019,0.4335631093915147,0.633775685066944,0.7678857915128477,-0.3863210257947354,0.6636299072798153,0.07906417994399978,0.11199221319335123,-0.0019355939181478488,0.1910800825162325,0.16852069627672686
P0654_padded_gather,4a,training,4,1.5202,-3.4189158540684597,10.495438775999993,-0.016328693457215333,-0.012856513604244193,0.02078259300654812,-0.007166737374665839,0.019507794531376185,0.004191144466422986,0.01739438615275812,-1.2751076476150147e-05,0.02158555001598028,0.1388606749285299
P0654_padded_gather,4b,training,4,1.5202,3.486595771864287,3.41780230799999,0.12162299495006908,0.0564846739640643,0.13409948282320544,0.1263937929815903,-0.04480268283460337,-0.004058094453167627,0.010454165049279974,-0.00012637684339851518,0.014514226834201139,-0.19583882474336536
P0654_padded_gather,4c,spent_heldout,4,1.5202,6.864471675477358,-13.912761239999998,0.4398964046646576,0.5685016903696943,0.7188205748238513,-0.31518335676849146,0.6460359668054387,0.0464656872771127,0.10800971655225745,0.014970157657731298,0.1568273948505109,0.1745552675498114
P0654_padded_gather,5a,training,5,1.521,5.239793645663579,14.528709863999984,0.11413337167059592,-0.04695233775061224,0.1234137291760765,-0.005446629663635724,-0.12329348228699342,-0.00929655684006634,0.001528817164094841,-0.00013074011590827328,0.010826293276378861,0.14395821549397217
P0654_padded_gather,5b,training,5,1.521,13.2029839889991,1.9107456839999704,0.09667680923442308,0.061968563005116634,0.11483252259124217,0.10455570729869094,0.04748275809110722,-0.006666138451726401,0.010917875944156667,0.0006093556633092467,0.017611807239142623,-0.0269512975766434
P0654_padded_gather,5c,spent_heldout,5,1.521,13.970143058665721,-3.314626776000029,0.08012502620135097,0.0010491228095443393,0.08013189428958163,0.07771848622929212,0.019518129538047848,-0.001998816062915538,0.022058515866628818,0.00013402326048007115,0.02406182010905404,0.07733010129341492
