radius_over_response_length,rational_point_force_ratio,entire_point_force_ratio
5.453743116818161e-09,1.0,1.0
5.524550130415433e-09,1.0,1.0
5.596276445319564e-09,1.0,1.0
5.668933996999229e-09,1.0,1.0
5.742534875883629e-09,1.0,1.0
5.81709132937437e-09,1.0,1.0
5.892615763883469e-09,1.0,1.0
5.969120746897818e-09,1.0,1.0
6.046619009070448e-09,1.0,1.0
6.12512344633895e-09,1.0,1.0
6.204647122071393e-09,1.0,1.0
6.28520326924011e-09,1.0000000000000002,1.0
6.366805292623703e-09,1.0000000000000002,1.0
6.4494667710376335e-09,1.0000000000000002,1.0
6.533201459593783e-09,1.0000000000000002,1.0
6.618023291989341e-09,1.0000000000000002,1.0
6.70394638282541e-09,1.0000000000000002,1.0
6.790985029955721e-09,1.0000000000000002,1.0
6.879153716865837e-09,1.0000000000000002,1.0
6.968467115083248e-09,1.0000000000000002,1.0
7.058940086618753e-09,1.0000000000000002,1.0
7.1505876864395426e-09,1.0000000000000002,1.0
7.243425164974396e-09,1.0000000000000002,1.0
7.337467970651388e-09,1.0000000000000002,1.0
7.432731752468558e-09,1.0000000000000002,1.0
7.529232362597949e-09,1.0000000000000002,1.0
7.626985859023451e-09,1.0000000000000002,1.0
7.726008508212903e-09,1.0000000000000002,1.0
7.826316787824876e-09,1.0000000000000002,1.0
7.927927389450607e-09,1.0000000000000002,1.0
8.030857221391521e-09,1.0000000000000002,1.0
8.135123411472834e-09,1.0000000000000002,1.0
8.240743309893666e-09,1.0000000000000002,1.0
8.347734492114162e-09,1.0000000000000002,1.0
8.456114761780107e-09,1.0000000000000002,1.0
