radius_over_response_length,rational_point_force_ratio,entire_point_force_ratio
3.276469748319118e-10,1.0,1.0
3.319008795914677e-10,1.0,1.0
3.362100136285491e-10,1.0,1.0
3.4057509399566857e-10,1.0,1.0
3.4499684705497157e-10,1.0,1.0
3.4947600859910555e-10,1.0,1.0
3.5401332397365774e-10,1.0,1.0
3.586095482011829e-10,1.0,1.0
3.632654461068413e-10,1.0,1.0
3.679817924456679e-10,1.0,1.0
3.727593720314938e-10,1.0,1.0
3.775989798675415e-10,1.0,1.0
3.8250142127871596e-10,1.0,1.0
3.874675120456128e-10,1.0,1.0
3.9249807854026674e-10,1.0,1.0
3.9759395786366217e-10,1.0,1.0
4.027559979850293e-10,1.0,1.0
4.079850578829489e-10,1.0,1.0
4.1328200768828843e-10,1.0,1.0
4.186477288289947e-10,1.0,1.0
4.2408311417676594e-10,1.0,1.0
4.2958906819562823e-10,1.0,1.0
4.3516650709244114e-10,1.0,1.0
4.4081635896935695e-10,1.0,1.0
4.465395639782598e-10,1.0,1.0
4.523370744772096e-10,1.0,1.0
4.5820985518891723e-10,1.0,1.0
4.6415888336127727e-10,1.0,1.0
4.701851489299847e-10,1.0,1.0
4.762896546832635e-10,1.0,1.0
4.824734164287349e-10,1.0,1.0
4.887374631624437e-10,1.0,1.0
4.950828372400973e-10,1.0,1.0
5.015105945505089e-10,1.0,1.0
5.080218046913033e-10,1.0,1.0
5.146175511469e-10,1.0,1.0
5.212989314688085e-10,1.0,1.0
5.280670574582648e-10,1.0,1.0
5.349230553512373e-10,1.0,1.0
5.418680660058365e-10,1.0,1.0
5.489032450921568e-10,1.0,1.0
5.560297632845836e-10,1.0,1.0
5.632488064565968e-10,1.0,1.0
5.705615758781032e-10,1.0,1.0
5.779692884153325e-10,1.0,1.0
5.854731767333262e-10,1.0,1.0
5.930744895010571e-10,1.0,1.0
6.007744915992118e-10,1.0,1.0
6.0857446433067e-10,1.0,1.0
6.164757056337174e-10,1.0,1.0
6.244795302980263e-10,1.0,1.0
6.325872701834407e-10,1.0,1.0
6.40800274441601e-10,1.0,1.0
6.491199097404475e-10,1.0,1.0
6.575475604916379e-10,1.0,1.0
6.660846290809168e-10,1.0,1.0
6.747325361014775e-10,1.0,1.0
6.834927205903524e-10,1.0,1.0
6.923666402678734e-10,1.0,1.0
7.013557717802405e-10,1.0,1.0
7.104616109452398e-10,1.0,1.0
7.196856730011529e-10,1.0,1.0
7.290294928588958e-10,1.0,1.0
7.384946253574336e-10,1.0,1.0
7.480826455225094e-10,1.0,1.0
7.577951488287339e-10,1.0,1.0
7.676337514650766e-10,1.0,1.0
7.776000906038044e-10,1.0,1.0
7.876958246729122e-10,1.0,1.0
7.979226336320898e-10,1.0,1.0
8.082822192522722e-10,1.0,1.0
8.187763053988195e-10,1.0,1.0
8.294066383183726e-10,1.0,1.0
8.401749869294344e-10,1.0,1.0
8.510831431167225e-10,1.0,1.0
8.621329220293445e-10,1.0,1.0
8.733261623828438e-10,1.0,1.0
8.84664726765167e-10,1.0,1.0
8.96150501946605e-10,1.0,1.0
9.077853991937557e-10,1.0,1.0
9.195713545875658e-10,1.0,1.0
9.31510329345499e-10,1.0,1.0
9.43604310147889e-10,1.0,1.0
9.558553094685293e-10,1.0,1.0
9.682653659095539e-10,1.0,1.0
9.808365445406671e-10,1.0,1.0
9.935709372427772e-10,1.0,1.0
1.0064706630560913e-09,1.0,1.0
1.0195378685327303e-09,1.0,1.0
1.0327747280939206e-09,1.0,1.0
1.0461834443918251e-09,1.0,1.0
1.0597662486760707e-09,1.0,1.0
1.0735254011650344e-09,1.0,1.0
1.0874631914219502e-09,1.0,1.0
1.1015819387358995e-09,1.0,1.0
1.115883992507748e-09,1.0,1.0
1.130371732641092e-09,1.0,1.0
1.1450475699382812e-09,1.0,1.0
1.1599139465015846e-09,1.0,1.0
1.1749733361395623e-09,1.0,1.0
1.1902282447787144e-09,1.0,1.0
1.2056812108804754e-09,1.0,1.0
1.221334805863621e-09,1.0,1.0
1.2371916345321594e-09,1.0,1.0
1.2532543355087795e-09,1.0,1.0
1.2695255816739239e-09,1.0,1.0
1.286008080610565e-09,1.0,1.0
1.302704575054755e-09,1.0,1.0
1.3196178433520243e-09,1.0,1.0
1.3367506999197064e-09,1.0,1.0
1.3541059957152662e-09,1.0,1.0
1.3716866187107065e-09,1.0,1.0
1.389495494373136e-09,1.0,1.0
1.4075355861515745e-09,1.0,1.0
1.4258098959700803e-09,1.0,1.0
1.444321464727279e-09,1.0,1.0
1.4630733728023776e-09,1.0,1.0
1.482068740567749e-09,1.0,1.0
1.5013107289081712e-09,1.0,1.0
1.520802539746807e-09,1.0,1.0
1.5405474165780139e-09,1.0,1.0
1.5605486450070718e-09,1.0,1.0
1.5808095532969156e-09,1.0,1.0
1.6013335129219696e-09,1.0,1.0
1.6221239391291696e-09,1.0,1.0
1.6431842915062704e-09,1.0,1.0
1.6645180745575317e-09,1.0,1.0
1.686128838286877e-09,1.0,1.0
1.708020178788625e-09,1.0,1.0
1.7301957388458909e-09,1.0,1.0
1.752659208536755e-09,1.0,1.0
