name,ra_deg,dec_deg,resolver,resolved_name,match_found,n_candidates,designation,wise_ra,wise_dec,sep_arcsec,healpix_k5,ext_flg,xscprox_arcsec,cc_flags,ph_qual,w1gmag,w2gmag,w1mpro,w2mpro,w1sigmpro,w2sigmpro,w1snr,w2snr,w1_w2_gmag,w1_w2_mpro
UGC03580,103.87902,69.56316,NED,UGC 03580,True,344,J065530.96+693347.3,103.8790212,69.5631627,0.009836349649216283,1970,5,0.77,0000,AAAA,10.223,10.118,11.144,10.995,0.024,0.021,46.0,52.4,0.10500000000000043,0.1490000000000009
UGC04278,123.49546,45.74214,NED,IC 2233,True,247,J081358.97+454429.1,123.4957237,45.7414183,2.6812619387674514,1651,5,2.72,0000,AABU,,,13.24,13.227,0.026,0.03,41.9,36.4,,0.0129999999999999
UGC04305,124.77006,70.71992,NED,Holmberg II,True,337,J081904.64+704311.9,124.7693729,70.719977,0.8421175617948147,1949,5,1.63,0000,AAUU,10.855,10.382,15.282,15.366,0.039,0.084,28.2,12.9,0.47300000000000075,-0.08399999999999963
UGC04325,124.83524,50.00953,NED,NGC 2552,True,327,J081920.45+500034.3,124.8352376,50.009529,0.006617491185756805,1655,5,1.24,0000,AACU,12.686,12.763,14.159,14.047,0.033,0.041,32.8,26.5,-0.07699999999999996,0.1120000000000001
UGC04483,129.26238,69.77578,NED,UGC 04483,True,248,J083656.65+694505.5,129.2360623,69.75154,93.21458297259312,1986,1,,dH00,AABU,,,13.976,13.863,0.047,0.056,23.3,19.6,,0.11300000000000132
UGC04499,129.42284,51.65247,NED,UGC 04499,True,244,J083741.49+513911.1,129.4228959,51.6531105,2.309177833232012,1825,1,,0000,AABU,,,14.199,14.117,0.03,0.046,36.7,23.6,,0.08199999999999896
UGC05005,141.12246,22.27483,NED,UGC 05005,True,225,J092443.44+221922.3,141.1810391,22.3228819,260.75660036397943,1133,5,0.46,0000,AAAA,12.462,12.383,12.697,12.592,0.023,0.025,46.6,44.1,0.07900000000000063,0.10499999999999865
UGC05253,147.59262,72.27864,NED,NGC 2985,True,402,J095022.22+721644.3,147.5925986,72.2789914,1.2652573242608385,1989,5,1.24,0000,AAAA,7.437,7.392,9.061,9.019,0.023,0.019,47.3,56.3,0.04499999999999993,0.041999999999999815
UGC05414,150.98897,40.75698,NED,NGC 3104,True,284,J100356.68+404526.3,150.9862026,40.7573316,7.651949961992653,1427,1,,0000,AACC,,,14.975,14.755,0.036,0.061,30.4,17.7,,0.21999999999999886
UGC05716,157.93031,25.30783,NED,UGC 05716,True,262,J103143.27+251828.1,157.9303053,25.3078291,0.015635470028799576,1292,0,,0000,ABUU,,,15.543,15.55,0.044,0.118,24.9,9.2,,-0.0070000000000014495
UGC05721,158.07168,27.6688,NED,NGC 3274,True,257,J103217.20+274007.6,158.0716756,27.6687995,0.01414364914835563,1293,5,1.07,0000,AAAA,10.956,10.879,12.481,12.419,0.025,0.025,43.9,44.0,0.07699999999999996,0.06199999999999939
UGC05750,158.93797,20.98994,NED,UGC 05750,True,254,J103546.18+210253.6,158.9424522,21.0482388,210.41547578903007,1281,5,0.33,0000,AAAA,11.269,11.139,11.704,11.622,0.023,0.022,46.7,48.4,0.13000000000000078,0.08200000000000074
UGC05764,159.18064,31.54698,NED,UGC 05764,True,304,J103643.35+313249.1,159.1806369,31.5469787,0.010599784541225182,1307,0,,0000,ABUC,,,15.824,15.542,0.048,0.114,22.4,9.5,,0.28200000000000003
UGC05829,160.67462,34.44888,NED,UGC 05829,True,278,J104232.77+342320.4,160.6365436,34.3890192,243.36420769417884,1332,1,,0000,AAUU,,,13.802,13.683,0.025,0.033,42.6,32.7,,0.11899999999999977
UGC05918,162.40208,65.53056,NED,UGC 05918,True,278,J105001.14+653031.1,162.504765,65.5086581,172.28407613460016,1880,5,0.59,0000,AAAB,13.637,13.463,13.462,13.21,0.031,0.029,35.2,37.7,0.17400000000000126,0.2519999999999989
UGC05986,163.12905,36.61862,NED,NGC 3432,True,294,J105230.97+363707.0,163.1290498,36.618623,0.010815449862917123,1376,5,2.02,0000,AAAA,,,12.055,11.854,0.026,0.024,42.0,44.5,,0.2010000000000005
UGC05999,163.24637,7.62022,NED,UGC 05999,True,225,J105248.78+073325.3,163.2032857,7.5570308,274.56364933841814,6867,1,,0000,AAUU,,,13.217,13.073,0.025,0.03,44.1,35.7,,0.14400000000000013
UGC06399,170.84676,50.89271,NED,UGC 06399,True,294,J112323.06+505335.2,170.8461154,50.8931186,2.075155196603582,1489,1,,0000,AABU,,,14.166,14.033,0.029,0.039,37.1,27.9,,0.1330000000000009
UGC06446,171.6686,53.74695,NED,UGC 06446,True,284,J112640.64+534447.7,171.6693564,53.7465895,2.068163002248472,1491,1,,0000,AAUU,,,14.708,14.585,0.033,0.055,32.8,19.8,,0.12299999999999933
UGC06614,174.81198,17.14367,NED,UGC 06614,True,283,J113914.87+170837.2,174.8119847,17.1436695,0.016268109136923975,7057,5,0.58,0000,AAAA,10.994,10.903,11.147,11.047,0.022,0.02,48.3,53.1,0.0909999999999993,0.09999999999999964
UGC06628,175.0241,45.9428,NED,UGC 06628,True,319,J114005.84+455633.7,175.02437,45.94271,0.7495499722329301,1396,3,9.03,0000,AABU,,,14.471,14.296,0.03,0.045,36.3,24.2,,0.1750000000000007
UGC06667,175.6096,51.5981,NED,UGC 06667,True,288,J114226.09+513552.3,175.6087336,51.5978694,2.107832661285474,1406,5,2.04,0000,AAAU,,,13.323,13.243,0.026,0.03,42.2,36.4,,0.08000000000000007
UGC06786,177.28936,27.02201,NED,NGC 3900,True,293,J114909.44+270119.2,177.2893645,27.0220066,0.018923139363032495,7115,5,0.32,0000,AAAB,8.712,8.743,10.014,10.031,0.023,0.02,47.6,54.9,-0.031000000000000583,-0.017000000000001236
UGC06787,177.31361,56.08451,NED,NGC 3898,True,367,J114915.26+560504.2,177.313612,56.0845081,0.007932524511496095,1495,5,1.03,0000,AAAA,7.755,7.782,8.914,8.927,0.022,0.019,49.1,56.4,-0.027000000000000135,-0.0129999999999999
UGC06818,177.69563,45.80719,NED,UGC 06818,True,292,J115047.05+454826.5,177.6960745,45.8073694,1.288935793276056,1375,1,,0000,AABC,,,14.053,13.956,0.027,0.033,40.1,33.2,,0.09700000000000131
UGC06917,179.11014,50.42879,NED,UGC 06917,True,361,J115626.43+502543.6,179.1101361,50.4287882,0.011044703006674516,1399,2,22.41,0000,AAAB,,,9.27,9.334,0.023,0.019,47.4,56.4,,-0.06400000000000006
UGC06923,179.20609,53.16031,NED,UGC 06923,True,251,J115649.68+530936.6,179.2070403,53.1601926,2.0942963296023676,1407,5,1.57,0000,AAAA,11.901,11.848,12.765,12.704,0.025,0.025,43.0,42.7,0.05299999999999905,0.06099999999999994
UGC06930,179.32225,49.2832,NED,UGC 06930,True,360,J115717.33+491659.5,179.3222455,49.2832027,0.014358010165076046,1397,5,0.57,0000,AAAB,11.544,11.566,13.113,13.171,0.026,0.027,41.7,40.3,-0.02200000000000024,-0.05799999999999983
UGC06973,179.71777,42.72238,NED,IC 0750,True,295,J115852.26+424320.5,179.7177735,42.7223773,0.013422472954001256,1365,5,0.45,0000,AAAA,7.884,7.668,8.859,8.476,0.022,0.02,49.3,54.1,0.2160000000000002,0.3829999999999991
UGC06983,179.7909,52.7072,NED,UGC 06983,True,309,J115909.67+524227.1,179.7903185,52.7075467,1.7794789151304704,1405,5,0.83,0000,AAAB,12.954,12.935,13.644,13.51,0.025,0.031,42.7,34.6,0.019000000000000128,0.13400000000000034
UGC07089,181.49072,43.14331,NED,UGC 07089,True,246,J120557.66+430835.0,181.4902694,43.1430817,1.440973754840766,2731,1,,0000,AABC,,,13.707,13.741,0.028,0.038,38.2,28.4,,-0.03399999999999892
UGC07125,182.17622,36.80277,NED,UGC 07125,True,280,J120842.29+364809.9,182.1762216,36.8027653,0.01753731362388768,7159,3,9.52,0000,AACC,,,14.399,14.264,0.03,0.045,35.9,23.9,,0.1349999999999998
UGC07151,182.49429,46.45742,NED,NGC 4144,True,306,J120958.62+462726.6,182.4942895,46.4574161,0.014094652194132064,2735,5,0.9,0000,AAAA,9.722,9.677,12.474,12.466,0.022,0.026,48.7,42.3,0.04499999999999993,0.008000000000000895
UGC07232,183.43654,36.63403,NED,NGC 4190,True,251,J121344.40+363801.3,183.4350172,36.6337117,4.545964798878917,7159,3,9.26,0000,AAUU,,,14.332,14.221,0.034,0.051,31.5,21.1,,0.11100000000000065
UGC07261,183.81004,20.65877,NED,NGC 4204,True,257,J121514.40+203931.5,183.8100415,20.6587668,0.012579383370547172,7019,5,1.32,0000,AAAB,11.963,11.913,13.653,13.538,0.025,0.034,42.7,32.1,0.049999999999998934,0.11500000000000021
UGC07323,184.37574,45.6193,NED,NGC 4242,True,391,J121730.17+453710.6,184.3757119,45.6196142,1.1333307095932281,2733,5,,0000,AACU,,,13.875,13.834,0.031,0.035,34.9,30.8,,0.04100000000000037
UGC07399,185.15896,46.29178,NED,NGC 4288,True,268,J122038.12+461732.4,185.158866,46.2923457,2.0498998698464943,2744,5,4.78,0000,AAAB,,,13.074,13.011,0.026,0.03,42.4,36.7,,0.06300000000000061
UGC07524,186.45358,33.54686,NED,NGC 4395,True,398,J122548.87+333248.8,186.4536552,33.546906,0.27987677021818935,7133,5,0.79,0000,AAAA,11.149,11.012,12.624,11.839,0.025,0.023,44.0,47.6,0.13699999999999868,0.7850000000000001
UGC07559,186.77147,37.14268,NED,UGC 07559,True,265,J122705.54+370833.3,186.7731051,37.1425948,4.702236647574805,2720,0,,0000,AAUU,,,16.168,15.601,0.057,0.105,19.0,10.3,,0.5669999999999984
UGC07577,186.92042,43.49556,NED,UGC 07577,True,255,J122739.90+432958.0,186.9162691,43.4994632,17.74678647850316,2727,1,,0000,AAUU,,,15.553,15.555,0.045,0.106,24.1,10.3,,-0.0019999999999988916
UGC07603,187.18381,22.82045,NED,NGC 4455,True,224,J122844.10+224917.8,187.18376,22.82163,4.251238648010512,7021,5,,0000,AAAB,,,13.243,13.214,0.027,0.031,40.7,35.2,,0.028999999999999915
UGC07608,187.18417,43.22414,NED,UGC 07608,True,286,J122854.70+431646.5,187.227923,43.279587,230.228464425062,2727,5,0.69,0000,AAAA,13.471,13.346,13.293,13.09,0.025,0.027,43.2,40.0,0.125,0.2029999999999994
UGC07690,188.11207,42.70412,NED,UGC 07690,True,321,J123226.93+424216.3,188.1122393,42.7045383,1.5710745094516063,2727,3,11.69,0000,AABB,,,13.233,13.162,0.026,0.031,41.1,35.0,,0.07099999999999973
UGC07866,190.56306,38.50184,NED,IC 3687,True,272,J124214.73+383009.8,190.56138,38.50273,5.715549897225454,2702,1,,0000,AAUU,,,15.345,15.201,0.039,0.082,28.0,13.3,,0.14400000000000013
UGC08286,198.0525,44.04122,NED,NGC 5023,True,252,J131212.73+440238.0,198.0530702,44.0438952,9.743099956283254,2711,3,23.44,0000,AAAB,,,13.227,13.166,0.026,0.028,41.8,38.5,,0.06099999999999994
UGC08490,202.40213,58.41872,NED,NGC 5204,True,355,J132936.62+582512.2,202.402601,58.4200702,4.941164863352854,2781,5,4.91,0000,AAAA,,,12.824,12.846,0.026,0.026,41.6,41.9,,-0.02200000000000024
UGC08550,203.51212,47.91488,NED,NGC 5229,True,236,J133402.90+475453.5,203.5121246,47.9148788,0.011910156681699646,2757,5,2.26,0000,AABC,,,13.674,13.573,0.027,0.031,40.9,34.5,,0.10099999999999909
UGC08699,206.28636,41.50341,NED,NGC 5289,True,293,J134508.72+413012.2,206.2863611,41.5034103,0.00315623616572723,2665,5,0.76,0000,AAAA,9.868,9.866,10.265,10.258,0.022,0.02,49.1,55.4,0.002000000000000668,0.0070000000000014495
UGC08837,208.69083,53.90331,NED,Holmberg IV,True,334,J135445.61+535414.1,208.6900828,53.9039384,2.7620958961144155,2773,1,,0000,AACU,,,15.215,15.152,0.035,0.067,30.6,16.1,,0.06300000000000061
UGC09037,212.12144,7.05803,NED,UGC 09037,True,245,J140829.14+070328.8,212.121441,7.0580253,0.017293083245955177,6526,5,0.61,0000,AAAA,11.367,11.22,12.332,12.186,0.023,0.023,46.6,47.3,0.14700000000000024,0.1460000000000008
UGC09133,214.03227,35.34387,NED,NGC 5533,True,283,J141607.74+352037.9,214.0322731,35.3438658,0.017648848017666727,2627,5,0.67,0000,AAAA,8.862,8.846,9.849,9.797,0.023,0.02,47.7,55.3,0.016000000000000014,0.0519999999999996
UGC09992,235.44939,67.25426,NED,UGC 09992,True,347,J154147.09+671514.7,235.4462184,67.2540882,4.457719404535787,2924,0,,0000,AAUU,,,15.812,15.64,0.04,0.074,27.4,14.7,,0.17199999999999882
UGC10310,244.07604,47.04652,NED,UGC 10310,True,380,J161618.24+470247.4,244.0760405,47.0465236,0.01301790961551937,2463,1,,0000,AABU,,,14.983,14.782,0.032,0.048,33.9,22.5,,0.2010000000000005
UGC11455,292.48472,72.11299,NED,UGC 11455,True,340,J192956.33+720646.7,292.4847246,72.1129945,0.016979692614554835,4020,5,0.72,000p,AAAA,9.046,8.923,10.396,10.26,0.022,0.02,48.3,54.0,0.12299999999999933,0.136000000000001
UGC11557,306.00274,60.19479,NED,UGC 11557,True,369,J202400.65+601141.2,306.0027368,60.1947942,0.016167932340190025,3887,3,,0000,AAAB,,,13.538,13.507,0.033,0.031,33.3,35.4,,0.031000000000000583
UGC11820,327.36847,14.23085,NED,UGC 11820,True,289,J214928.43+141351.0,327.3684742,14.2308537,0.019804574180931914,3142,1,,0000,AAUU,,,15.307,15.129,0.042,0.078,26.2,13.9,,0.17800000000000082
UGC11914,331.96831,31.35935,NED,NGC 7217,True,429,J220752.41+312133.7,331.9683816,31.3593819,0.24826411461862047,3372,5,0.73,0000,AAAA,6.818,6.817,8.847,8.82,0.023,0.02,47.4,54.0,0.0009999999999994458,0.026999999999999247
UGC12506,349.87711,16.07481,NED,UGC 12506,True,275,J231930.50+160429.3,349.8771127,16.074809,0.010009735445977648,5005,5,0.43,0000,AAAA,10.734,10.604,11.385,11.294,0.023,0.021,46.4,51.4,0.13000000000000078,0.0909999999999993
UGC12632,352.49445,40.99038,NED,UGC 12632,True,319,J232958.53+405931.9,352.493915,40.992218,6.774619377407302,3417,1,,0000,AAUU,,,15.143,15.155,0.035,0.067,31.5,16.3,,-0.011999999999998678
UGC12732,355.1658,26.23651,NED,UGC 12732,True,335,J234039.79+261411.4,355.165801,26.2365069,0.011617779277423669,5088,1,,0000,AAUU,,,14.924,14.87,0.035,0.074,31.0,14.8,,0.05400000000000027
UGCA281,186.56543,48.49401,NED,UGCA 281,True,277,J122615.81+482938.4,186.5659085,48.494014,1.1416549421174202,2742,1,,0000,AAAA,,,14.319,13.664,0.028,0.033,39.1,33.4,,0.6550000000000011
UGCA442,355.94034,-31.9567,NED,UGCA 442,True,271,J234346.20-315723.2,355.9425129,-31.9564687,6.688975129040544,4129,3,8.37,0000,AAUC,,,15.25,14.881,0.04,0.069,27.3,15.7,,0.3689999999999998
UGCA444,0.49236,-15.46108,NED,WLM,True,394,J000158.12-152802.0,0.4921795,-15.467246,22.206433005704863,4291,4,,0000,AAUU,,,15.069,14.924,0.038,0.08,28.8,13.5,,0.14500000000000135
